payment_id,loan_id,customer_id,due_date,payment_date,amount_due,amount_paid,days_late,payment_status
PAY0000072,LOAN0000493,CUST0000307,2022-08-21,2022-08-19,516.28,516.28,0.0,On-time
PAY0000073,LOAN0000167,CUST0000260,2025-05-08,2025-05-06,974.84,974.84,0.0,On-time
PAY0000074,LOAN0000326,CUST0000348,2025-08-18,2025-08-18,1372.24,1372.24,0.0,On-time
PAY0000075,LOAN0000319,CUST0000112,2025-04-03,2025-04-03,132.31,101.67,0.0,Partial
PAY0000076,LOAN0000108,CUST0000303,2025-01-30,2025-01-30,115.22,115.22,0.0,ON-TIME
PAY0000077,LOAN0000203,CUST0000928,2026-03-12,2026-03-12,478.83,478.83,0.0,On-time
PAY0000078,LOAN0000071,CUST0000250,2024-01-22,2024-01-22,190.79,80.09,0.0,Partial
PAY0000079,LOAN0000025,CUST0000636,2026-04-30,,398.64,0.0,,Missed
PAY0000080,LOAN0000058,CUST0000978,2023-10-19,2023-10-17,909.7,909.7,0.0,On-time
PAY0000081,LOAN0000345,CUST0000724,2026-03-27,2026-03-27,906.51,906.51,0.0,On-time
PAY0000082,LOAN0000505,CUST0000062,2025-07-19,,50.36,0.0,,Missed
PAY0000083,LOAN0000429,CUST0000782,2026-04-26,2026-04-25,1011.92,1011.92,0.0,On-time
PAY0000084,LOAN0000271,CUST0000310,2025-05-02,,1002.33,0.0,,Missed
PAY0000085,LOAN0000257,CUST0000699,2025-02-23,2025-02-22,1022.97,1022.97,0.0,On-time
PAY0000086,LOAN0000012,CUST0000725,2026-02-20,2026-02-18,607.42,,0.0,On-time
PAY0000087,LOAN0000149,CUST0000764,2024-07-10,,556.36,0.0,,Missed
PAY0000088,LOAN0000530,CUST0000028,2026-01-23,2026-01-22,158.2,158.2,0.0,On-time
PAY0000089,LOAN0000578,CUST0000916,2024-04-01,2024-04-21,335.27,335.27,20.0,Late
PAY0000090,LOAN0000104,CUST0000488,2025-06-25,2025-06-23,199.65,199.65,0.0,On-time
PAY0000091,LOAN0000491,CUST0000360,2023-11-11,2023-11-10,1483.2,1483.2,0.0,On-time
PAY0000092,LOAN0000185,CUST0000327,2025-10-10,,89.29,89.29,0.0,On-time
PAY0000093,LOAN0000411,CUST0000531,2026-03-12,2026-03-10,1187.31,1187.31,0.0,On-time
PAY0000094,LOAN0000529,CUST0000838,2024-10-23,2024-10-23,513.54,513.54,0.0,On-time
PAY0000095,LOAN0000022,CUST0000637,2023-07-27,2023-07-26,78.37,78.37,0.0,On-time
PAY0000096,LOAN0000356,CUST0000951,2024-02-16,2024-02-14,208.44,208.44,0.0,On-time
PAY0000097,LOAN0000532,CUST0000330,2024-09-30,,677.86,0.0,,Missed
PAY0000098,LOAN0000246,CUST0000874,2025-02-08,2025-02-07,966.85,966.85,0.0,On-time
PAY0000099,LOAN0000256,CUST0000931,2025-12-26,2025-12-24,94.47,94.47,0.0,On-time
PAY0000100,LOAN0000397,CUST0000714,2025-08-18,2025-08-18,500.03,500.03,0.0,On-time
PAY0000101,LOAN0000090,CUST0000721,2022-10-20,,213.64,0.0,,Missed
PAY0000102,LOAN0000111,CUST0000196,2024-12-06,2024-12-04,640.44,640.44,0.0,OK
PAY0000103,LOAN0000394,CUST0000050,2025-05-21,2025-05-19,566.23,566.23,0.0,On-time
PAY0000104,LOAN0000329,CUST0000886,2025-12-06,2025-12-06,1126.34,1126.34,0.0,On-time
PAY0000105,LOAN0000590,CUST0000731,2026-08-04,2026-08-03,425.85,425.85,0.0,On-time
PAY0000106,LOAN0000410,CUST0000712,2023-11-16,2023-11-15,696.51,696.51,0.0,On-time
PAY0000107,LOAN0000168,CUST0000850,2026-03-02,2026-03-02,487.76,487.76,0.0,On-time
PAY0000108,LOAN0000477,CUST0000436,2025-01-21,2025-01-20,14.8,,0.0,On-time
PAY0000109,LOAN0000543,CUST0000901,2026-06-26,2026-06-26,2766.45,2766.45,0.0,On-time
PAY0000110,LOAN0000103,CUST0000671,2025-06-29,2025-06-28,280.45,280.45,0.0,On-time
PAY0000111,LOAN0000103,CUST0000671,2024-04-29,2024-05-05,280.45,280.45,6.0,Late
PAY0000112,LOAN0000429,CUST0000782,2025-10-25,2025-10-23,1011.92,393.71,0.0,Partial
PAY0000113,LOAN0000120,CUST0000484,2026-08-13,2026-08-13,316.36,316.36,0.0,On-time
PAY0000114,LOAN0000529,CUST0000838,2026-05-25,2026-05-25,513.54,513.54,0.0,On-time
PAY0000115,LOAN0000112,CUST0000398,2026-04-01,,275.2,0.0,,On-time
PAY0000116,LOAN0000497,CUST0000929,2021-12-10,2022-01-14,891.0,891.0,35.0,Late
PAY0000117,LOAN0000211,CUST0000060,2025-06-26,2025-06-24,609.68,609.68,0.0,On-time
PAY0000118,LOAN0000483,CUST0000418,2026-05-06,2026-05-05,191.54,191.54,0.0,On-time
PAY0000119,LOAN0000356,CUST0000951,2025-10-17,2025-10-24,208.44,208.44,7.0,Late
PAY0000120,LOAN0000027,CUST0000457,2023-01-20,2023-01-18,240.0,240.0,0.0,On-time
PAY0000121,LOAN0000494,CUST0000188,2022-10-25,2022-10-23,1276.54,1276.54,0.0,On-time
PAY0000122,LOAN0000081,CUST0000682,2022-12-19,2022-12-18,377.89,377.89,0.0,On-time
PAY0000123,LOAN0000478,CUST0000586,2025-02-14,2025-02-13,382.05,382.05,0.0,On-time
PAY0000124,LOAN0000584,CUST0000129,2023-07-07,2023-07-07,135.36,135.36,0.0,On-time
PAY0000125,LOAN0000404,CUST0000215,2026-02-27,2026-02-25,1462.43,1462.43,0.0,On-time
PAY0000126,LOAN0000331,CUST0000879,2026-03-05,2026-03-05,70.21,70.21,0.0,On-time
PAY0000127,LOAN0000589,CUST0000517,2026-05-02,2026-05-01,611.86,611.86,0.0,On-time
PAY0000128,LOAN0000074,CUST0000096,2025-05-08,2025-05-08,325.95,255.48,0.0,Partial
PAY0000129,LOAN0000318,CUST0000451,2022-11-12,2022-11-12,1389.25,727.23,0.0,Partial
PAY0000130,LOAN0000588,CUST0000382,2024-11-28,2024-11-28,148.33,148.33,0.0,On-time
PAY0000131,LOAN0000299,CUST0000136,2024-12-06,2025-01-11,486.64,486.64,36.0,Late
PAY0000132,LOAN0000397,CUST0000714,2024-04-18,2024-04-18,500.03,500.03,0.0,On-time
PAY0000133,LOAN0000156,CUST0000047,2025-10-14,2025-10-12,19.97,19.97,0.0,On-time
PAY0000134,LOAN0000169,CUST0000889,2023-12-20,2023-12-19,1012.97,1012.97,0.0,On-time
PAY0000135,LOAN0000088,CUST0000710,2024-05-19,2024-05-19,1812.64,1812.64,0.0,On-time
PAY0000136,LOAN0000067,CUST0000465,2026-08-08,2026-08-08,433.6,433.6,0.0,On-time
PAY0000137,LOAN0000382,CUST0000508,2026-06-01,2026-06-01,416.59,416.59,0.0,On-time
PAY0000138,LOAN0000332,CUST0000127,2024-09-04,2024-09-03,119.33,119.33,0.0,On-time
PAY0000139,LOAN0000383,CUST0000736,2026-03-03,2026-03-01,83.06,83.06,0.0,On-time
PAY0000140,LOAN0000569,CUST0000182,2026-07-28,,206.03,,,Missed
PAY0000141,LOAN0000039,CUST0000941,2024-10-24,2024-10-23,1194.92,1194.92,0.0,On-time
PAY0000142,LOAN0000145,CUST0000538,2023-08-21,2023-08-20,1202.85,1202.85,0.0,On-time
PAY0000143,LOAN0000520,CUST0000697,2022-05-15,2022-05-15,168.67,168.67,0.0,On-time
PAY0000144,LOAN0000026,CUST0000233,2025-11-16,2025-11-14,1026.87,1026.87,0.0,On-time
PAY0000145,LOAN0000154,CUST0000605,2024-07-07,2024-07-06,218.73,218.73,0.0,On-time
PAY0000146,LOAN0000138,CUST0000052,2026-03-05,2026-03-05,332.64,332.64,0.0,On Time
PAY0000147,LOAN0000057,CUST0000816,2024-08-24,2024-08-24,441.62,441.62,0.0,On-time
PAY0000148,LOAN0000327,CUST0000225,2024-08-26,2024-08-24,214.19,214.19,0.0,On-time
PAY0000149,LOAN0000493,CUST0000307,2024-07-21,2024-07-19,516.28,229.77,0.0,Partial
PAY0000150,LOAN0000492,CUST0000089,2025-02-28,2025-02-27,348.69,293.95,0.0,Partial
PAY0000151,LOAN0000265,CUST0000461,2024-07-03,2024-07-02,1752.19,1752.19,0.0,On-time
PAY0000152,LOAN0000390,CUST0000310,2025-03-24,2025-03-24,377.65,377.65,0.0,On-time
PAY0000153,LOAN0000143,CUST0000791,2026-04-23,2026-05-21,159.55,159.55,28.0,Late
PAY0000154,LOAN0000406,CUST0000519,2026-07-09,2026-08-01,179.61,179.61,23.0,Late
PAY0000155,LOAN0000512,CUST0000817,2025-02-13,2025-02-13,915.62,915.62,0.0,ON-TIME
PAY0000156,LOAN0000226,CUST0000893,2025-05-02,2025-05-01,101.32,101.32,0.0,On-time
PAY0000157,LOAN0000371,CUST0000522,2024-11-04,2024-11-04,1425.12,1425.12,0.0,On-time
PAY0000158,LOAN0000043,CUST0000911,2025-08-08,2025-08-06,304.1,304.1,0.0,On-time
PAY0000159,LOAN0000155,CUST0000067,2025-07-30,2025-07-29,285.87,285.87,0.0,On-time
PAY0000160,LOAN0000154,CUST0000605,2025-02-05,2025-02-28,218.73,218.73,23.0,Late
PAY0000161,LOAN0000593,CUST0000684,2025-12-09,2025-12-07,300.58,300.58,0.0,On-time
PAY0000162,LOAN0000332,CUST0000127,2025-02-03,2025-02-02,119.33,119.33,0.0,On-time
PAY0000163,LOAN0000578,CUST0000916,2024-07-01,2024-07-08,335.27,335.27,7.0,Late
PAY0000164,LOAN0000019,CUST0000441,2023-10-30,2023-10-30,2083.16,2083.16,0.0,On-time
PAY0000165,LOAN0000201,CUST0000283,2025-01-28,2025-02-26,640.87,640.87,29.0,Late
PAY0000166,LOAN0000425,CUST0000755,2025-08-30,,351.83,,,Missed
PAY0000167,LOAN0000394,CUST0000050,2024-09-20,2024-09-20,566.23,566.23,0.0,On-time
PAY0000168,LOAN0000331,CUST0000879,2025-01-03,2025-01-03,70.21,70.21,0.0,On-time
PAY0000169,LOAN0000554,CUST0000181,2025-05-16,2025-05-15,33.52,33.52,0.0,On-time
PAY0000170,LOAN0000058,CUST0000978,2023-01-18,2023-01-18,909.7,391.6,0.0,Partial
PAY0000171,LOAN0000320,CUST0000394,2026-03-23,2026-03-22,637.39,637.39,0.0,On-time
PAY0000172,LOAN0000102,CUST0000551,2022-05-21,2022-05-19,635.91,635.91,0.0,On-time
PAY0000173,LOAN0000039,CUST0000941,2023-09-25,2023-09-23,1194.92,1194.92,0.0,On-time
PAY0000174,LOAN0000377,CUST0000186,2022-05-21,2022-05-21,651.39,651.39,0.0,On-time
PAY0000175,LOAN0000519,CUST0000619,2024-02-23,2024-02-21,150.47,150.47,0.0,On-time
PAY0000176,LOAN0000187,CUST0000518,2026-05-08,2024-08-08,201.21,201.21,17.0,Late
PAY0000177,LOAN0000491,CUST0000360,2025-10-12,2025-11-16,1483.2,1483.2,35.0,Late
PAY0000178,LOAN0000184,CUST0000347,2025-04-11,2025-04-10,487.42,487.42,0.0,ON-TIME
PAY0000179,LOAN0000440,CUST0000395,2023-01-22,2023-01-21,555.31,555.31,0.0,On-time
PAY0000180,LOAN0000090,CUST0000721,2023-05-21,2023-05-20,213.64,213.64,0.0,On-time
PAY0000181,LOAN0000195,CUST0000180,2023-04-13,2023-04-13,504.44,504.44,0.0,On-time
PAY0000182,LOAN0000596,CUST0000639,2026-04-29,2026-04-27,1250.25,1250.25,0.0,On-time
PAY0000183,LOAN0000275,CUST0000306,2023-09-15,2023-09-13,384.84,384.84,0.0,On-time
PAY0000184,LOAN0000369,CUST0000699,2025-05-20,,863.87,0.0,,Missed
PAY0000185,LOAN0000015,CUST0000311,2026-04-07,2026-05-14,188.87,,37.0,Late
PAY0000186,LOAN0000581,CUST0000592,2023-06-18,2023-06-16,927.68,927.68,0.0,On-time
PAY0000187,LOAN0000362,CUST0000964,2024-06-23,2024-06-21,924.47,924.47,0.0,On-time
PAY0000188,LOAN0000133,CUST0000758,2025-07-19,2025-07-17,367.28,367.28,0.0,On-time
PAY0000189,LOAN0000371,CUST0000522,2023-06-06,2023-06-04,1425.12,1425.12,0.0,On-time
PAY0000190,LOAN0000212,CUST0000244,2022-07-17,2022-07-16,648.42,648.42,0.0,On-time
PAY0000191,LOAN0000467,CUST0000635,2024-11-02,2024-12-13,225.47,225.47,41.0,Late
PAY0000192,LOAN0000575,CUST0000725,2026-03-11,,264.71,0.0,,Missed
PAY0000193,LOAN0000593,CUST0000684,2024-08-09,2024-08-07,300.58,300.58,0.0,On-time
PAY0000194,LOAN0000554,CUST0000181,2025-11-15,2025-11-14,33.52,33.52,0.0,On-time
PAY0000195,LOAN0000571,CUST0000295,2023-04-19,2023-04-19,914.71,914.71,0.0,On-time
PAY0000196,LOAN0000178,CUST0000675,2026-06-15,2026-06-14,963.41,963.41,0.0,On-time
PAY0000197,LOAN0000091,CUST0000953,2025-10-16,2025-10-14,417.35,417.35,0.0,On-time
PAY0000198,LOAN0000012,CUST0000725,2022-09-21,,607.42,0.0,,Missed
PAY0000199,LOAN0000546,CUST0000704,2025-07-16,2025-07-15,3568.57,3568.57,0.0,On-time
PAY0000200,LOAN0000286,CUST0000607,2025-08-22,,448.57,0.0,,Missed
PAY0000201,LOAN0000233,CUST0000781,2024-07-23,2024-07-22,2150.27,2150.27,0.0,On-time
PAY0000202,LOAN0000399,CUST0000797,2026-05-23,2026-05-22,375.73,375.73,0.0,On-time
PAY0000203,LOAN0000586,CUST0000121,2022-10-04,2022-10-04,843.94,305.51,0.0,Part Payment
PAY0000204,LOAN0000039,CUST0000941,2023-04-25,2023-04-24,1194.92,1194.92,0.0,On-time
PAY0000205,LOAN0000590,CUST0000731,2025-11-04,2025-11-04,425.85,425.85,0.0,On-time
PAY0000206,LOAN0000086,CUST0000622,2026-07-15,2026-07-14,584.59,584.59,0.0,On-time
PAY0000207,LOAN0000574,CUST0000356,2022-07-03,2022-07-02,2031.77,2031.77,0.0,On-time
PAY0000208,LOAN0000337,CUST0000035,2025-10-26,2025-10-24,210.97,210.97,0.0,On-time
PAY0000209,LOAN0000423,CUST0000564,2026-08-22,,43.59,0.0,,Missed
PAY0000210,LOAN0000218,CUST0000200,2024-09-02,2024-09-02,864.08,864.08,0.0,On-time
PAY0000211,LOAN0000395,CUST0000169,2025-11-08,2025-11-06,167.52,167.52,0.0,On-time
PAY0000212,LOAN0000370,CUST0000869,2026-06-28,2026-06-28,778.37,778.37,0.0,On-time
PAY0000213,LOAN0000200,CUST0000200,2025-12-23,2025-12-22,263.49,263.49,0.0,On-time
PAY0000214,LOAN0000577,CUST0000268,2025-09-26,2025-09-25,33.72,33.72,0.0,On-time
PAY0000215,LOAN0000469,CUST0000772,2023-09-26,,35.48,0.0,,Missed
PAY0000216,LOAN0000356,CUST0000951,2023-09-17,2023-09-16,208.44,208.44,0.0,On-time
PAY0000217,LOAN0000431,CUST0000662,2024-12-09,2025-01-19,140.76,140.76,41.0,Late
PAY0000218,LOAN0000333,CUST0000449,2024-05-09,2024-05-07,427.8,427.8,0.0,On-time
PAY0000219,LOAN0000145,CUST0000538,2022-11-20,2022-11-19,1202.85,1202.85,0.0,On-time
PAY0000220,LOAN0000397,CUST0000714,2026-04-19,,500.03,0.0,,Missed
PAY0000221,LOAN0000529,CUST0000838,2026-06-24,2026-07-28,513.54,513.54,34.0,Late
PAY0000222,LOAN0000320,CUST0000394,2025-12-22,2025-12-20,637.39,637.39,0.0,On-time
PAY0000223,LOAN0000589,CUST0000517,2025-07-02,2025-07-01,611.86,611.86,0.0,On-time
PAY0000224,LOAN0000005,CUST0000678,2026-04-30,,25.92,0.0,,Missed
PAY0000225,LOAN0000119,CUST0000188,2025-05-16,2025-05-14,820.41,820.41,0.0,On-time
PAY0000226,LOAN0000046,CUST0000361,2023-09-17,2023-09-15,1162.93,1162.93,0.0,On-time
PAY0000227,LOAN0000348,CUST0000228,2024-02-13,2024-02-13,140.46,140.46,0.0,On-time
PAY0000228,LOAN0000113,CUST0000804,2024-12-27,2024-12-25,294.26,294.26,0.0,On-time
PAY0000229,LOAN0000310,CUST0000432,2025-12-23,2025-12-22,362.83,,0.0,On-time
PAY0000230,LOAN0000506,CUST0000630,2025-10-12,2025-10-11,206.27,,0.0,On-time
PAY0000231,LOAN0000488,CUST0000052,2024-12-10,2024-12-09,135.79,63.98,0.0,Partial
PAY0000232,LOAN0000540,CUST0000782,2024-09-13,2024-09-25,216.21,216.21,12.0,Late
PAY0000233,LOAN0000020,CUST0000574,2024-07-25,2024-07-24,437.5,437.5,0.0,On-time
PAY0000234,LOAN0000386,CUST0000481,2025-10-12,2025-10-11,155.17,155.17,0.0,On-time
PAY0000235,LOAN0000497,CUST0000929,2025-06-10,2025-06-09,891.0,891.0,0.0,On-time
PAY0000236,LOAN0000200,CUST0000200,2026-01-22,2026-02-04,263.49,263.49,13.0,Late
PAY0000237,LOAN0000232,CUST0000762,2022-08-23,2022-08-22,30.32,30.32,0.0,On-time
PAY0000238,LOAN0000178,CUST0000675,2026-04-15,2026-04-13,963.41,963.41,0.0,On-time
PAY0000239,LOAN0000483,CUST0000418,2023-05-06,2023-05-06,191.54,191.54,0.0,On-time
PAY0000240,LOAN0000187,CUST0000518,2025-12-07,,201.21,0.0,,Missed
PAY0000241,LOAN0000503,CUST0000314,2026-01-17,,623.39,0.0,,Missed
PAY0000242,LOAN0000569,CUST0000182,2025-08-27,2025-08-27,206.03,206.03,0.0,On-time
PAY0000243,LOAN0000139,CUST0000859,2026-04-11,2026-04-10,627.26,627.26,0.0,On-time
PAY0000244,LOAN0000062,CUST0000397,2025-08-30,2025-08-29,309.46,309.46,0.0,On-time
PAY0000245,LOAN0000456,CUST0000220,2024-05-06,2024-05-06,204.09,204.09,0.0,On-time
PAY0000246,LOAN0000078,CUST0000726,2023-10-22,,1123.26,,,Missed
PAY0000247,LOAN0000022,CUST0000637,2022-02-25,2022-02-24,78.37,78.37,0.0,On-time
PAY0000248,LOAN0000582,CUST0000328,2025-03-15,2025-03-15,2093.87,2093.87,0.0,On-time
PAY0000249,LOAN0000485,CUST0000678,2024-05-01,2024-04-30,174.48,,0.0,On-time
PAY0000250,LOAN0000418,CUST0000918,2026-03-12,2026-03-11,86.17,86.17,0.0,On-time
PAY0000251,LOAN0000227,CUST0000949,2025-03-19,2025-03-18,213.21,213.21,0.0,On-time
PAY0000252,LOAN0000157,CUST0000083,2025-11-25,2026-01-06,346.56,,42.0,Late
PAY0000253,LOAN0000092,CUST0000314,2023-09-01,2023-08-30,657.71,657.71,0.0,On-time
PAY0000254,LOAN0000131,CUST0000115,2026-01-03,2026-01-03,62.49,62.49,0.0,On-time
PAY0000255,LOAN0000070,CUST0000916,2024-09-21,,592.68,592.68,0.0,On-time
PAY0000256,LOAN0000299,CUST0000136,2023-09-06,2023-09-04,486.64,486.64,0.0,On-time
PAY0000257,LOAN0000055,CUST0000726,2023-10-28,2023-10-26,399.72,399.72,0.0,On-time
PAY0000258,LOAN0000263,CUST0000966,2025-04-11,2025-04-09,460.72,460.72,0.0,On-time
PAY0000259,LOAN0000493,CUST0000307,2025-02-19,2025-02-17,516.28,516.28,0.0,On-time
PAY0000260,LOAN0000432,CUST0000070,2026-04-25,2026-04-23,261.4,261.4,0.0,On-time
PAY0000261,LOAN0000543,CUST0000901,2025-10-25,2025-10-24,2766.45,2766.45,0.0,On-time
PAY0000262,LOAN0000538,CUST0000126,2026-07-09,2026-07-09,360.05,360.05,0.0,On-time
PAY0000263,LOAN0000442,CUST0000745,2023-01-03,2023-01-03,250.74,250.74,0.0,On-time
PAY0000264,LOAN0000088,CUST0000710,2025-04-19,2025-04-19,1812.64,1812.64,0.0,On-time
PAY0000265,LOAN0000239,CUST0000856,2026-02-08,2026-02-06,160.45,,0.0,On-time
PAY0000266,LOAN0000483,CUST0000418,2025-05-06,2025-05-06,191.54,191.54,0.0,On-time
PAY0000267,LOAN0000311,CUST0000689,2025-08-23,2025-08-23,184.19,184.19,0.0,On-time
PAY0000268,LOAN0000182,CUST0000834,2025-12-15,2026-01-27,39.57,39.57,43.0,Late
PAY0000269,LOAN0000265,CUST0000461,2025-09-03,,1752.19,0.0,,Missed
PAY0000270,LOAN0000490,CUST0000017,2023-08-27,,265.48,0.0,,NSF
PAY0000271,LOAN0000262,CUST0000208,2026-06-05,2026-06-04,125.64,125.64,0.0,On-time
PAY0000272,LOAN0000196,CUST0000862,2026-04-17,2026-04-17,272.29,272.29,0.0,On-time
