loan_id,application_id,customer_id,loan_amount,interest_rate,term_months,start_date,maturity_date,loan_status,monthly_payment
LOAN0000055,APP0000514,CUST0000726,19505.57,8.45,60,2022-02-26,2027-02-26,Active,399.72
LOAN0000056,APP0000705,CUST0000793,3044.95,13.31,24,2024-06-21,2026-06-21,Paid Off,145.21
LOAN0000057,APP0000365,CUST0000816,14000.06,8.45,36,2023-03-26,2026-03-25,Paid Off,441.62
LOAN0000058,APP0001052,CUST0000978,30361.79,4.98,36,2022-06-19,2025-06-18,Paid Off,909.7
LOAN0000059,APP0001349,CUST0000961,43946.26,7.78,36,2022-09-23,2025-09-22,Paid Off,1372.66
LOAN0000060,APP0000807,CUST0000626,535.69,13.72,24,2025-06-03,2027-06-03,Active,25.65
LOAN0000061,APP0000571,CUST0000973,7772.32,8.2,24,2026-01-22,2028-01-22,Active,352.23
LOAN0000062,APP0000560,CUST0000397,9755.65,8.83,36,2024-01-30,2027-01-29,Active,309.46
LOAN0000063,APP0001377,CUST0000024,5787.71,7.9,72,2024-08-18,2030-08-18,Active,101.19
LOAN0000064,APP0000353,CUST0000818,25532.16,6.47,60,2023-10-07,2028-10-06,Active,499.21
LOAN0000065,APP0000548,CUST0000934,8646.47,9.19,24,2025-08-15,2027-08-15,Active,395.77
LOAN0000066,APP0000310,CUST0000604,3250.57,4.54,12,2023-01-17,2024-01-17,Paid Off,277.59
LOAN0000067,APP0000225,CUST0000465,14180.95,6.34,36,2025-12-07,2028-12-06,Active,433.6
LOAN0000068,APP0000091,CUST0000510,-31410.49,6.14,24,2022-04-14,2024-04-13,Paid Off,1394.11
LOAN0000069,APP0000859,CUST0000061,6434.24,13.2,60,2025-04-02,2030-04-02,Active,147.06
LOAN0000070,APP0001291,CUST0000916,17949.73,11.59,36,2024-01-21,2027-01-20,Active,592.68
LOAN0000071,APP0001332,CUST0000250,9449.76,13.22,72,2022-03-23,2028-03-22,Active,190.79
LOAN0000072,APP0000140,CUST0000349,17400.91,10.78,24,2022-08-08,2024-08-07,Paid Off,809.24
LOAN0000073,APP0000201,CUST0000266,6253.62,9.38,84,2022-12-06,2029-12-05,Active,101.83
LOAN0000074,APP0000697,CUST0000096,15494.65,9.57,60,2024-03-08,2029-03-08,Defaulted,325.95
LOAN0000075,APP0001067,CUST0000330,12928.56,14.01,60,2024-09-30,2029-09-30,Active,300.89
LOAN0000076,APP0001239,CUST0000869,16874.28,5.41,84,2024-02-27,2031-02-26,Active,241.76
LOAN0000077,APP0001001,CUST0000473,5279.73,10.29,36,2025-08-21,2028-08-20,Active,171.08
LOAN0000078,APP0000604,CUST0000726,-24716.19,8.48,24,2022-12-22,2024-12-21,Paid Off,1123.26
LOAN0000079,APP0000251,CUST0000763,2705.65,9.38,36,2026-07-04,2029-07-03,Active,86.52
LOAN0000080,APP0000416,CUST0000004,43433.55,6.76,60,2023-03-19,2028-03-18,Active,855.13
LOAN0000081,APP0001270,CUST0000682,20826.41,9.24,72,2022-05-20,2028-05-19,Active,377.89
LOAN0000082,APP0000672,CUST0000198,26984.76,9.58,36,2026-03-02,2029-03-01,Active,865.41
LOAN0000083,APP0000327,CUST0000233,62272.32,8.21,60,2026-05-24,2031-05-24,Active,1268.93
LOAN0000084,APP0001489,CUST0000835,32792.26,7.81,24,2024-06-02,2026-06-02,Paid Off,1480.27
LOAN0000085,APP0001217,CUST0000020,39164.39,11.41,24,2023-03-10,2025-03-09,Paid Off,1832.83
LOAN0000086,APP0001328,CUST0000622,24154.45,7.55,48,2026-02-13,2030-02-13,Defaulted,584.59
LOAN0000087,APP0000424,CUST0000889,8771.39,10.91,36,2024-02-04,2027-02-03,Active,286.79
LOAN0000088,APP0000484,CUST0000710,39744.95,8.83,24,2023-07-20,2025-07-19,Paid Off,1812.64
LOAN0000089,APP0000851,CUST0000928,13087.14,6.95,60,2024-02-17,2029-02-16,Active,258.83
LOAN0000090,APP0001279,CUST0000721,8124.87,11.92,48,2022-05-21,2026-05-21,Paid Off,213.64
LOAN0000091,APP0000452,CUST0000953,17554.34,6.63,48,2024-02-15,2028-02-15,Active,417.35
LOAN0000092,APP0000254,CUST0000314,14605.47,,24,2022-06-01,2024-05-31,Paid Off,657.71
LOAN0000093,APP0001065,CUST0000513,576.48,16.16,24,2026-09-03,2028-09-02,Active,28.27
LOAN0000094,APP0000830,CUST0000345,28336.16,10.62,60,2022-05-01,2027-05-01,Active,610.74
LOAN0000095,APP0000078,CUST0000488,8824.78,7.78,72,2025-12-06,2031-12-06,Active,153.78
LOAN0000096,APP0000494,CUST0000078,17467.42,10.66,24,2022-08-28,2024-08-27,Paid Off,811.36
LOAN0000097,APP0001125,CUST0000674,1998.0,8.77,60,2025-06-11,2030-06-11,Active,41.25
LOAN0000098,APP0000640,CUST0000913,9981.81,8.56,60,2024-05-28,2029-05-28,Active,205.08
LOAN0000099,APP0000015,CUST0000232,5878.72,9.93,60,2023-03-15,2028-03-14,Active,124.7
LOAN0000100,APP0000660,CUST0000084,52364.03,7.98,48,2022-02-22,2026-02-22,Paid Off,1277.87
LOAN0000101,APP0000621,CUST0000422,14474.44,11.8,36,2025-09-15,2028-09-14,Active,479.38
LOAN0000102,APP0001180,CUST0000551,31931.9,7.24,60,2021-10-20,2026-10-20,Active,635.91
LOAN0000103,APP0000599,CUST0000671,,7.5,36,2024-01-29,2027-01-28,Active,280.45
LOAN0000104,APP0000793,CUST0000488,4387.38,8.61,24,2023-09-25,2025-09-24,Paid Off,199.65
LOAN0000105,APP0001434,CUST0000330,39213.44,10.67,36,2025-06-24,2028-06-23,Defaulted,1277.68
LOAN0000106,APP0001466,CUST0000453,25207.86,6.74,36,2026-03-13,2029-03-12,Active,775.35
LOAN0000107,APP0000522,CUST0000522,13256.66,6.8,48,2026-03-01,2030-03-01,Active,316.22
LOAN0000108,APP0001308,CUST0000303,5659.21,13.54,72,2024-05-31,2030-05-31,Active,115.22
LOAN0000109,APP0001331,CUST0000993,13291.28,7.57,36,2024-12-10,2027-12-10,Active,413.87
LOAN0000110,APP0000795,CUST0000466,13515.58,9.73,36,2023-08-23,2026-08-22,Paid Off,434.4
LOAN0000111,APP0001185,CUST0000196,44553.27,5.51,84,2023-10-07,2030-10-06,Active,640.44
LOAN0000112,APP0000831,CUST0000398,5740.32,13.85,24,2024-09-30,2026-09-30,Defaulted,275.2
LOAN0000113,APP0000507,CUST0000804,3247.6,15.74,12,2024-01-27,2025-01-26,Paid Off,294.26
LOAN0000114,APP0000735,CUST0000879,11804.11,7.4,72,2024-06-22,2030-06-22,Active,203.52
LOAN0000115,APP0000491,CUST0000780,8865.94,9.79,84,2023-08-13,2030-08-12,Defaulted,146.22
LOAN0000116,APP0000122,CUST0000269,12176.64,10.16,60,2025-10-28,2030-10-28,Delinquent,259.68
LOAN0000117,APP0000402,CUST0000975,13700.24,13.77,36,2024-05-31,2027-05-31,Defaulted,466.71
LOAN0000118,APP0000654,CUST0000545,8445.93,8.6,48,2024-02-06,2028-02-06,Active,208.58
LOAN0000119,APP0000947,CUST0000188,40270.73,8.2,60,2022-01-14,2027-01-14,Defaulted,820.41
LOAN0000120,APP0000718,CUST0000484,18798.67,6.54,72,2022-10-13,2028-10-12,Active,316.36
LOAN0000121,APP0000872,CUST0000032,14642.34,11.51,24,2022-05-12,2024-05-11,Paid Off,685.92
LOAN0000122,APP0001445,CUST0000253,31980.84,7.91,72,2022-04-04,2028-04-03,Active,559.32
LOAN0000123,APP0000607,CUST0000662,11633.27,6.7,48,2025-03-23,2029-03-23,Active,276.96
LOAN0000124,APP0001302,CUST0000801,7987.7,13.45,12,2022-06-26,2023-06-26,Paid Off,715.13
LOAN0000125,APP0000138,CUST0000580,3869.12,10.6,24,2025-01-07,2027-01-07,Active,179.61
LOAN0000126,APP0000503,CUST0000058,35109.7,10.36,12,2023-10-11,2024-10-10,Paid Off,3092.58
LOAN0000127,APP0000742,CUST0000994,14768.52,8.56,84,2026-03-15,2033-03-14,Active,234.33
LOAN0000128,APP0000480,CUST0000660,8859.28,10.21,36,2026-04-24,2029-04-23,Active,286.74
LOAN0000129,APP0000250,CUST0000236,20837.75,11.07,60,2022-09-08,2027-09-08,Delinquent,453.79
LOAN0000130,APP0001412,CUST0000431,6465.99,10.79,12,2025-12-31,2026-12-31,Active,570.84
LOAN0000131,APP0001295,CUST0000115,2994.11,9.23,60,2023-02-03,2028-02-03,Active,62.49
LOAN0000132,APP0000711,CUST0000669,19308.05,10.6,36,2024-02-15,2027-02-14,Active,628.47
LOAN0000133,APP0000633,CUST0000758,20860.37,8.15,72,2024-06-18,2030-06-18,Active,367.28
LOAN0000134,APP0000743,CUST0000241,15524.9,7.26,48,2024-08-05,2028-08-05,Active,373.64
LOAN0000135,APP0000587,CUST0000757,9746.55,6.89,60,2025-07-14,2030-07-14,Active,192.49
LOAN0000136,APP0000893,CUST0000678,2263.24,14.59,48,2022-03-14,2026-03-14,Paid Off,62.52
LOAN0000137,APP0000905,CUST0000463,46623.59,8.52,48,2025-08-19,2029-08-19,Active,1149.63
LOAN0000138,APP0000728,CUST0000052,19475.13,10.92,84,2023-07-05,2030-07-04,Active,332.64
LOAN0000139,APP0000359,CUST0000859,19870.47,8.5,36,2023-11-10,2026-11-09,Active,627.26
LOAN0000140,APP0000789,CUST0000221,4358.42,11.06,72,2023-08-25,2029-08-24,Active,83.09
LOAN0000141,APP0000300,CUST0000292,,10.26,12,2025-10-17,2026-10-17,Active,2633.83
LOAN0000142,APP0000167,CUST0000897,17923.53,10.52,48,2024-01-20,2028-01-20,Active,459.08
LOAN0000143,APP0000295,CUST0000791,8745.24,9.44,72,2023-07-23,2029-07-22,Delinquent,159.55
LOAN0000144,APP0001170,CUST0000143,9804.74,10.59,72,2021-09-16,2027-09-16,Active,184.57
LOAN0000145,APP0000143,CUST0000538,39060.24,6.82,36,2022-01-20,2025-01-19,Paid Off,1202.85
LOAN0000146,APP0000376,CUST0000606,48638.37,7.22,36,2023-06-25,2026-06-24,Paid Off,1506.71
LOAN0000147,APP0000499,CUST0000364,6771.19,11.98,60,2022-01-26,2027-01-26,Active,150.55
LOAN0000148,APP0001408,CUST0000105,71100.84,10.51,36,2021-10-08,2024-10-07,Paid Off,2311.29
LOAN0000149,APP0000534,CUST0000764,33361.26,6.22,72,2023-04-10,2029-04-09,Active,556.36
LOAN0000150,APP0000227,CUST0000901,9512.0,6.02,24,2023-08-17,2025-08-16,Paid Off,421.66
LOAN0000151,APP0000019,CUST0000118,2575.39,9.79,12,2023-08-02,2024-08-01,Paid Off,226.17
LOAN0000152,APP0000564,CUST0000805,28343.9,-5.91,60,2023-07-17,2028-07-16,Active,546.78
LOAN0000153,APP0000512,CUST0000245,10086.88,7.54,36,2024-01-23,2027-01-22,Active,313.95
LOAN0000154,APP0000438,CUST0000605,6612.94,11.71,36,2024-02-06,2027-02-05,Active,218.73
LOAN0000155,APP0000535,CUST0000067,8899.7,9.69,36,2025-06-30,2028-06-29,Active,285.87
LOAN0000156,APP0000662,CUST0000047,1045.42,,84,2022-01-13,2029-01-12,Active,19.97
LOAN0000157,APP0001369,CUST0000083,14025.3,8.63,48,2025-06-26,2029-06-26,Active,346.56
LOAN0000158,APP0001461,CUST0000766,15288.85,9.3,84,2026-05-24,2033-05-23,Defaulted,248.32
LOAN0000159,APP0001043,CUST0000902,1363.82,14.93,36,2022-05-23,2025-05-22,Paid Off,47.23
LOAN0000160,APP0001371,CUST0000148,2177.31,15.9,36,2023-03-17,2026-03-16,Paid Off,76.44
LOAN0000161,APP0000415,CUST0000522,30814.0,7.92,24,2021-11-27,2023-11-27,Paid Off,1392.51
LOAN0000162,APP0001075,CUST0000866,16176.6,11.47,36,2024-10-18,2027-10-18,Active,533.21
LOAN0000163,APP0000649,CUST0000003,,8.32,12,2022-11-15,2023-11-15,Paid Off,488.31
LOAN0000164,APP0000596,CUST0000966,41385.73,5.69,12,2022-12-28,2023-12-28,Paid Off,3556.03
LOAN0000165,APP0000806,CUST0000907,1380.87,15.51,36,2023-04-29,2026-04-28,Paid Off,48.21
LOAN0000166,APP0001433,CUST0000612,11355.09,13.57,60,2026-03-24,2031-03-24,Delinquent,261.69
LOAN0000167,APP0000469,CUST0000260,31778.13,6.56,36,2023-11-07,2026-11-06,Active,974.84
LOAN0000168,APP0001325,CUST0000850,20376.72,6.98,48,2022-10-31,2026-10-31,Active,487.76
LOAN0000169,APP0000278,CUST0000889,32791.87,7.03,36,2022-03-21,2025-03-20,Paid Off,1012.97
LOAN0000170,APP0001303,CUST0000156,54189.2,6.82,48,2023-08-16,2027-08-16,Active,1293.11
LOAN0000171,APP0001230,CUST0000710,5759.24,9.13,60,2025-12-02,2030-12-02,Active,119.92
LOAN0000172,APP0000274,CUST0000692,7953.2,7.64,60,2025-05-30,2030-05-30,Active,159.9
LOAN0000173,APP0001157,CUST0000500,2125.77,6.67,60,2022-11-27,2022-11-16,Active,41.76
LOAN0000174,APP0000983,CUST0000976,48163.15,4.73,24,2025-08-11,2027-08-11,Active,2107.17
LOAN0000175,APP0000466,CUST0000265,11340.38,5.92,36,2025-07-01,2028-06-30,Active,344.59
LOAN0000176,APP0001122,CUST0000098,32467.05,7.74,60,2023-12-28,2028-12-27,Active,654.28
LOAN0000177,APP0000476,CUST0000681,5519.4,10.77,84,2025-03-28,2032-03-27,Delinquent,93.84
LOAN0000178,APP0001457,CUST0000675,40208.7,7.03,48,2024-08-14,2028-08-14,Active,963.41
LOAN0000179,APP0001108,CUST0000796,2162.21,16.21,36,2024-04-25,2027-04-25,Active,76.24
LOAN0000180,APP0000422,CUST0000371,20924.29,7.78,60,2025-07-11,2030-07-11,Active,422.07
LOAN0000181,APP0000911,CUST0000393,7159.32,8.8,84,2025-03-22,2032-03-21,Active,114.46
LOAN0000182,APP0001048,CUST0000834,1124.8,16.05,36,2024-12-15,2027-12-15,Defaulted,39.57
LOAN0000183,APP0000394,CUST0000713,13141.52,7.05,24,2022-01-21,2024-01-21,Paid Off,588.68
LOAN0000184,APP0000398,CUST0000347,24965.08,6.41,60,2023-10-11,2028-10-10,Active,487.42
LOAN0000185,APP0001061,CUST0000327,4146.67,10.58,60,2024-02-09,2029-02-08,Active,89.29
LOAN0000186,APP0000840,CUST0000776,-15352.12,12.55,24,2026-02-13,2028-02-13,Active,726.63
LOAN0000187,APP0000301,CUST0000518,6159.44,10.85,36,2024-09-06,2027-09-06,Defaulted,201.21
LOAN0000188,APP0000257,CUST0000979,14730.44,6.48,48,2022-03-11,2026-03-11,Paid Off,349.2
LOAN0000189,APP0000901,CUST0000937,64728.33,6.53,60,2025-10-05,2030-10-05,Active,1267.39
LOAN0000190,APP0000886,CUST0000337,,,60,2023-10-27,2028-10-26,Active,293.17
LOAN0000191,APP0001265,CUST0000044,42926.81,8.83,24,2023-12-01,2025-11-30,Paid Off,1957.75
LOAN0000192,APP0000965,CUST0000222,18637.69,6.97,24,2022-08-13,2024-08-12,Paid Off,834.2
LOAN0000193,APP0000190,CUST0000003,21131.16,11.69,60,2023-01-26,2028-01-26,Active,466.75
LOAN0000194,APP0000072,CUST0000341,21325.8,13.02,24,2023-11-08,2025-11-07,Paid Off,1014.07
LOAN0000195,APP0000725,CUST0000180,16426.72,6.63,36,2022-08-12,2025-08-11,Paid Off,504.44
LOAN0000196,APP0000471,CUST0000862,10073.14,13.41,48,2025-03-17,2029-03-17,Delinquent,272.29
LOAN0000197,APP0000685,CUST0000932,3165.69,15.3,36,2025-10-20,2028-10-19,Active,110.21
LOAN0000198,APP0000943,CUST0000959,21313.41,6.3,60,2025-04-09,2030-04-09,Active,415.03
LOAN0000199,APP0000920,CUST0000422,2600.35,7.56,12,2022-09-27,2023-09-27,Paid Off,225.67
LOAN0000200,APP0001415,CUST0000200,11374.81,13.8,60,2023-05-24,2028-05-23,Active,263.49
LOAN0000201,APP0000630,CUST0000283,25431.85,9.66,48,2023-04-30,2027-04-30,Active,640.87
LOAN0000202,APP0000347,CUST0000060,2699.74,7.97,48,2023-01-21,2027-01-21,Defaulted,65.87
LOAN0000203,APP0000566,CUST0000928,27896.42,7.24,72,2025-10-11,2031-10-11,Active,478.83
LOAN0000204,APP0001492,CUST0000209,15244.48,8.12,24,2026-08-05,2028-08-04,Active,690.3
LOAN0000205,APP0000395,CUST0000080,35347.28,7.59,60,2022-11-26,2027-11-26,Active,709.8
LOAN0000206,APP0000161,CUST0000997,3379.09,8.52,24,2024-10-24,2026-10-24,Defaulted,153.63
LOAN0000207,APP0000047,CUST0000383,54160.85,11.29,84,2023-04-17,2030-04-16,Active,935.64
LOAN0000208,APP0001131,CUST0000886,7933.48,5.93,12,2024-07-09,2025-07-09,Paid Off,682.55
LOAN0000209,APP0000008,CUST0000225,11558.07,10.4,48,2024-07-07,2028-07-07,Active,295.37
LOAN0000210,APP0001327,CUST0000782,7228.78,7.13,24,2024-11-16,2026-11-16,Active,324.08
LOAN0000211,APP0000202,CUST0000060,19751.22,6.98,36,2022-10-26,2025-10-25,Paid Off,609.68
LOAN0000212,APP0000292,CUST0000244,14035.07,10.12,24,2021-09-16,2023-09-16,Paid Off,648.42
LOAN0000213,APP0000291,CUST0000023,25792.44,6.58,24,2022-03-27,2024-03-26,Paid Off,1149.89
LOAN0000214,APP0000077,CUST0000290,10250.97,6.17,12,2023-05-18,2024-05-17,Paid Off,883.07
LOAN0000215,APP0000719,CUST0000448,21926.63,8.53,12,2022-05-14,2023-05-14,Paid Off,1912.74
LOAN0000216,APP0000715,CUST0000899,27082.24,7.74,60,2024-02-19,2029-02-18,Active,545.77
LOAN0000217,APP0000717,CUST0000492,22375.49,6.3,36,2025-04-04,2028-04-03,Active,683.75
LOAN0000218,APP0000700,CUST0000200,9951.81,7.65,12,2024-02-02,2025-02-01,Paid Off,864.08
LOAN0000219,APP0001284,CUST0000901,18433.41,11.81,72,2026-01-23,2032-01-23,Active,358.56
LOAN0000220,APP0000245,CUST0000997,20102.62,11.0,48,2025-05-03,2029-05-03,Active,519.56
LOAN0000221,APP0001218,CUST0000720,18227.62,9.5,24,2024-10-25,2026-10-25,Active,836.91
LOAN0000222,APP0001188,CUST0000435,11127.8,14.75,36,2024-06-27,2027-06-27,Delinquent,384.39
LOAN0000223,APP0001244,CUST0000379,5370.64,11.26,36,2025-01-04,2028-01-04,Active,176.49
LOAN0000224,APP0000879,CUST0000556,41445.26,10.15,48,2024-08-24,2028-08-24,Delinquent,1054.15
LOAN0000225,APP0000012,CUST0000127,4212.31,6.25,72,2025-05-16,2031-05-16,Active,70.31
LOAN0000226,APP0001040,CUST0000893,3686.76,14.31,48,2023-01-31,2027-01-31,Delinquent,101.32
LOAN0000227,APP0001114,CUST0000949,13548.96,8.3,84,2024-09-17,2031-09-17,Active,213.21
LOAN0000228,APP0000160,CUST0000683,60692.57,6.48,60,2026-05-11,2031-05-11,Active,1186.95
LOAN0000229,APP0000403,CUST0000179,2290.36,12.98,84,2023-05-05,2030-05-04,Active,41.64
LOAN0000230,APP0001336,CUST0000869,11621.28,5.71,48,2024-01-23,2028-01-23,Active,271.38
LOAN0000231,APP0001474,CUST0000896,20186.83,9.69,48,2024-10-08,2028-10-08,Defaulted,508.99
LOAN0000232,APP0001179,CUST0000762,1286.48,14.57,60,2021-09-22,2026-09-22,Defaulted,30.32
LOAN0000233,APP0000165,CUST0000781,101062.86,10.06,60,2023-07-24,2028-07-23,Active,2150.27
LOAN0000234,APP0001363,CUST0000396,2670.26,10.48,12,2021-10-09,2022-10-09,Paid Off,235.35
LOAN0000235,APP0000449,CUST0000767,29809.88,8.76,24,2026-01-03,2028-01-03,Active,1358.58
LOAN0000236,APP0001443,CUST0000945,2617.8,12.54,24,2023-04-23,2025-04-22,Paid Off,123.89
LOAN0000237,APP0000364,CUST0000988,29351.87,8.59,24,2023-06-24,2025-06-23,Paid Off,1335.42
LOAN0000238,APP0000533,CUST0000420,20251.98,7.15,72,2024-10-01,2030-10-01,Active,346.74
LOAN0000239,APP0001022,CUST0000856,-8003.53,7.52,60,2024-12-09,2029-12-09,Active,160.45
LOAN0000240,APP0000219,CUST0000608,11834.33,7.75,24,2024-07-20,2026-07-20,Paid Off,533.89
LOAN0000241,APP0000670,CUST0000791,12431.26,7.52,36,2025-09-23,2028-09-22,Active,386.8
LOAN0000242,APP0001447,CUST0000420,15936.58,6.75,24,2024-05-14,2026-05-14,Paid Off,711.72
LOAN0000243,APP0001499,CUST0000094,11953.21,5.29,60,2023-05-10,2028-05-09,Active,227.16
LOAN0000244,APP0001176,CUST0000562,34700.15,12.29,72,2024-06-30,2030-06-30,Active,683.64
LOAN0000245,APP0001438,CUST0000346,35332.26,8.28,24,2023-01-22,2025-01-21,Paid Off,1602.5
LOAN0000246,APP0000126,CUST0000874,29985.63,9.95,36,2022-02-08,2025-02-07,Paid Off,966.85
LOAN0000247,APP0001148,CUST0000511,1900.12,10.41,84,2026-05-10,2033-05-09,Active,31.95
LOAN0000248,APP0000906,CUST0000569,10927.79,9.23,48,2023-03-08,2027-03-08,Active,273.13
LOAN0000249,APP0001383,CUST0000632,68300.95,6.09,72,2023-01-10,2029-01-09,Active,1134.85
LOAN0000250,APP0000714,CUST0000398,5650.68,14.56,36,2025-11-29,2028-11-28,Active,194.67
LOAN0000251,APP0000726,CUST0000975,17654.8,7.33,24,2025-06-27,2027-06-27,Active,793.09
LOAN0000252,APP0000119,CUST0000521,79902.76,,60,2023-05-23,2028-05-22,Active,1682.41
LOAN0000253,APP0000828,CUST0000066,8810.05,4.46,24,2023-05-24,2025-05-23,Paid Off,384.38
LOAN0000254,APP0001196,CUST0000296,21671.97,9.0,60,2024-07-26,2029-07-26,Active,449.87
LOAN0000255,APP0000029,CUST0000491,19012.81,7.31,60,2024-04-07,2029-04-07,Active,379.26
LOAN0000256,APP0001333,CUST0000931,2762.93,14.03,36,2022-12-26,2025-12-25,Paid Off,94.47
