assessment_id,customer_id,loan_id,assessment_date,risk_score,probability_of_default,risk_category,model_version
RISK0000042,CUST0000954,LOAN0000042,2023-05-19,666,0.121,MEDIUM,synthetic-pd-v1.0
RISK0000043,CUST0000911,LOAN0000043,2024-09-04,733,0.0308,LOW,synthetic-pd-v1.0
RISK0000044,CUST0000363,LOAN0000044,2023-02-02,747,0.0231,LOW,synthetic-pd-v1.0
RISK0000045,CUST0000566,LOAN0000045,2024-12-10,608,0.3292,HIGH,synthetic-pd-v1.0
RISK0000046,CUST0000361,LOAN0000046,2022-10-16,654,0.1517,MEDIUM,synthetic-pd-v1.0
RISK0000047,CUST0000212,LOAN0000047,2022-04-15,604,0.3479,HIGH,synthetic-pd-v1.0
RISK0000048,CUST0000676,LOAN0000048,2026-03-16,578,0.4819,HIGH,synthetic-pd-v1.0
RISK0000049,CUST0000064,LOAN0000049,2026-07-05,652,0.158,MEDIUM,synthetic-pd-v1.0
RISK0000050,CUST0000550,LOAN0000050,2026-02-09,740,0.0268,LOW,synthetic-pd-v1.0
RISK0000051,CUST0000838,LOAN0000051,2022-04-23,770,0.0139,LOW,synthetic-pd-v1.0
RISK0000052,CUST0000697,LOAN0000052,2021-10-23,640,0.1964,MEDIUM,synthetic-pd-v1.0
RISK0000053,CUST0000300,LOAN0000053,2025-09-22,669,0.1147,MEDIUM,synthetic-pd-v1.0
RISK0000054,CUST0000039,LOAN0000054,2025-09-24,624,0.2539,MEDIUM,synthetic-pd-v1.0
RISK0000055,CUST0000726,LOAN0000055,2022-02-24,718,0.0426,LOW,synthetic-pd-v1.0
RISK0000056,CUST0000793,LOAN0000056,2024-06-18,567,0.5422,HIGH,synthetic-pd-v1.0
RISK0000057,CUST0000816,LOAN0000057,2023-03-24,734,0.0302,LOW,synthetic-pd-v1.0
RISK0000058,CUST0000978,LOAN0000058,2022-06-17,716,0.0443,LOW,synthetic-pd-v1.0
RISK0000059,CUST0000961,LOAN0000059,2022-09-23,707,0.0528,LOW,synthetic-pd-v1.0
RISK0000060,CUST0000626,LOAN0000060,2025-06-02,640,0.196,MEDIUM,synthetic-pd-v1.0
RISK0000061,CUST0000973,LOAN0000061,2026-01-22,772,0.0134,LOW,synthetic-pd-v1.0
RISK0000062,CUST0000397,LOAN0000062,2024-01-30,657,0.1437,MEDIUM,synthetic-pd-v1.0
RISK0000063,CUST0000024,LOAN0000063,2024-08-17,740,0.0265,LOW,synthetic-pd-v1.0
RISK0000064,CUST0000818,LOAN0000064,2023-10-06,759,0.0179,LOW,synthetic-pd-v1.0
RISK0000065,CUST0000934,LOAN0000065,2025-08-12,636,0.2101,MEDIUM,synthetic-pd-v1.0
RISK0000066,CUST0000604,LOAN0000066,2023-01-14,821,0.0046,LOW,synthetic-pd-v1.0
RISK0000067,CUST0000465,LOAN0000067,2025-12-04,732,0.0316,LOW,synthetic-pd-v1.0
RISK0000068,CUST0000510,LOAN0000068,2022-04-12,746,0.0233,LOW,synthetic-pd-v1.0
RISK0000069,CUST0000061,LOAN0000069,2025-04-02,605,0.3415,HIGH,synthetic-pd-v1.0
RISK0000070,CUST0000916,LOAN0000070,2024-01-21,687,0.0798,LOW,synthetic-pd-v1.0
RISK0000071,CUST0000250,LOAN0000071,2022-03-23,595,0.3926,HIGH,synthetic-pd-v1.0
RISK0000072,CUST0000349,LOAN0000072,2022-08-05,743,0.0252,LOW,synthetic-pd-v1.0
RISK0000073,CUST0000266,LOAN0000073,2022-12-05,708,0.0525,LOW,synthetic-pd-v1.0
RISK0000074,CUST0000096,LOAN0000074,2024-03-07,806,0.0064,LOW,synthetic-pd-v1.0
RISK0000075,CUST0000330,LOAN0000075,2024-09-29,654,0.1503,MEDIUM,synthetic-pd-v1.0
RISK0000076,CUST0000869,LOAN0000076,2024-02-26,717,0.0434,LOW,synthetic-pd-v1.0
RISK0000077,CUST0000473,LOAN0000077,2025-08-20,717,0.0428,LOW,synthetic-pd-v1.0
RISK0000078,CUST0000726,LOAN0000078,2022-12-20,716,0.044,LOW,synthetic-pd-v1.0
RISK0000079,CUST0000763,LOAN0000079,2026-07-02,787,0.0097,LOW,synthetic-pd-v1.0
RISK0000080,CUST0000004,LOAN0000080,2023-03-16,643,0.1833,MEDIUM,synthetic-pd-v1.0
RISK0000081,CUST0000682,LOAN0000081,2022-05-17,642,0.1888,MEDIUM,synthetic-pd-v1.0
RISK0000082,CUST0000198,LOAN0000082,2026-03-01,614,0.2986,MEDIUM,synthetic-pd-v1.0
RISK0000083,CUST0000233,LOAN0000083,2026-05-22,685,0.0835,LOW,synthetic-pd-v1.0
RISK0000084,CUST0000835,LOAN0000084,2024-05-30,771,0.0137,LOW,synthetic-pd-v1.0
RISK0000085,CUST0000020,LOAN0000085,2023-03-08,670,0.1126,MEDIUM,synthetic-pd-v1.0
RISK0000086,CUST0000622,LOAN0000086,2026-02-11,716,0.0442,LOW,synthetic-pd-v1.0
RISK0000087,CUST0000889,LOAN0000087,2024-02-01,615,0.2968,MEDIUM,synthetic-pd-v1.0
RISK0000088,CUST0000710,LOAN0000088,2023-07-20,608,0.3293,HIGH,synthetic-pd-v1.0
RISK0000089,CUST0000928,LOAN0000089,2024-02-16,754,0.0199,LOW,synthetic-pd-v1.0
RISK0000090,CUST0000721,LOAN0000090,2022-05-18,584,0.4529,HIGH,synthetic-pd-v1.0
RISK0000091,CUST0000953,LOAN0000091,2024-02-12,732,0.0317,LOW,synthetic-pd-v1.0
RISK0000092,CUST0000314,LOAN0000092,2022-05-29,770,0.0141,LOW,synthetic-pd-v1.0
RISK0000093,CUST0000513,LOAN0000093,2026-09-03,623,0.2598,MEDIUM,synthetic-pd-v1.0
RISK0000094,CUST0000345,LOAN0000094,2022-05-01,755,0.0194,LOW,synthetic-pd-v1.0
RISK0000095,CUST0000488,LOAN0000095,2025-12-05,606,0.3376,HIGH,synthetic-pd-v1.0
RISK0000096,CUST0000078,LOAN0000096,2022-08-26,672,0.108,MEDIUM,synthetic-pd-v1.0
RISK0000097,CUST0000674,LOAN0000097,2025-06-10,731,0.0325,LOW,synthetic-pd-v1.0
RISK0000098,CUST0000913,LOAN0000098,2024-05-26,632,0.2249,MEDIUM,synthetic-pd-v1.0
RISK0000099,CUST0000232,LOAN0000099,2023-03-13,757,0.0186,LOW,synthetic-pd-v1.0
RISK0000100,CUST0000084,LOAN0000100,2022-02-19,710,0.0504,LOW,synthetic-pd-v1.0
RISK0000101,CUST0000422,LOAN0000101,2025-09-13,679,0.0937,LOW,synthetic-pd-v1.0
RISK0000102,CUST0000551,LOAN0000102,2021-10-17,734,0.0301,LOW,synthetic-pd-v1.0
RISK0000103,CUST0000671,LOAN0000103,2024-01-28,697,0.0653,LOW,synthetic-pd-v1.0
RISK0000104,CUST0000488,LOAN0000104,2023-09-25,626,0.2484,MEDIUM,synthetic-pd-v1.0
RISK0000105,CUST0000330,LOAN0000105,2025-06-24,641,0.1923,MEDIUM,synthetic-pd-v1.0
RISK0000106,CUST0000453,LOAN0000106,2026-03-10,682,0.0876,LOW,synthetic-pd-v1.0
RISK0000107,CUST0000522,LOAN0000107,2026-03-01,750,0.0215,LOW,synthetic-pd-v1.0
RISK0000108,CUST0000303,LOAN0000108,2024-05-28,661,0.1318,MEDIUM,synthetic-pd-v1.0
RISK0000109,CUST0000993,LOAN0000109,2024-12-09,772,0.0135,LOW,synthetic-pd-v1.0
RISK0000110,CUST0000466,LOAN0000110,2023-08-22,696,0.0664,LOW,synthetic-pd-v1.0
RISK0000111,CUST0000196,LOAN0000111,2023-10-06,694,0.0693,LOW,synthetic-pd-v1.0
RISK0000112,CUST0000398,LOAN0000112,2024-09-28,509,0.8087,HIGH,synthetic-pd-v1.0
RISK0000113,CUST0000804,LOAN0000113,2024-01-24,510,0.8035,HIGH,synthetic-pd-v1.0
RISK0000114,CUST0000879,LOAN0000114,2024-06-21,599,0.3745,HIGH,synthetic-pd-v1.0
RISK0000115,CUST0000780,LOAN0000115,2023-08-11,710,0.0503,LOW,synthetic-pd-v1.0
RISK0000116,CUST0000269,LOAN0000116,2025-10-27,707,0.053,LOW,synthetic-pd-v1.0
RISK0000117,CUST0000975,LOAN0000117,2024-05-28,751,0.0209,LOW,synthetic-pd-v1.0
RISK0000118,CUST0000545,LOAN0000118,2024-02-05,654,0.152,MEDIUM,synthetic-pd-v1.0
RISK0000119,CUST0000188,LOAN0000119,2022-01-14,711,0.049,LOW,synthetic-pd-v1.0
RISK0000120,CUST0000484,LOAN0000120,2022-10-11,684,0.0841,LOW,synthetic-pd-v1.0
RISK0000121,CUST0000032,LOAN0000121,2022-05-12,720,0.0407,LOW,synthetic-pd-v1.0
RISK0000122,CUST0000253,LOAN0000122,2022-04-01,738,0.0278,LOW,synthetic-pd-v1.0
RISK0000123,CUST0000662,LOAN0000123,2025-03-21,756,0.0187,LOW,synthetic-pd-v1.0
RISK0000124,CUST0000801,LOAN0000124,2022-06-24,609,0.323,HIGH,synthetic-pd-v1.0
RISK0000125,CUST0000580,LOAN0000125,2025-01-07,659,0.1387,MEDIUM,synthetic-pd-v1.0
RISK0000126,CUST0000058,LOAN0000126,2023-10-09,684,0.0849,LOW,synthetic-pd-v1.0
RISK0000127,CUST0000994,LOAN0000127,2026-03-12,544,0.6648,HIGH,synthetic-pd-v1.0
RISK0000128,CUST0000660,LOAN0000128,2026-04-23,661,0.1337,MEDIUM,synthetic-pd-v1.0
RISK0000129,CUST0000236,LOAN0000129,2022-09-08,733,0.0311,LOW,synthetic-pd-v1.0
RISK0000130,CUST0000431,LOAN0000130,2025-12-29,665,0.123,MEDIUM,synthetic-pd-v1.0
RISK0000131,CUST0000115,LOAN0000131,2023-02-02,781,0.0112,LOW,synthetic-pd-v1.0
RISK0000132,CUST0000669,LOAN0000132,2024-02-15,704,0.0564,LOW,synthetic-pd-v1.0
RISK0000133,CUST0000758,LOAN0000133,2024-06-15,514,0.7895,HIGH,synthetic-pd-v1.0
RISK0000134,CUST0000241,LOAN0000134,2024-08-04,729,0.0335,LOW,synthetic-pd-v1.0
RISK0000135,CUST0000757,LOAN0000135,2025-07-12,783,0.0105,LOW,synthetic-pd-v1.0
RISK0000136,CUST0000678,LOAN0000136,2022-03-12,627,0.242,MEDIUM,synthetic-pd-v1.0
RISK0000137,CUST0000463,LOAN0000137,2025-08-19,700,0.0609,LOW,synthetic-pd-v1.0
RISK0000138,CUST0000052,LOAN0000138,2023-07-03,716,0.0444,LOW,synthetic-pd-v1.0
RISK0000139,CUST0000859,LOAN0000139,2023-11-07,649,0.1652,MEDIUM,synthetic-pd-v1.0
RISK0000140,CUST0000221,LOAN0000140,2023-08-23,699,0.063,LOW,synthetic-pd-v1.0
RISK0000141,CUST0000292,LOAN0000141,2025-10-17,641,0.1909,MEDIUM,synthetic-pd-v1.0
RISK0000142,CUST0000897,LOAN0000142,2024-01-17,662,0.1294,MEDIUM,synthetic-pd-v1.0
RISK0000143,CUST0000791,LOAN0000143,2023-07-20,745,0.0238,LOW,synthetic-pd-v1.0
RISK0000144,CUST0000143,LOAN0000144,2021-09-15,707,0.0532,LOW,synthetic-pd-v1.0
RISK0000145,CUST0000538,LOAN0000145,2022-01-18,750,0.0216,LOW,synthetic-pd-v1.0
RISK0000146,CUST0000606,LOAN0000146,2023-06-24,701,0.0605,LOW,synthetic-pd-v1.0
RISK0000147,CUST0000364,LOAN0000147,2022-01-26,672,0.1084,MEDIUM,synthetic-pd-v1.0
RISK0000148,CUST0000105,LOAN0000148,2021-10-05,588,0.4288,HIGH,synthetic-pd-v1.0
RISK0000149,CUST0000764,LOAN0000149,2023-04-10,565,0.5545,HIGH,synthetic-pd-v1.0
RISK0000150,CUST0000901,LOAN0000150,2023-08-15,741,0.0262,LOW,synthetic-pd-v1.0
RISK0000151,CUST0000118,LOAN0000151,2023-08-02,697,0.065,LOW,synthetic-pd-v1.0
RISK0000152,CUST0000805,LOAN0000152,2023-07-14,680,0.0923,MEDIUM,synthetic-pd-v1.0
RISK0000153,CUST0000245,LOAN0000153,2024-01-23,732,0.0313,LOW,synthetic-pd-v1.0
RISK0000154,CUST0000605,LOAN0000154,2024-02-06,769,0.0144,LOW,synthetic-pd-v1.0
RISK0000155,CUST0000067,LOAN0000155,2025-06-27,661,0.1331,MEDIUM,synthetic-pd-v1.0
RISK0000156,CUST0000047,LOAN0000156,2022-01-13,625,0.2512,MEDIUM,synthetic-pd-v1.0
RISK0000157,CUST0000083,LOAN0000157,2025-06-23,778,0.0119,LOW,synthetic-pd-v1.0
RISK0000158,CUST0000766,LOAN0000158,2026-05-21,671,0.1092,LOW,synthetic-pd-v1.0
RISK0000159,CUST0000902,LOAN0000159,2022-05-22,550,0.6326,HIGH,synthetic-pd-v1.0
RISK0000160,CUST0000148,LOAN0000160,2023-03-14,537,0.6967,HIGH,synthetic-pd-v1.0
RISK0000161,CUST0000522,LOAN0000161,2021-11-26,753,0.0201,LOW,synthetic-pd-v1.0
RISK0000162,CUST0000866,LOAN0000162,2024-10-17,657,0.1435,MEDIUM,synthetic-pd-v1.0
RISK0000163,CUST0000003,LOAN0000163,2022-11-15,765,0.0157,LOW,synthetic-pd-v1.0
RISK0000164,CUST0000966,LOAN0000164,2022-12-27,648,0.1699,MEDIUM,synthetic-pd-v1.0
RISK0000165,CUST0000907,LOAN0000165,2023-04-29,551,0.6263,HIGH,synthetic-pd-v1.0
RISK0000166,CUST0000612,LOAN0000166,2026-03-23,646,0.1763,MEDIUM,synthetic-pd-v1.0
RISK0000167,CUST0000260,LOAN0000167,2023-11-07,627,0.243,MEDIUM,synthetic-pd-v1.0
RISK0000168,CUST0000850,LOAN0000168,2022-10-31,736,0.0292,LOW,synthetic-pd-v1.0
RISK0000169,CUST0000889,LOAN0000169,2022-03-18,630,0.2316,MEDIUM,synthetic-pd-v1.0
RISK0000170,CUST0000156,LOAN0000170,2023-08-13,627,0.2437,MEDIUM,synthetic-pd-v1.0
RISK0000171,CUST0000710,LOAN0000171,2025-12-01,688,0.0782,LOW,synthetic-pd-v1.0
RISK0000172,CUST0000692,LOAN0000172,2025-05-29,700,0.0613,LOW,synthetic-pd-v1.0
RISK0000173,CUST0000500,LOAN0000173,2022-11-27,715,0.0447,LOW,synthetic-pd-v1.0
RISK0000174,CUST0000976,LOAN0000174,2025-08-09,789,0.0094,LOW,synthetic-pd-v1.0
RISK0000175,CUST0000265,LOAN0000175,2025-06-29,686,0.0823,LOW,synthetic-pd-v1.0
RISK0000176,CUST0000098,LOAN0000176,2023-12-27,677,0.0983,LOW,synthetic-pd-v1.0
RISK0000177,CUST0000681,LOAN0000177,2025-03-26,686,0.0816,LOW,synthetic-pd-v1.0
RISK0000178,CUST0000675,LOAN0000178,2024-08-13,667,0.1186,MEDIUM,synthetic-pd-v1.0
RISK0000179,CUST0000796,LOAN0000179,2024-04-24,497,0.845,HIGH,synthetic-pd-v1.0
RISK0000180,CUST0000371,LOAN0000180,2025-07-09,696,0.0672,LOW,synthetic-pd-v1.0
RISK0000181,CUST0000393,LOAN0000181,2025-03-20,719,0.0418,LOW,synthetic-pd-v1.0
RISK0000182,CUST0000834,LOAN0000182,2024-12-12,621,0.2693,MEDIUM,synthetic-pd-v1.0
RISK0000183,CUST0000713,LOAN0000183,2022-01-19,708,0.0525,LOW,synthetic-pd-v1.0
RISK0000184,CUST0000347,LOAN0000184,2023-10-10,718,0.0425,LOW,synthetic-pd-v1.0
RISK0000185,CUST0000327,LOAN0000185,2024-02-09,660,0.1366,MEDIUM,synthetic-pd-v1.0
RISK0000186,CUST0000776,LOAN0000186,2026-02-10,703,0.0574,LOW,synthetic-pd-v1.0
RISK0000187,CUST0000518,LOAN0000187,2024-09-06,767,0.0151,LOW,synthetic-pd-v1.0
RISK0000188,CUST0000979,LOAN0000188,2022-03-09,731,0.0319,LOW,synthetic-pd-v1.0
RISK0000189,CUST0000937,LOAN0000189,2025-10-05,744,0.0243,LOW,synthetic-pd-v1.0
RISK0000190,CUST0000337,LOAN0000190,2023-10-27,642,0.1882,MEDIUM,synthetic-pd-v1.0
RISK0000191,CUST0000044,LOAN0000191,2023-11-29,761,0.0169,LOW,synthetic-pd-v1.0
RISK0000192,CUST0000222,LOAN0000192,2022-08-10,794,0.0083,LOW,synthetic-pd-v1.0
RISK0000193,CUST0000003,LOAN0000193,2023-01-26,675,0.1008,MEDIUM,synthetic-pd-v1.0
RISK0000194,CUST0000341,LOAN0000194,2023-11-08,630,0.2316,MEDIUM,synthetic-pd-v1.0
RISK0000195,CUST0000180,LOAN0000195,2022-08-09,643,0.1862,MEDIUM,synthetic-pd-v1.0
RISK0000196,CUST0000862,LOAN0000196,2025-03-15,579,0.4788,HIGH,synthetic-pd-v1.0
RISK0000197,CUST0000932,LOAN0000197,2025-10-20,482,0.8842,HIGH,synthetic-pd-v1.0
RISK0000198,CUST0000959,LOAN0000198,2025-04-08,788,0.0095,LOW,synthetic-pd-v1.0
RISK0000199,CUST0000422,LOAN0000199,2022-09-25,720,0.0407,LOW,synthetic-pd-v1.0
RISK0000200,CUST0000200,LOAN0000200,2023-05-23,678,0.0949,LOW,synthetic-pd-v1.0
RISK0000201,CUST0000283,LOAN0000201,2023-04-30,707,0.053,LOW,synthetic-pd-v1.0
RISK0000202,CUST0000060,LOAN0000202,2023-01-20,749,0.0219,LOW,synthetic-pd-v1.0
RISK0000203,CUST0000928,LOAN0000203,2025-10-09,761,0.0169,LOW,synthetic-pd-v1.0
RISK0000204,CUST0000209,LOAN0000204,2026-08-03,760,0.0175,LOW,synthetic-pd-v1.0
RISK0000205,CUST0000080,LOAN0000205,2022-11-24,645,0.1775,MEDIUM,synthetic-pd-v1.0
RISK0000206,CUST0000997,LOAN0000206,2024-10-22,692,0.072,LOW,synthetic-pd-v1.0
RISK0000207,CUST0000383,LOAN0000207,2023-04-14,588,0.4315,HIGH,synthetic-pd-v1.0
RISK0000208,CUST0000886,LOAN0000208,2024-07-07,803,0.0069,LOW,synthetic-pd-v1.0
RISK0000209,CUST0000225,LOAN0000209,2024-07-07,672,0.1067,LOW,synthetic-pd-v1.0
RISK0000210,CUST0000782,LOAN0000210,2024-11-14,758,0.018,LOW,synthetic-pd-v1.0
RISK0000211,CUST0000060,LOAN0000211,2022-10-25,741,0.0259,LOW,synthetic-pd-v1.0
RISK0000212,CUST0000244,LOAN0000212,2021-09-15,730,0.0328,LOW,synthetic-pd-v1.0
RISK0000213,CUST0000023,LOAN0000213,2022-03-24,693,0.0706,LOW,synthetic-pd-v1.0
RISK0000214,CUST0000290,LOAN0000214,2023-05-15,650,0.1618,MEDIUM,synthetic-pd-v1.0
RISK0000215,CUST0000448,LOAN0000215,2022-05-13,734,0.0302,LOW,synthetic-pd-v1.0
RISK0000216,CUST0000899,LOAN0000216,2024-02-17,694,0.0698,MEDIUM,synthetic-pd-v1.0
RISK0000217,CUST0000492,LOAN0000217,2025-04-03,664,0.1251,MEDIUM,synthetic-pd-v1.0
RISK0000218,CUST0000200,LOAN0000218,2024-01-30,690,0.0754,LOW,synthetic-pd-v1.0
RISK0000219,CUST0000901,LOAN0000219,2026-01-22,701,0.0606,LOW,synthetic-pd-v1.0
RISK0000220,CUST0000997,LOAN0000220,2025-05-01,676,0.0994,LOW,synthetic-pd-v1.0
RISK0000221,CUST0000720,LOAN0000221,2024-10-22,648,0.17,MEDIUM,synthetic-pd-v1.0
RISK0000222,CUST0000435,LOAN0000222,2024-06-26,610,0.3196,HIGH,synthetic-pd-v1.0
RISK0000223,CUST0000379,LOAN0000223,2025-01-02,726,0.0354,LOW,synthetic-pd-v1.0
RISK0000224,CUST0000556,LOAN0000224,2024-08-22,721,0.0399,LOW,synthetic-pd-v1.0
RISK0000225,CUST0000127,LOAN0000225,2025-05-13,748,0.0225,LOW,synthetic-pd-v1.0
RISK0000226,CUST0000893,LOAN0000226,2023-01-29,491,0.8619,HIGH,synthetic-pd-v1.0
RISK0000227,CUST0000949,LOAN0000227,2024-09-15,707,0.0529,LOW,synthetic-pd-v1.0
RISK0000228,CUST0000683,LOAN0000228,2026-05-11,736,0.0293,LOW,synthetic-pd-v1.0
RISK0000229,CUST0000179,LOAN0000229,2023-05-05,691,0.0743,LOW,synthetic-pd-v1.0
RISK0000230,CUST0000869,LOAN0000230,2024-01-22,707,0.0534,LOW,synthetic-pd-v1.0
RISK0000231,CUST0000896,LOAN0000231,2024-10-06,647,0.1709,MEDIUM,synthetic-pd-v1.0
RISK0000232,CUST0000762,LOAN0000232,2021-09-20,594,0.3974,HIGH,synthetic-pd-v1.0
RISK0000233,CUST0000781,LOAN0000233,2023-07-22,523,0.7587,HIGH,synthetic-pd-v1.0
RISK0000234,CUST0000396,LOAN0000234,2021-10-06,708,0.0525,LOW,synthetic-pd-v1.0
RISK0000235,CUST0000767,LOAN0000235,2026-01-03,802,0.0071,LOW,synthetic-pd-v1.0
RISK0000236,CUST0000945,LOAN0000236,2023-04-20,548,0.6428,HIGH,synthetic-pd-v1.0
RISK0000237,CUST0000988,LOAN0000237,2023-06-21,720,0.0402,LOW,synthetic-pd-v1.0
RISK0000238,CUST0000420,LOAN0000238,2024-09-30,712,0.048,LOW,synthetic-pd-v1.0
RISK0000239,CUST0000856,LOAN0000239,2024-12-06,723,0.038,LOW,synthetic-pd-v1.0
RISK0000240,CUST0000608,LOAN0000240,2024-07-17,729,0.0338,LOW,synthetic-pd-v1.0
RISK0000241,CUST0000791,LOAN0000241,2025-09-22,784,0.0104,LOW,synthetic-pd-v1.0
RISK0000242,CUST0000420,LOAN0000242,2024-05-13,720,0.0408,LOW,synthetic-pd-v1.0
RISK0000243,CUST0000094,LOAN0000243,2023-05-10,714,0.0458,LOW,synthetic-pd-v1.0
RISK0000244,CUST0000562,LOAN0000244,2024-06-28,721,0.0401,LOW,synthetic-pd-v1.0
RISK0000245,CUST0000346,LOAN0000245,2023-01-19,663,0.1268,MEDIUM,synthetic-pd-v1.0
RISK0000246,CUST0000874,LOAN0000246,2022-02-06,649,0.1673,MEDIUM,synthetic-pd-v1.0
RISK0000247,CUST0000511,LOAN0000247,2026-05-09,561,0.5754,HIGH,synthetic-pd-v1.0
RISK0000248,CUST0000569,LOAN0000248,2023-03-08,730,0.033,LOW,synthetic-pd-v1.0
RISK0000249,CUST0000632,LOAN0000249,2023-01-07,802,0.007,LOW,synthetic-pd-v1.0
RISK0000250,CUST0000398,LOAN0000250,2025-11-28,508,0.8112,HIGH,synthetic-pd-v1.0
RISK0000251,CUST0000975,LOAN0000251,2025-06-27,816,0.0052,LOW,synthetic-pd-v1.0
RISK0000252,CUST0000521,LOAN0000252,2023-05-23,695,0.0678,LOW,synthetic-pd-v1.0
RISK0000253,CUST0000066,LOAN0000253,2023-05-23,767,0.0151,LOW,synthetic-pd-v1.0
RISK0000254,CUST0000296,LOAN0000254,2024-07-23,618,0.2797,MEDIUM,synthetic-pd-v1.0
RISK0000255,CUST0000491,LOAN0000255,2024-04-06,745,0.0238,LOW,synthetic-pd-v1.0
RISK0000256,CUST0000931,LOAN0000256,2022-12-25,577,0.49,HIGH,synthetic-pd-v1.0
RISK0000257,CUST0000699,LOAN0000257,2023-09-23,624,0.2564,MEDIUM,synthetic-pd-v1.0
RISK0000258,CUST0000009,LOAN0000258,2026-08-18,650,0.163,MEDIUM,synthetic-pd-v1.0
