credit_history_id,customer_id,record_date,credit_score,total_outstanding_debt,credit_utilization,number_of_open_accounts,number_of_closed_accounts,previous_defaults,previous_late_payments
CRHIST0000028,CUST0000013,2025-05-21,701.0,6130.56,0.1704,2,2,0,0
CRHIST0000029,CUST0000014,2025-02-05,617.0,5503.99,0.8165,6,3,0,0
CRHIST0000030,CUST0000014,2025-04-05,643.0,1815.48,0.1893,2,2,0,2
CRHIST0000031,CUST0000014,2025-05-02,,7155.72,0.6561,3,4,0,2
CRHIST0000032,CUST0000015,2020-07-30,726.0,10078.84,0.5895,5,0,0,0
CRHIST0000033,CUST0000015,2022-03-29,721.0,17049.56,0.5746,4,2,0,1
CRHIST0000034,CUST0000015,2022-11-05,728.0,2209.8,0.1438,4,1,0,1
CRHIST0000035,CUST0000016,2024-08-07,722.0,599.06,0.0172,4,0,0,0
CRHIST0000036,CUST0000016,2024-08-10,712.0,10344.55,0.3331,2,0,0,0
CRHIST0000037,CUST0000016,2024-09-26,721.0,10363.37,0.2861,3,2,0,0
CRHIST0000038,CUST0000016,2024-10-27,,1416.23,0.0377,2,1,0,0
CRHIST0000039,CUST0000017,2026-03-26,686.0,11469.03,0.5527,1,1,0,0
CRHIST0000040,CUST0000017,2026-05-12,685.0,3280.5,0.4013,1,5,0,0
CRHIST0000041,CUST0000018,2021-03-17,668.0,5518.19,0.1736,4,2,0,0
CRHIST0000042,CUST0000018,2021-09-14,672.0,4217.58,0.1237,3,1,0,2
CRHIST0000043,CUST0000019,2020-08-04,693.0,9611.61,0.6169,7,4,0,0
CRHIST0000044,CUST0000019,2020-08-05,678.0,6327.36,0.6616,4,1,0,0
CRHIST0000045,CUST0000019,2021-01-05,677.0,500.79,0.0579,1,1,0,0
CRHIST0000046,CUST0000020,2021-11-09,719.0,10134.86,0.6115,2,0,0,1
CRHIST0000047,CUST0000020,2022-03-20,735.0,129.91,0.009,1,2,0,1
CRHIST0000048,CUST0000020,2023-02-22,735.0,4295.41,0.3247,2,5,0,1
CRHIST0000049,CUST0000021,2021-07-07,656.0,16843.56,0.5748,1,2,0,0
CRHIST0000050,CUST0000021,2022-03-25,653.0,14070.61,0.4372,3,0,0,0
CRHIST0000051,CUST0000021,2022-09-17,671.0,19207.61,0.536,6,1,0,0
CRHIST0000052,CUST0000021,2022-11-08,661.0,17361.02,0.6621,3,2,0,0
CRHIST0000053,CUST0000022,2026-04-29,544.0,668.71,0.7232,4,2,0,0
CRHIST0000054,CUST0000022,2026-05-18,564.0,652.14,0.247,7,1,0,0
CRHIST0000055,CUST0000022,2026-05-31,569.0,1040.3,0.457,4,0,1,1
CRHIST0000056,CUST0000023,2022-07-15,712.0,4485.19,0.1571,4,1,0,0
CRHIST0000057,CUST0000023,2022-07-15,728.0,14354.2,0.4277,3,2,0,0
CRHIST0000058,CUST0000023,2022-11-28,,10197.4,0.6122,2,2,0,0
CRHIST0000059,CUST0000024,2024-01-23,771.0,0.0,0.0,5,1,0,0
CRHIST0000060,CUST0000024,2024-11-25,779.0,199.8,0.0188,2,0,0,0
CRHIST0000061,CUST0000024,2025-08-25,777.0,3641.31,0.295,5,1,0,0
CRHIST0000062,CUST0000025,2026-07-05,,5848.99,0.4166,5,2,0,0
CRHIST0000063,CUST0000025,2026-07-05,668.0,6681.65,0.679,4,3,0,0
CRHIST0000064,CUST0000025,2026-07-25,655.0,2223.51,0.2061,4,1,0,0
CRHIST0000065,CUST0000025,2026-07-31,648.0,1408.33,0.154,6,3,0,0
CRHIST0000066,CUST0000025,2026-08-08,645.0,2965.01,0.1801,5,1,0,0
CRHIST0000067,CUST0000025,2026-08-16,650.0,11101.92,0.7287,2,1,0,0
CRHIST0000068,CUST0000025,2026-08-18,644.0,988.99,0.1001,7,1,0,0
CRHIST0000069,CUST0000026,2025-01-20,632.0,3573.56,0.4783,3,0,0,0
CRHIST0000070,CUST0000027,2024-10-22,727.0,13539.1,0.4243,2,5,0,0
CRHIST0000071,CUST0000027,2024-12-17,719.0,5621.07,0.2831,3,2,0,2
CRHIST0000072,CUST0000027,2025-01-08,728.0,2873.37,0.1403,3,1,0,2
CRHIST0000073,CUST0000027,2025-01-28,761.0,10264.06,0.2843,1,3,0,2
CRHIST0000074,CUST0000028,2026-06-04,708.0,7759.33,0.2893,4,2,0,0
CRHIST0000075,CUST0000028,2026-06-10,695.0,4867.06,0.3902,4,0,0,0
CRHIST0000076,CUST0000028,2026-06-11,689.0,2693.43,0.2544,1,2,0,0
CRHIST0000077,CUST0000028,2026-07-13,731.0,5597.77,0.2017,4,3,0,0
CRHIST0000078,CUST0000028,2026-07-19,729.0,2512.84,0.1613,3,3,0,0
CRHIST0000079,CUST0000029,2025-02-03,541.0,190.74,0.2386,7,3,0,0
CRHIST0000080,CUST0000030,2020-12-28,687.0,6436.17,0.2178,3,4,0,0
CRHIST0000081,CUST0000030,2021-01-14,691.0,6155.98,0.2162,6,1,0,0
CRHIST0000082,CUST0000031,2024-08-16,792.0,11510.45,0.1583,1,1,0,0
CRHIST0000083,CUST0000031,2024-09-08,796.0,0.0,0.0,2,1,0,0
CRHIST0000084,CUST0000032,2021-10-08,622.0,6988.59,0.6853,5,3,0,0
CRHIST0000085,CUST0000032,2021-10-15,603.0,1648.41,0.1234,3,0,0,0
CRHIST0000086,CUST0000033,2022-02-18,745.0,495.75,0.0308,0,5,0,0
CRHIST0000087,CUST0000033,2022-07-17,739.0,3617.63,0.1997,4,1,0,0
CRHIST0000088,CUST0000033,2022-12-19,726.0,12800.65,0.5461,4,3,0,0
CRHIST0000089,CUST0000033,2022-12-21,716.0,339.15,0.0124,2,2,0,0
CRHIST0000090,CUST0000033,2024-04-26,734.0,4585.97,0.3123,3,1,0,0
CRHIST0000091,CUST0000033,2025-03-05,729.0,5100.64,0.236,4,5,0,0
CRHIST0000092,CUST0000033,2025-03-08,720.0,7493.59,0.2588,3,2,0,0
CRHIST0000093,CUST0000034,2023-12-12,757.0,6290.7,0.3116,4,3,0,0
CRHIST0000094,CUST0000034,2025-03-19,748.0,2718.58,0.0872,2,2,0,0
CRHIST0000095,CUST0000035,2023-04-10,717.0,15417.24,0.4801,6,2,0,0
CRHIST0000096,CUST0000035,2023-04-15,735.0,18064.76,0.6857,3,2,0,0
CRHIST0000097,CUST0000035,2023-04-22,735.0,11094.41,0.3506,5,1,0,0
CRHIST0000098,CUST0000035,2023-10-12,742.0,917.89,0.0418,4,3,0,2
CRHIST0000099,CUST0000035,2024-01-05,758.0,10031.62,0.4504,4,1,0,2
CRHIST0000100,CUST0000035,2024-05-22,755.0,6226.85,0.2261,1,2,0,2
CRHIST0000101,CUST0000036,2020-07-11,716.0,5801.38,0.4711,2,8,0,0
CRHIST0000102,CUST0000037,2026-08-23,650.0,8809.64,0.6174,1,2,0,0
CRHIST0000103,CUST0000037,2026-08-23,891.0,,0.235,3,1,0,0
CRHIST0000104,CUST0000037,2026-08-23,643.0,1041.99,0.1315,2,0,0,0
CRHIST0000105,CUST0000038,2023-05-16,708.0,5248.69,0.3668,2,3,0,0
CRHIST0000106,CUST0000039,2024-09-23,630.0,13396.6,0.5121,5,2,0,0
CRHIST0000107,CUST0000039,2024-12-13,600.0,5760.91,0.1981,4,0,0,0
CRHIST0000108,CUST0000039,2025-01-26,613.0,7795.45,0.548,5,2,0,0
CRHIST0000109,CUST0000040,2025-03-19,669.0,10705.39,0.6545,5,3,0,0
CRHIST0000110,CUST9301445,2023-12-02,755.0,15934.2,0.479,5,2,0,0
CRHIST0000111,CUST0000042,2024-01-27,,555.94,0.5198,3,4,0,2
CRHIST0000112,CUST0000042,2024-02-28,541.0,508.58,0.5227,3,4,0,2
CRHIST0000113,CUST0000043,2025-03-20,689.0,11176.15,0.5231,2,4,0,0
CRHIST0000114,CUST0000043,2025-04-17,686.0,9998.87,0.4546,4,2,0,0
CRHIST0000115,CUST0000043,2025-07-14,,4338.46,0.3481,6,5,0,0
CRHIST0000116,CUST0000043,2025-09-10,688.0,13324.25,0.4917,4,0,0,0
CRHIST0000117,CUST0000043,2025-11-09,,4566.29,0.1787,2,4,0,0
CRHIST0000118,CUST0000044,2021-07-03,699.0,7995.19,0.5648,2,1,0,0
CRHIST0000119,CUST0000044,2022-02-13,726.0,0.0,0.0,2,1,0,0
CRHIST0000120,CUST0000044,2023-04-14,717.0,1137.47,0.0488,4,3,0,0
CRHIST0000121,CUST0000045,2025-05-18,694.0,5615.11,0.5473,2,0,0,0
CRHIST0000122,CUST0000045,2025-07-08,689.0,6042.94,0.3765,6,4,0,0
CRHIST0000123,CUST0000045,2025-08-30,701.0,941.14,0.0448,4,2,0,0
CRHIST0000124,CUST0000045,2025-09-06,692.0,11095.87,0.6725,2,4,0,2
CRHIST0000125,CUST0000045,2025-09-24,684.0,4982.41,0.2132,7,2,0,2
CRHIST0000126,CUST0000046,2024-09-24,696.0,6490.65,0.3059,5,0,0,0
CRHIST0000127,CUST0000047,2020-11-13,570.0,645.55,0.2616,3,1,0,0
CRHIST0000128,CUST0000047,2020-12-13,581.0,2219.12,0.6259,3,1,0,0
CRHIST0000129,CUST0000047,2021-02-22,591.0,963.83,0.6585,5,0,0,0
CRHIST0000130,CUST0000048,2020-06-27,616.0,3979.44,0.4413,6,1,0,0
CRHIST0000131,CUST0000048,2022-03-03,599.0,5070.95,0.9588,7,2,0,0
CRHIST0000132,CUST0000048,2022-08-13,618.0,5232.11,0.632,9,3,0,0
CRHIST0000133,CUST0000048,2023-01-20,638.0,1529.21,0.1914,7,5,0,1
CRHIST0000134,CUST0000048,2023-07-06,655.0,563.38,0.0788,5,1,0,1
CRHIST0000135,CUST0000048,2023-07-26,657.0,959.79,0.3089,7,1,0,1
CRHIST0000136,CUST0000049,2025-10-17,632.0,,0.4753,9,2,0,0
CRHIST0000137,CUST0000049,2025-12-15,640.0,3400.55,0.4642,6,2,0,0
CRHIST0000138,CUST0000049,2025-12-19,638.0,463.08,0.0795,7,1,0,0
CRHIST0000139,CUST0000050,2025-11-07,669.0,9349.93,0.3908,5,1,0,0
CRHIST0000140,CUST9395134,2026-08-08,539.0,451.9,0.4574,7,3,0,0
CRHIST0000141,CUST0000051,2026-08-09,-36.0,212.27,0.4552,4,4,1,0
CRHIST0000142,CUST0000051,2026-08-09,554.0,317.12,0.3261,4,2,1,0
CRHIST0000143,CUST0000052,2019-10-27,750.0,13762.27,0.5567,5,4,0,0
CRHIST0000144,CUST0000052,2020-07-19,755.0,8693.45,0.3116,2,1,0,0
CRHIST0000145,CUST0000053,2026-01-10,571.0,1605.52,0.2378,4,0,0,0
CRHIST0000146,CUST0000053,2026-01-15,568.0,7170.58,0.7823,7,5,0,0
CRHIST0000147,CUST0000053,2026-02-04,567.0,2415.7,0.3246,6,2,0,0
CRHIST0000148,CUST0000054,2025-10-02,728.0,1769.61,0.0811,6,1,0,0
CRHIST0000149,CUST0000055,2025-01-05,685.0,1552.41,0.2184,4,1,0,0
CRHIST0000150,CUST0000055,2025-01-08,711.0,1215.41,0.1864,6,4,0,0
CRHIST0000151,CUST0000056,2022-12-18,707.0,7324.17,0.3206,5,1,0,0
CRHIST0000152,CUST0000057,2022-12-04,720.0,15262.31,0.5301,2,1,0,0
CRHIST0000153,CUST0000057,2023-02-03,717.0,13590.98,0.6122,3,3,0,0
CRHIST0000154,CUST0000057,2024-05-14,712.0,23820.66,0.525,0,2,0,0
CRHIST0000155,CUST0000058,2022-06-01,660.0,3084.2,0.0915,1,3,0,0
CRHIST0000156,CUST0000058,2022-10-05,659.0,15633.12,0.369,4,0,0,0
CRHIST0000157,CUST0000058,2023-04-07,672.0,38619.34,0.5954,3,2,0,0
CRHIST0000158,CUST0000058,2024-04-26,686.0,11811.28,0.3429,4,4,0,0
CRHIST0000159,CUST0000058,2024-07-02,679.0,20108.88,0.4591,5,2,0,0
CRHIST0000160,CUST0000059,2019-09-08,734.0,4087.14,0.3525,7,3,0,0
CRHIST0000161,CUST0000059,2021-06-28,740.0,12774.08,0.4247,3,2,0,0
CRHIST0000162,CUST0000059,2021-08-08,737.0,10114.74,0.4364,3,3,0,0
CRHIST0000163,CUST0000059,2023-02-11,727.0,19067.86,0.7088,4,2,0,0
CRHIST0000164,CUST0000059,2023-08-17,712.0,5702.51,0.303,5,2,0,0
CRHIST0000165,CUST0000060,2022-11-18,666.0,20984.25,0.838,1,3,0,0
CRHIST0000166,CUST0000060,2022-12-13,661.0,11797.17,0.5107,4,0,0,0
CRHIST0000167,CUST0000060,2023-04-24,657.0,4595.79,0.1852,4,1,0,0
CRHIST0000168,CUST0000060,2023-06-06,660.0,1742.93,0.1404,3,2,0,0
CRHIST0000169,CUST0000061,2021-03-21,630.0,767.13,0.2721,10,1,0,0
CRHIST0000170,CUST0000061,2022-09-12,617.0,980.49,0.2124,10,3,0,0
CRHIST0000171,CUST0000061,2022-12-06,626.0,2886.29,0.6881,4,2,0,0
CRHIST0000172,CUST0000061,2023-02-03,617.0,1790.02,0.4041,6,0,0,1
CRHIST0000173,CUST0000061,2023-11-09,603.0,1577.55,0.4073,3,1,0,1
CRHIST0000174,CUST0000061,2024-11-03,605.0,1631.01,0.388,7,2,0,1
CRHIST0000175,CUST0000062,2022-01-17,729.0,8234.15,0.4916,2,1,0,0
CRHIST0000176,CUST0000062,2022-11-12,,1134.06,0.1317,3,1,0,0
CRHIST0000177,CUST0000062,2023-06-28,721.0,10705.87,0.4666,8,2,0,0
CRHIST0000178,CUST0000062,2024-06-20,694.0,9331.68,0.5854,2,3,0,0
CRHIST0000179,CUST0000062,2025-09-03,701.0,2912.3,0.202,4,2,0,0
CRHIST0000180,CUST0000062,2025-10-17,694.0,2713.83,0.1371,3,2,0,0
CRHIST0000181,CUST0000063,2020-04-04,690.0,3183.97,0.1285,5,3,0,0
CRHIST0000182,CUST0000063,2020-06-17,679.0,801.9,0.0478,2,0,0,0
CRHIST0000183,CUST0000063,2020-06-30,666.0,6181.57,0.6683,4,0,0,0
CRHIST0000184,CUST0000063,2021-03-18,659.0,2147.33,0.1909,7,2,0,0
CRHIST0000185,CUST0000063,2022-04-23,681.0,6773.2,0.432,2,1,0,0
CRHIST0000186,CUST0000063,2023-05-21,674.0,9423.26,0.8254,2,0,0,0
CRHIST0000187,CUST0000064,2022-07-07,659.0,9903.72,0.4861,2,0,0,0
CRHIST0000188,CUST0000064,2022-10-29,657.0,2742.77,0.1668,3,1,0,0
CRHIST0000189,CUST0000064,2023-04-05,676.0,2685.57,0.095,7,2,0,0
CRHIST0000190,CUST0000064,2023-04-22,667.0,11820.56,0.6568,2,2,0,0
CRHIST0000191,CUST0000065,2019-08-05,670.0,12790.34,0.6108,0,2,0,0
CRHIST0000192,CUST0000065,2019-11-04,662.0,2483.19,0.0942,8,2,0,0
CRHIST0000193,CUST0000065,2020-04-28,656.0,5626.52,0.183,6,3,0,0
CRHIST0000194,CUST0000065,2021-07-16,665.0,9292.57,0.523,6,4,0,0
CRHIST0000195,CUST0000065,2022-01-03,658.0,8571.14,0.3469,4,1,0,0
CRHIST0000196,CUST0000065,2023-03-20,664.0,24372.77,0.6257,2,1,0,0
CRHIST0000197,CUST0000066,2025-10-24,693.0,12395.41,0.6073,1,0,0,0
CRHIST0000198,CUST0000066,2025-11-12,691.0,4381.85,0.1325,6,1,0,0
CRHIST0000199,CUST0000067,2025-10-24,,3437.66,0.6077,5,2,0,2
CRHIST0000200,CUST0000067,2025-10-26,,10422.41,0.714,7,2,0,2
CRHIST0000201,CUST0000067,2025-12-12,675.0,5574.57,0.3742,9,3,0,2
CRHIST0000202,CUST0000068,2025-05-11,636.0,1306.22,0.562,5,1,0,0
CRHIST0000203,CUST0000068,2025-06-15,640.0,365.4,0.1759,3,2,0,0
CRHIST0000204,CUST0000068,2025-06-24,613.0,1933.19,0.5131,3,1,0,0
CRHIST0000205,CUST0000069,2021-07-26,592.0,12565.76,0.2502,3,3,0,0
CRHIST0000206,CUST0000069,2022-01-16,581.0,6537.38,0.2157,3,2,0,1
CRHIST0000207,CUST0000070,2020-07-20,625.0,2114.68,0.283,4,4,0,0
CRHIST0000208,CUST0000070,2020-08-02,645.0,4669.58,0.4144,7,1,0,0
CRHIST0000209,CUST0000070,2022-01-07,638.0,4352.48,0.6894,1,3,0,0
CRHIST0000210,CUST0000070,2023-02-12,626.0,5654.9,0.6288,5,3,0,0
CRHIST0000211,CUST0000071,2022-12-04,723.0,6892.3,0.2977,3,1,0,0
CRHIST0000212,CUST0000071,2024-06-16,738.0,15697.59,0.7528,2,2,0,0
CRHIST0000213,CUST0000071,2024-07-24,723.0,18722.73,0.6476,1,0,0,0
CRHIST0000214,CUST0000072,2024-05-08,678.0,5062.29,0.5001,6,1,0,0
CRHIST0000215,CUST0000072,2024-06-29,685.0,6174.54,0.549,4,5,0,0
CRHIST0000216,CUST0000072,2024-08-13,683.0,4698.55,0.2162,3,1,0,0
CRHIST0000217,CUST0000072,2024-11-19,668.0,12341.8,0.5629,0,3,0,0
CRHIST0000218,CUST0000072,2025-07-24,667.0,9140.13,0.6303,3,0,0,0
CRHIST0000219,CUST0000073,2019-06-30,679.0,4160.6,0.5567,3,4,0,0
CRHIST0000220,CUST0000073,2020-02-29,688.0,9262.7,0.524,3,1,0,0
CRHIST0000221,CUST0000074,2025-12-21,670.0,12414.09,0.4312,6,5,0,0
CRHIST0000222,CUST0000074,2026-02-05,656.0,15040.99,0.3357,4,1,0,0
CRHIST0000223,CUST0000074,2026-03-09,663.0,21641.57,0.4483,5,1,0,0
CRHIST0000224,CUST0000074,2026-05-18,676.0,11907.32,0.4276,1,2,0,0
CRHIST0000225,CUST0000075,2023-02-12,640.0,873.29,0.1651,2,0,0,0
CRHIST0000226,CUST0000076,2025-06-23,645.0,2044.59,0.6125,5,2,0,0
CRHIST0000227,CUST0000077,2019-10-27,738.0,14653.91,0.643,1,2,0,0
CRHIST0000228,CUST0000077,2020-09-22,721.0,12264.24,0.4947,2,2,0,0
CRHIST0000229,CUST0000077,2021-08-25,741.0,3938.69,0.1594,1,4,0,0
CRHIST0000230,CUST0000077,2022-02-09,724.0,7088.46,0.6494,3,0,0,0
CRHIST0000231,CUST0000077,2022-02-28,707.0,8984.83,0.4068,1,3,0,0
CRHIST0000232,CUST0000078,2022-09-29,778.0,3448.44,0.1783,2,1,0,0
CRHIST0000233,CUST0000078,2023-07-08,774.0,14626.55,0.5272,3,4,0,0
CRHIST0000234,CUST0000078,2023-10-07,769.0,24928.95,0.5547,1,2,0,0
CRHIST0000235,CUST0000078,2024-05-19,784.0,16774.88,0.4097,1,2,0,0
CRHIST0000236,CUST0000078,2024-07-01,772.0,12132.28,0.3304,3,1,0,0
CRHIST0000237,CUST0000078,2024-07-12,761.0,23020.29,0.4924,0,0,0,0
CRHIST0000238,CUST0000079,2023-06-03,747.0,9545.41,0.5601,3,0,0,0
CRHIST0000239,CUST0000079,2023-06-23,774.0,4247.26,0.2683,0,0,0,0
CRHIST0000240,CUST0000079,2023-11-25,,6413.13,0.526,1,2,0,0
CRHIST0000241,CUST0000079,2024-01-10,762.0,4208.76,0.2568,6,1,0,0
CRHIST0000242,CUST0000079,2024-09-06,754.0,7114.9,0.5185,4,0,0,0
CRHIST0000243,CUST0000080,2020-03-09,687.0,23030.88,0.4583,4,1,0,0
CRHIST0000244,CUST0000080,2020-08-13,688.0,21541.41,0.6523,1,3,0,0
CRHIST0000245,CUST0000081,2024-12-24,728.0,9412.7,0.3134,2,1,0,0
CRHIST0000246,CUST0000081,2025-01-01,746.0,2592.46,0.0948,2,3,0,0
CRHIST0000247,CUST0000082,2026-02-20,670.0,11843.94,0.5276,7,2,0,0
CRHIST0000248,CUST0000083,2023-03-30,789.0,101.67,0.0036,1,4,0,0
CRHIST0000249,CUST0000084,2022-02-22,736.0,10082.19,0.4496,3,2,0,0
CRHIST0000250,CUST0000084,2022-03-31,736.0,0.0,0.0,1,0,0,0
CRHIST0000251,CUST0000084,2022-07-19,745.0,12375.44,0.3406,10,1,0,0
CRHIST0000252,CUST0000084,2023-07-07,751.0,11509.91,0.5379,1,3,0,0
CRHIST0000253,CUST0000085,2023-12-26,779.0,8545.63,0.4278,1,2,0,0
CRHIST0000254,CUST0000085,2024-06-24,774.0,4116.37,0.0864,3,4,0,0
CRHIST0000255,CUST0000086,2022-02-03,747.0,8564.47,0.5156,1,1,0,0
CRHIST0000256,CUST0000087,2022-03-01,676.0,14627.54,0.7582,4,2,0,0
CRHIST0000257,CUST0000087,2022-06-14,682.0,167.58,0.0066,2,1,0,0
CRHIST0000258,CUST0000087,2022-11-26,690.0,9180.71,0.3105,4,4,0,0
CRHIST0000259,CUST0000087,2022-12-22,703.0,11958.58,0.4273,5,1,0,0
CRHIST0000260,CUST0000087,2023-08-08,681.0,4882.85,0.153,2,1,0,1
CRHIST0000261,CUST0000088,2024-11-18,725.0,12049.4,0.4604,2,0,0,0
CRHIST0000262,CUST0000089,2023-08-13,678.0,4390.18,0.7092,6,0,0,0
CRHIST0000263,CUST0000090,2021-08-11,671.0,2428.58,0.3793,1,6,0,0
CRHIST0000264,CUST0000090,2022-08-10,681.0,5348.94,0.3326,2,2,0,0
CRHIST0000265,CUST0000090,2022-08-13,687.0,6414.02,0.4795,5,3,0,0
CRHIST0000266,CUST0000091,2022-08-24,703.0,17448.81,0.2805,4,2,0,0
CRHIST0000267,CUST0000091,2023-06-21,695.0,21362.29,0.3853,3,1,0,0
CRHIST0000268,CUST0000091,2024-04-30,695.0,35401.55,0.4617,3,1,0,0
CRHIST0000269,CUST0000091,2024-07-25,701.0,22513.05,0.4524,6,3,0,0
CRHIST0000270,CUST0000091,2025-04-12,678.0,6416.84,0.0879,4,2,0,0
CRHIST0000271,CUST0000091,2025-06-16,664.0,10104.78,0.3709,4,2,0,0
CRHIST0000272,CUST0000092,2025-07-05,626.0,1959.1,0.5397,4,0,0,0
CRHIST0000273,CUST0000092,2025-08-28,608.0,1343.34,0.3111,7,3,0,0
CRHIST0000274,CUST0000092,2025-11-05,608.0,4351.01,0.9498,9,2,0,0
CRHIST0000275,CUST0000092,2025-12-27,601.0,1987.01,0.2897,2,2,0,0
CRHIST0000276,CUST0000093,2023-01-17,732.0,9712.99,0.3911,5,3,0,0
CRHIST0000277,CUST0000093,2023-02-08,740.0,8590.37,0.151,2,2,0,0
CRHIST0000278,CUST0000093,2023-02-17,714.0,37028.94,0.5396,2,1,0,0
CRHIST0000279,CUST0000093,2023-04-28,698.0,18033.47,0.2925,5,4,0,0
CRHIST0000280,CUST0000093,2023-10-21,685.0,21589.37,0.4081,4,1,0,0
CRHIST0000281,CUST0000093,2024-08-27,690.0,9207.64,0.2311,3,3,0,0
CRHIST0000282,CUST0000093,2025-05-14,697.0,28716.68,0.5679,2,2,0,0
CRHIST0000283,CUST0000093,2025-08-20,675.0,8862.34,0.1487,3,3,0,0
CRHIST0000284,CUST0000094,2020-03-27,,11129.04,0.4729,3,1,0,0
CRHIST0000285,CUST0000094,2021-02-19,697.0,1418.31,0.0542,0,3,0,0
CRHIST0000286,CUST0000094,2021-05-03,682.0,14908.93,0.6187,4,1,0,0
CRHIST0000287,CUST0000094,2021-05-13,698.0,10759.9,0.4432,5,1,0,0
CRHIST0000288,CUST0000095,2025-07-22,705.0,13933.54,0.7583,5,3,0,0
CRHIST0000289,CUST0000095,2025-10-01,711.0,8005.27,0.3783,6,2,0,0
CRHIST0000290,CUST0000095,2025-11-02,717.0,6403.45,0.5959,5,3,0,0
CRHIST0000291,CUST0000096,2024-09-07,783.0,748.01,0.0939,6,0,0,0
CRHIST0000292,CUST0000097,2022-01-26,719.0,26080.6,0.8213,4,2,0,0
CRHIST0000293,CUST0000098,2026-05-24,760.0,5514.03,0.2622,3,4,0,0
CRHIST0000294,CUST0000098,2026-05-26,770.0,420.75,0.039,2,6,0,0
CRHIST0000295,CUST0000098,2026-05-31,767.0,2797.02,0.2008,0,4,0,0
CRHIST0000296,CUST0000098,2026-06-16,793.0,3785.83,0.1385,2,2,0,0
CRHIST0000297,CUST0000098,2026-06-17,802.0,16408.49,0.6264,1,3,0,0
CRHIST0000298,CUST0000099,2026-04-16,644.0,2603.5,0.1383,5,0,0,0
CRHIST0000299,CUST0000099,2026-05-13,656.0,9648.69,0.4966,5,1,0,0
CRHIST0000300,CUST0000100,2026-08-13,679.0,472.26,0.1214,4,1,0,0
CRHIST0000301,CUST0000100,2026-08-14,677.0,695.79,0.1037,5,0,0,0
CRHIST0000302,CUST0000100,2026-08-16,696.0,810.47,0.1916,5,0,0,0
CRHIST0000303,CUST0000101,2022-02-16,761.0,6571.54,0.1493,3,0,0,0
CRHIST0000304,CUST0000101,2022-08-04,754.0,1669.8,0.0923,2,1,0,0
CRHIST0000305,CUST0000101,2023-03-29,744.0,12455.21,0.5744,2,1,0,0
CRHIST0000306,CUST0000101,2023-09-18,-15.0,20174.5,0.441,3,2,0,0
CRHIST0000307,CUST0000102,2026-02-21,753.0,2133.62,0.174,4,5,0,0
CRHIST0000308,CUST0000102,2026-04-10,777.0,7186.47,0.2911,3,5,0,0
CRHIST0000309,CUST0000103,2025-03-31,701.0,2557.93,0.2131,5,2,0,0
CRHIST0000310,CUST0000103,2025-07-06,705.0,3091.4,0.2638,7,1,0,0
