payment_id,loan_id,due_date,amount_due,amount_paid,payment_status
50,LN-11491,2024-02-17,1015.25,1015.25,PAID
51,LN-11491,2024-03-18,1015.25,1015.25,PAID
52,LN-11491,2024-04-17,1015.25,389.09,LATE
53,LN-11491,2024-05-17,1015.25,829.29,PARTIAL
54,LN-11563,2023-07-18,106.5,106.5,PAID
55,LN-11563,2023-08-17,106.5,106.5,PAID
56,LN-11563,2023-09-16,106.5,106.5,PAID
57,LN-11563,2023-10-16,106.5,0.0,MISSED
58,LN-11563,2023-11-15,106.5,106.5,PAID
59,LN-11563,2023-12-15,106.5,0.0,MISSED
60,LN-11563,2024-01-14,106.5,91.64,PARTIAL
61,LN-11563,2024-02-13,106.5,48.54,LATE
62,LN-10720,2024-09-16,4080.0,4080.0,PAID
63,LN-10720,2024-10-16,4080.0,1407.7,PARTIAL
64,LN-10720,2024-11-15,4080.0,4080.0,PAID
65,LN-11109,2023-05-07,771.0,406.88,LATE
66,LN-11109,2023-06-06,771.0,771.0,PAID
67,LN-11109,2023-07-06,771.0,501.21,PARTIAL
68,LN-11109,2023-08-05,771.0,771.0,PAID
69,LN-11109,2023-09-04,771.0,771.0,PAID
70,LN-11109,2023-10-04,771.0,771.0,PAID
71,LN-11109,2023-11-03,771.0,771.0,PAID
72,LN-11344,2023-12-16,2222.33,2222.33,PAID
73,LN-11344,2024-01-15,2222.33,2222.33,PAID
74,LN-11344,2024-02-14,2222.33,2222.33,PAID
75,LN-11344,2024-03-15,2222.33,2222.33,PAID
76,LN-11344,2024-04-14,2222.33,2222.33,PAID
77,LN-11344,2024-05-14,2222.33,2222.33,PAID
78,LN-11223,2024-03-10,1894.4,1894.4,PAID
79,LN-11223,2024-04-09,1894.4,1894.4,PAID
80,LN-11223,2024-05-09,1894.4,1894.4,PAID
81,LN-11223,2024-06-08,1894.4,1894.4,PAID
82,LN-11223,2024-07-08,1894.4,1894.4,PAID
83,LN-10139,2023-08-10,3440.0,3440.0,PAID
84,LN-10139,2023-09-09,3440.0,1532.26,LATE
85,LN-10139,2023-10-09,3440.0,3440.0,PAID
86,LN-11328,2023-03-29,2226.25,2226.25,PAID
87,LN-11328,2023-04-28,2226.25,2226.25,PAID
88,LN-11328,2023-05-28,2226.25,2226.25,PAID
89,LN-11328,2023-06-27,2226.25,2226.25,PAID
90,LN-11526,2024-05-29,1695.12,1695.12,PAID
91,LN-11526,2024-06-28,1695.12,699.66,LATE
92,LN-11526,2024-07-28,1695.12,1695.12,PAID
93,LN-11526,2024-08-27,1695.12,1695.12,PAID
94,LN-11526,2024-09-26,1695.12,1695.12,PAID
95,LN-11526,2024-10-26,1695.12,1695.12,PAID
96,LN-11526,2024-11-25,1695.12,1282.01,LATE
97,LN-11526,2024-12-25,1695.12,1695.12,PAID
98,LN-10288,2023-12-16,2064.5,2064.5,PAID
99,LN-10288,2024-01-15,2064.5,750.23,LATE
100,LN-10288,2024-02-14,2064.5,2064.5,PAID
101,LN-10288,2024-03-15,2064.5,0.0,MISSED
102,LN-10288,2024-04-14,2064.5,2064.5,PAID
103,LN-10288,2024-05-14,2064.5,2064.5,PAID
104,LN-11445,2023-11-17,71.43,71.43,PAID
105,LN-11445,2023-12-17,71.43,29.48,LATE
106,LN-11445,2024-01-16,71.43,71.43,PAID
107,LN-11445,2024-02-15,71.43,71.43,PAID
108,LN-11445,2024-03-16,71.43,71.43,PAID
109,LN-11445,2024-04-15,71.43,49.22,LATE
110,LN-11445,2024-05-15,71.43,71.43,PAID
111,LN-10871,2023-05-18,2389.67,2389.67,PAID
112,LN-10871,2023-06-17,2389.67,2389.67,PAID
113,LN-10871,2023-07-17,2389.67,0.0,MISSED
114,LN-10759,2024-12-19,622.0,622.0,PAID
115,LN-10759,2025-01-18,622.0,622.0,PAID
116,LN-10759,2025-02-17,622.0,622.0,PAID
117,LN-10759,2025-03-19,622.0,622.0,PAID
118,LN-10478,2023-02-12,852.33,298.69,PARTIAL
119,LN-10478,2023-03-14,852.33,852.33,PAID
120,LN-10478,2023-04-13,852.33,852.33,PAID
121,LN-10731,2024-04-20,1692.14,1692.14,PAID
122,LN-10731,2024-05-20,1692.14,1692.14,PAID
123,LN-10731,2024-06-19,1692.14,1692.14,PAID
124,LN-10731,2024-07-19,1692.14,1692.14,PAID
125,LN-10731,2024-08-18,1692.14,1692.14,PAID
126,LN-10731,2024-09-17,1692.14,1692.14,PAID
127,LN-10731,2024-10-17,1692.14,704.54,PARTIAL
128,LN-11665,2024-10-27,1278.75,1278.75,PAID
129,LN-11665,2024-11-26,1278.75,1278.75,PAID
130,LN-11665,2024-12-26,1278.75,1278.75,PAID
131,LN-11665,2025-01-25,1278.75,1278.75,PAID
132,LN-10269,2024-03-22,2738.17,2738.17,PAID
133,LN-10269,2024-04-21,2738.17,2738.17,PAID
134,LN-10269,2024-05-21,2738.17,2738.17,PAID
135,LN-10269,2024-06-20,2738.17,2738.17,PAID
136,LN-10269,2024-07-20,2738.17,2738.17,PAID
137,LN-10269,2024-08-19,2738.17,0.0,MISSED
138,LN-10573,2023-05-25,1766.0,1766.0,PAID
139,LN-10573,2023-06-24,1766.0,1766.0,PAID
140,LN-10573,2023-07-24,1766.0,1766.0,PAID
141,LN-10573,2023-08-23,1766.0,1766.0,PAID
142,LN-10573,2023-09-22,1766.0,1766.0,PAID
143,LN-10573,2023-10-22,1766.0,1766.0,PAID
144,LN-10573,2023-11-21,1766.0,1766.0,PAID
145,LN-10840,2024-06-08,1408.33,1408.33,PAID
146,LN-10840,2024-07-08,1408.33,1006.97,LATE
147,LN-10840,2024-08-07,1408.33,1408.33,PAID
148,LN-11476,2024-07-13,1557.0,791.86,LATE
149,LN-11476,2024-08-12,1557.0,1557.0,PAID
150,LN-11476,2024-09-11,1557.0,1557.0,PAID
151,LN-11476,2024-10-11,1557.0,1557.0,PAID
152,LN-10711,2024-01-19,2474.67,2474.67,PAID
153,LN-10711,2024-02-18,2474.67,0.0,MISSED
154,LN-10711,2024-03-19,2474.67,2474.67,PAID
155,LN-10797,2024-12-19,1999.88,1999.88,PAID
156,LN-10797,2025-01-18,1999.88,0.0,MISSED
157,LN-10797,2025-02-17,1999.88,1999.88,PAID
158,LN-10797,2025-03-19,1999.88,1999.88,PAID
159,LN-10797,2025-04-18,1999.88,1999.88,PAID
160,LN-10797,2025-05-18,1999.88,1999.88,PAID
161,LN-10797,2025-06-17,1999.88,0.0,MISSED
162,LN-10797,2025-07-17,1999.88,1999.88,PAID
163,LN-10769,2024-07-31,1911.33,1911.33,PAID
164,LN-10769,2024-08-30,1911.33,1911.33,PAID
165,LN-10769,2024-09-29,1911.33,1911.33,PAID
166,LN-10783,2024-06-06,1574.6,0.0,MISSED
167,LN-10783,2024-07-06,1574.6,1574.6,PAID
168,LN-10783,2024-08-05,1574.6,481.58,LATE
169,LN-10783,2024-09-04,1574.6,1574.6,PAID
170,LN-10783,2024-10-04,1574.6,1574.6,PAID
171,LN-11385,2024-02-12,2985.33,2985.33,PAID
172,LN-11385,2024-03-13,2985.33,2985.33,PAID
173,LN-11385,2024-04-12,2985.33,2985.33,PAID
174,LN-10012,2023-05-21,6205.33,6205.33,PAID
175,LN-10012,2023-06-20,6205.33,4971.81,PARTIAL
176,LN-10012,2023-07-20,6205.33,6205.33,PAID
177,LN-10222,2023-11-02,1817.75,1390.86,LATE
178,LN-10222,2023-12-02,1817.75,1817.75,PAID
179,LN-10222,2024-01-01,1817.75,911.43,LATE
180,LN-10222,2024-01-31,1817.75,1817.75,PAID
181,LN-11266,2023-08-30,100.0,45.44,PARTIAL
182,LN-11266,2023-09-29,100.0,100.0,PAID
183,LN-11266,2023-10-29,100.0,100.0,PAID
184,LN-11266,2023-11-28,100.0,100.0,PAID
185,LN-11266,2023-12-28,100.0,100.0,PAID
186,LN-11664,2023-04-15,190.25,190.25,PAID
187,LN-11664,2023-05-15,190.25,190.25,PAID
188,LN-11664,2023-06-14,190.25,190.25,PAID
189,LN-11664,2023-07-14,190.25,153.38,LATE
190,LN-11664,2023-08-13,190.25,190.25,PAID
191,LN-11664,2023-09-12,190.25,190.25,PAID
192,LN-11664,2023-10-12,190.25,190.25,PAID
193,LN-11664,2023-11-11,190.25,190.25,PAID
194,LN-11232,2023-04-04,1403.25,1141.91,PARTIAL
195,LN-11232,2023-05-04,1403.25,1403.25,PAID
196,LN-11232,2023-06-03,1403.25,1403.25,PAID
197,LN-11232,2023-07-03,1403.25,1403.25,PAID
198,LN-10492,2024-06-13,2277.75,2277.75,PAID
199,LN-10492,2024-07-13,2277.75,2277.75,PAID
200,LN-10492,2024-08-12,2277.75,2277.75,PAID
201,LN-10492,2024-09-11,2277.75,2277.75,PAID
202,LN-11240,2023-09-18,2551.67,2551.67,PAID
203,LN-11240,2023-10-18,2551.67,1743.4,PARTIAL
204,LN-11240,2023-11-17,2551.67,2108.41,PARTIAL
205,LN-11390,2024-12-10,62.5,62.5,PAID
206,LN-11390,2025-01-09,62.5,0.0,MISSED
207,LN-11390,2025-02-08,62.5,51.6,PARTIAL
208,LN-11390,2025-03-10,62.5,62.5,PAID
209,LN-11390,2025-04-09,62.5,0.0,MISSED
210,LN-11390,2025-05-09,62.5,62.5,PAID
211,LN-11390,2025-06-08,62.5,62.5,PAID
212,LN-11390,2025-07-08,62.5,62.5,PAID
213,LN-10695,2023-07-21,327.6,327.6,PAID
214,LN-10695,2023-08-20,327.6,327.6,PAID
215,LN-10695,2023-09-19,327.6,327.6,PAID
216,LN-10695,2023-10-19,327.6,327.6,PAID
217,LN-10695,2023-11-18,327.6,327.6,PAID
218,LN-10983,2023-07-30,1453.5,930.24,LATE
219,LN-10983,2023-08-29,1453.5,738.67,LATE
220,LN-10983,2023-09-28,1453.5,1453.5,PAID
221,LN-10983,2023-10-28,1453.5,1453.5,PAID
222,LN-10983,2023-11-27,1453.5,564.36,PARTIAL
223,LN-10983,2023-12-27,1453.5,1453.5,PAID
224,LN-11710,2024-01-08,1095.43,738.62,PARTIAL
225,LN-11710,2024-02-07,1095.43,1095.43,PAID
226,LN-11710,2024-03-08,1095.43,1095.43,PAID
227,LN-11710,2024-04-07,1095.43,1095.43,PAID
228,LN-11710,2024-05-07,1095.43,338.88,LATE
229,LN-11710,2024-06-06,1095.43,1095.43,PAID
230,LN-11710,2024-07-06,1095.43,1095.43,PAID
231,LN-10824,2024-03-27,71.43,71.43,PAID
232,LN-10824,2024-04-26,71.43,71.43,PAID
233,LN-10824,2024-05-26,71.43,71.43,PAID
234,LN-10824,2024-06-25,71.43,71.43,PAID
235,LN-10824,2024-07-25,71.43,23.57,LATE
236,LN-10824,2024-08-24,71.43,71.43,PAID
237,LN-10824,2024-09-23,71.43,0.0,MISSED
238,LN-10120,2023-06-09,756.0,756.0,PAID
239,LN-10120,2023-07-09,756.0,297.12,LATE
240,LN-10120,2023-08-08,756.0,756.0,PAID
241,LN-10120,2023-09-07,756.0,756.0,PAID
242,LN-10120,2023-10-07,756.0,316.04,PARTIAL
243,LN-10120,2023-11-06,756.0,756.0,PAID
244,LN-10120,2023-12-06,756.0,756.0,PAID
245,LN-11449,2024-04-09,2470.0,2470.0,PAID
246,LN-11449,2024-05-09,2470.0,1109.62,PARTIAL
247,LN-11449,2024-06-08,2470.0,2470.0,PAID
248,LN-11449,2024-07-08,2470.0,2470.0,PAID
249,LN-10141,2023-10-09,2609.33,936.44,PARTIAL
250,LN-10141,2023-11-08,2609.33,2609.33,PAID
251,LN-10141,2023-12-08,2609.33,2609.33,PAID
252,LN-10141,2024-01-07,2609.33,2609.33,PAID
253,LN-10141,2024-02-06,2609.33,2609.33,PAID
254,LN-10141,2024-03-07,2609.33,2609.33,PAID
255,LN-11848,2024-06-22,3690.0,1415.14,LATE
256,LN-11848,2024-07-22,3690.0,1660.55,LATE
257,LN-11848,2024-08-21,3690.0,3690.0,PAID
258,LN-11848,2024-09-20,3690.0,3690.0,PAID
259,LN-11848,2024-10-20,3690.0,3690.0,PAID
260,LN-11488,2024-05-29,1407.6,1407.6,PAID
261,LN-11488,2024-06-28,1407.6,1407.6,PAID
262,LN-11488,2024-07-28,1407.6,1407.6,PAID
263,LN-11488,2024-08-27,1407.6,1407.6,PAID
264,LN-11488,2024-09-26,1407.6,0.0,MISSED
265,LN-10126,2024-04-25,3258.0,3258.0,PAID
266,LN-10126,2024-05-25,3258.0,3258.0,PAID
267,LN-10126,2024-06-24,3258.0,3258.0,PAID
268,LN-10126,2024-07-24,3258.0,3258.0,PAID
269,LN-10126,2024-08-23,3258.0,3258.0,PAID
270,LN-10126,2024-09-22,3258.0,3258.0,PAID
271,LN-10811,2023-02-24,3275.4,3275.4,PAID
272,LN-10811,2023-03-26,3275.4,3275.4,PAID
273,LN-10811,2023-04-25,3275.4,3275.4,PAID
274,LN-10811,2023-05-25,3275.4,3275.4,PAID
275,LN-10811,2023-06-24,3275.4,3275.4,PAID
276,LN-11760,2023-09-10,3826.0,3826.0,PAID
277,LN-11760,2023-10-10,3826.0,3826.0,PAID
278,LN-11760,2023-11-09,3826.0,0.0,MISSED
279,LN-11760,2023-12-09,3826.0,2479.99,LATE
280,LN-11760,2024-01-08,3826.0,3826.0,PAID
281,LN-11760,2024-02-07,3826.0,3826.0,PAID
282,LN-11843,2024-08-15,2314.29,0.0,MISSED
283,LN-11843,2024-09-14,2314.29,2314.29,PAID
284,LN-11843,2024-10-14,2314.29,869.16,LATE
285,LN-11843,2024-11-13,2314.29,2314.29,PAID
286,LN-11843,2024-12-13,2314.29,2314.29,PAID
287,LN-11843,2025-01-12,2314.29,1413.58,LATE
288,LN-11843,2025-02-11,2314.29,811.84,LATE
289,LN-10912,2024-07-11,2918.0,2013.21,LATE
290,LN-10912,2024-08-10,2918.0,2918.0,PAID
291,LN-10912,2024-09-09,2918.0,2918.0,PAID
292,LN-10912,2024-10-09,2918.0,2918.0,PAID
293,LN-10912,2024-11-08,2918.0,2918.0,PAID
294,LN-10115,2024-03-02,352.6,131.47,LATE
295,LN-10115,2024-04-01,352.6,352.6,PAID
296,LN-10115,2024-05-01,352.6,352.6,PAID
297,LN-10115,2024-05-31,352.6,352.6,PAID
298,LN-10115,2024-06-30,352.6,352.6,PAID
299,LN-11420,2023-03-15,1236.43,1236.43,PAID
300,LN-11420,2023-04-14,1236.43,1236.43,PAID
301,LN-11420,2023-05-14,1236.43,1236.43,PAID
302,LN-11420,2023-06-13,1236.43,1236.43,PAID
303,LN-11420,2023-07-13,1236.43,1236.43,PAID
304,LN-11420,2023-08-12,1236.43,594.15,LATE
305,LN-11420,2023-09-11,1236.43,1236.43,PAID
306,LN-11027,2024-01-20,3031.67,2043.95,LATE
307,LN-11027,2024-02-19,3031.67,3031.67,PAID
308,LN-11027,2024-03-20,3031.67,3031.67,PAID
309,LN-10117,2024-04-06,1888.0,1888.0,PAID
310,LN-10117,2024-05-06,1888.0,1888.0,PAID
311,LN-10117,2024-06-05,1888.0,1888.0,PAID
312,LN-10117,2024-07-05,1888.0,1888.0,PAID
313,LN-10483,2023-06-09,1557.67,1557.67,PAID
314,LN-10483,2023-07-09,1557.67,1557.67,PAID
315,LN-10483,2023-08-08,1557.67,1557.67,PAID
316,LN-10483,2023-09-07,1557.67,747.61,PARTIAL
317,LN-10483,2023-10-07,1557.67,1557.67,PAID
318,LN-10483,2023-11-06,1557.67,1557.67,PAID
319,LN-10995,2023-03-18,1304.5,819.27,LATE
320,LN-10995,2023-04-17,1304.5,924.62,LATE
321,LN-10995,2023-05-17,1304.5,874.4,LATE
322,LN-10995,2023-06-16,1304.5,1304.5,PAID
323,LN-11752,2024-05-18,1148.38,1148.38,PAID
324,LN-11752,2024-06-17,1148.38,1148.38,PAID
325,LN-11752,2024-07-17,1148.38,1148.38,PAID
326,LN-11752,2024-08-16,1148.38,1148.38,PAID
327,LN-11752,2024-09-15,1148.38,1148.38,PAID
328,LN-11752,2024-10-15,1148.38,1148.38,PAID
329,LN-11752,2024-11-14,1148.38,1148.38,PAID
330,LN-11752,2024-12-14,1148.38,1148.38,PAID
331,LN-11382,2024-12-09,1792.8,1792.8,PAID
332,LN-11382,2025-01-08,1792.8,1068.11,PARTIAL
333,LN-11382,2025-02-07,1792.8,1792.8,PAID
334,LN-11382,2025-03-09,1792.8,1792.8,PAID
335,LN-11382,2025-04-08,1792.8,1792.8,PAID
336,LN-11514,2024-04-26,4112.0,4112.0,PAID
337,LN-11514,2024-05-26,4112.0,1599.16,LATE
338,LN-11514,2024-06-25,4112.0,4112.0,PAID
339,LN-10194,2023-05-27,5645.0,5645.0,PAID
340,LN-10194,2023-06-26,5645.0,5645.0,PAID
341,LN-10194,2023-07-26,5645.0,5645.0,PAID
342,LN-10283,2023-07-20,1142.62,1142.62,PAID
343,LN-10283,2023-08-19,1142.62,1142.62,PAID
344,LN-10283,2023-09-18,1142.62,1142.62,PAID
345,LN-10283,2023-10-18,1142.62,0.0,MISSED
346,LN-10283,2023-11-17,1142.62,1142.62,PAID
347,LN-10283,2023-12-17,1142.62,1142.62,PAID
348,LN-10283,2024-01-16,1142.62,0.0,MISSED
349,LN-10283,2024-02-15,1142.62,1142.62,PAID
350,LN-10805,2024-02-21,166.67,85.78,PARTIAL
351,LN-10805,2024-03-22,166.67,100.32,LATE
352,LN-10805,2024-04-21,166.67,166.67,PAID
353,LN-10734,2023-06-16,1533.25,1533.25,PAID
354,LN-10734,2023-07-16,1533.25,1533.25,PAID
355,LN-10734,2023-08-15,1533.25,1533.25,PAID
356,LN-10734,2023-09-14,1533.25,1533.25,PAID
357,LN-10734,2023-10-14,1533.25,1533.25,PAID
358,LN-10734,2023-11-13,1533.25,1533.25,PAID
359,LN-10734,2023-12-13,1533.25,1533.25,PAID
360,LN-10734,2024-01-12,1533.25,588.8,LATE
361,LN-11325,2023-10-21,1550.62,1550.62,PAID
362,LN-11325,2023-11-20,1550.62,1550.62,PAID
363,LN-11325,2023-12-20,1550.62,0.0,MISSED
364,LN-11325,2024-01-19,1550.62,1550.62,PAID
365,LN-11325,2024-02-18,1550.62,1550.62,PAID
366,LN-11325,2024-03-19,1550.62,1550.62,PAID
367,LN-11325,2024-04-18,1550.62,1550.62,PAID
368,LN-11325,2024-05-18,1550.62,1550.62,PAID
369,LN-10521,2023-06-05,71.43,43.95,LATE
370,LN-10521,2023-07-05,71.43,71.43,PAID
371,LN-10521,2023-08-04,71.43,71.43,PAID
372,LN-10521,2023-09-03,71.43,36.35,PARTIAL
373,LN-10521,2023-10-03,71.43,71.43,PAID
374,LN-10521,2023-11-02,71.43,71.43,PAID
375,LN-10521,2023-12-02,71.43,71.43,PAID
376,LN-11360,2023-06-02,1219.38,1219.38,PAID
377,LN-11360,2023-07-02,1219.38,1219.38,PAID
378,LN-11360,2023-08-01,1219.38,1219.38,PAID
379,LN-11360,2023-08-31,1219.38,714.37,PARTIAL
380,LN-11360,2023-09-30,1219.38,1083.78,LATE
381,LN-11360,2023-10-30,1219.38,901.84,LATE
382,LN-11360,2023-11-29,1219.38,1219.38,PAID
383,LN-11360,2023-12-29,1219.38,0.0,MISSED
384,LN-11181,2023-05-27,2902.25,2902.25,PAID
385,LN-11181,2023-06-26,2902.25,2902.25,PAID
386,LN-11181,2023-07-26,2902.25,2476.85,PARTIAL
387,LN-11181,2023-08-25,2902.25,2902.25,PAID
388,LN-11690,2023-05-06,1879.4,1879.4,PAID
389,LN-11690,2023-06-05,1879.4,646.0,LATE
390,LN-11690,2023-07-05,1879.4,1247.77,LATE
391,LN-11690,2023-08-04,1879.4,1605.25,LATE
392,LN-11690,2023-09-03,1879.4,1879.4,PAID
393,LN-10480,2024-02-13,946.5,946.5,PAID
394,LN-10480,2024-03-14,946.5,946.5,PAID
395,LN-10480,2024-04-13,946.5,946.5,PAID
396,LN-10480,2024-05-13,946.5,946.5,PAID
397,LN-10480,2024-06-12,946.5,946.5,PAID
398,LN-10480,2024-07-12,946.5,946.5,PAID
399,LN-10480,2024-08-11,946.5,946.5,PAID
400,LN-10480,2024-09-10,946.5,946.5,PAID
401,LN-10559,2023-10-18,3047.5,3047.5,PAID
402,LN-10559,2023-11-17,3047.5,2392.91,LATE
403,LN-10559,2023-12-17,3047.5,3047.5,PAID
404,LN-10559,2024-01-16,3047.5,3047.5,PAID
405,LN-10559,2024-02-15,3047.5,3047.5,PAID
406,LN-10559,2024-03-16,3047.5,3047.5,PAID
407,LN-10559,2024-04-15,3047.5,3047.5,PAID
408,LN-10559,2024-05-15,3047.5,2547.63,LATE
409,LN-10523,2023-08-26,2600.0,1666.54,LATE
410,LN-10523,2023-09-25,2600.0,1311.51,LATE
411,LN-10523,2023-10-25,2600.0,2600.0,PAID
412,LN-10523,2023-11-24,2600.0,1916.12,PARTIAL
413,LN-10523,2023-12-24,2600.0,2600.0,PAID
414,LN-10033,2023-02-21,125.0,80.28,LATE
415,LN-10033,2023-03-23,125.0,125.0,PAID
416,LN-10033,2023-04-22,125.0,125.0,PAID
417,LN-10033,2023-05-22,125.0,125.0,PAID
418,LN-11884,2024-10-16,1260.57,984.45,LATE
419,LN-11884,2024-11-15,1260.57,1260.57,PAID
420,LN-11884,2024-12-15,1260.57,1260.57,PAID
421,LN-11884,2025-01-14,1260.57,0.0,MISSED
422,LN-11884,2025-02-13,1260.57,1260.57,PAID
423,LN-11884,2025-03-15,1260.57,1260.57,PAID
424,LN-11884,2025-04-14,1260.57,1260.57,PAID
425,LN-10909,2023-07-24,591.0,591.0,PAID
426,LN-10909,2023-08-23,591.0,591.0,PAID
427,LN-10909,2023-09-22,591.0,591.0,PAID
428,LN-10156,2024-09-30,5622.2,5622.2,PAID
429,LN-10156,2024-10-30,5622.2,2664.57,LATE
430,LN-10156,2024-11-29,5622.2,3003.69,LATE
431,LN-10156,2024-12-29,5622.2,5622.2,PAID
432,LN-10156,2025-01-28,5622.2,0.0,MISSED
433,LN-10928,2023-04-20,5878.75,2027.38,PARTIAL
434,LN-10928,2023-05-20,5878.75,5878.75,PAID
435,LN-10928,2023-06-19,5878.75,5050.35,LATE
436,LN-10928,2023-07-19,5878.75,5878.75,PAID
437,LN-10342,2023-09-19,1928.0,1928.0,PAID
438,LN-10342,2023-10-19,1928.0,1928.0,PAID
439,LN-10342,2023-11-18,1928.0,0.0,MISSED
440,LN-10342,2023-12-18,1928.0,1928.0,PAID
441,LN-10342,2024-01-17,1928.0,1717.77,PARTIAL
442,LN-10342,2024-02-16,1928.0,1928.0,PAID
443,LN-11620,2024-09-23,2064.67,2064.67,PAID
444,LN-11620,2024-10-23,2064.67,2064.67,PAID
445,LN-11620,2024-11-22,2064.67,2064.67,PAID
446,LN-11243,2024-05-20,409.33,409.33,PAID
447,LN-11243,2024-06-19,409.33,409.33,PAID
448,LN-11243,2024-07-19,409.33,409.33,PAID
449,LN-10607,2024-10-13,873.88,0.0,MISSED
450,LN-10607,2024-11-12,873.88,873.88,PAID
451,LN-10607,2024-12-12,873.88,873.88,PAID
452,LN-10607,2025-01-11,873.88,557.81,LATE
453,LN-10607,2025-02-10,873.88,873.88,PAID
454,LN-10607,2025-03-12,873.88,685.55,LATE
455,LN-10607,2025-04-11,873.88,873.88,PAID
456,LN-10607,2025-05-11,873.88,873.88,PAID
457,LN-10191,2024-08-15,1321.0,1321.0,PAID
458,LN-10191,2024-09-14,1321.0,1321.0,PAID
459,LN-10191,2024-10-14,1321.0,1321.0,PAID
460,LN-10191,2024-11-13,1321.0,1321.0,PAID
461,LN-10191,2024-12-13,1321.0,610.7,PARTIAL
462,LN-10191,2025-01-12,1321.0,1321.0,PAID
463,LN-11195,2024-03-25,2509.0,2509.0,PAID
464,LN-11195,2024-04-24,2509.0,2509.0,PAID
465,LN-11195,2024-05-24,2509.0,2509.0,PAID
466,LN-10793,2024-03-10,1026.17,1026.17,PAID
467,LN-10793,2024-04-09,1026.17,905.98,LATE
468,LN-10793,2024-05-09,1026.17,1026.17,PAID
469,LN-10793,2024-06-08,1026.17,1026.17,PAID
470,LN-10793,2024-07-08,1026.17,807.41,LATE
471,LN-10793,2024-08-07,1026.17,1026.17,PAID
472,LN-11418,2023-09-28,1497.67,1497.67,PAID
473,LN-11418,2023-10-28,1497.67,1497.67,PAID
474,LN-11418,2023-11-27,1497.67,1497.67,PAID
475,LN-11418,2023-12-27,1497.67,1497.67,PAID
476,LN-11418,2024-01-26,1497.67,1074.23,LATE
477,LN-11418,2024-02-25,1497.67,1497.67,PAID
478,LN-10086,2023-03-02,180.5,180.5,PAID
479,LN-10086,2023-04-01,180.5,180.5,PAID
480,LN-10086,2023-05-01,180.5,180.5,PAID
481,LN-10086,2023-05-31,180.5,180.5,PAID
482,LN-10086,2023-06-30,180.5,0.0,MISSED
483,LN-10086,2023-07-30,180.5,180.5,PAID
484,LN-10071,2024-10-05,2591.2,2591.2,PAID
485,LN-10071,2024-11-04,2591.2,2591.2,PAID
486,LN-10071,2024-12-04,2591.2,2591.2,PAID
487,LN-10071,2025-01-03,2591.2,2591.2,PAID
