issue_id,entity,record_id,issue_type,issue_description,severity,injected_at
24,customers,CUST0000316,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
25,customers,CUST0000341,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
26,customers,CUST0000442,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
27,customers,CUST0000522,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
28,customers,CUST0000527,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
29,customers,CUST0000534,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
30,customers,CUST0000690,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
31,customers,CUST0000724,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
32,customers,CUST0000733,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
33,customers,CUST0000741,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
34,customers,CUST0000768,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
35,customers,CUST0000769,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
36,customers,CUST0000781,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
37,customers,CUST0000785,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
38,customers,CUST0000790,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
39,customers,CUST0000853,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
40,customers,CUST0000855,missing_employment_status,employment_status was set to NULL (simulated missing operational data),medium,2026-08-24
41,customers,CUST0000066,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
42,customers,CUST0000126,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
43,customers,CUST0000143,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
44,customers,CUST0000144,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
45,customers,CUST0000191,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
46,customers,CUST0000208,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
47,customers,CUST0000210,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
48,customers,CUST0000225,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
49,customers,CUST0000303,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
50,customers,CUST0000374,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
51,customers,CUST0000441,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
52,customers,CUST0000489,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
53,customers,CUST0000530,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
54,customers,CUST0000532,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
55,customers,CUST0000608,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
56,customers,CUST0000638,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
57,customers,CUST0000700,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
58,customers,CUST0000773,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
59,customers,CUST0000905,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
60,customers,CUST0000907,missing_monthly_income,monthly_income was set to NULL (simulated missing operational data),medium,2026-08-24
61,customers,CUST0000084,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
62,customers,CUST0000134,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
63,customers,CUST0000158,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
64,customers,CUST0000162,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
65,customers,CUST0000201,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
66,customers,CUST0000393,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
67,customers,CUST0000415,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
68,customers,CUST0000417,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
69,customers,CUST0000677,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
70,customers,CUST0000686,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
71,customers,CUST0000713,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
72,customers,CUST0000763,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
73,customers,CUST0000807,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
74,customers,CUST0000813,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
75,customers,CUST0000815,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
76,customers,CUST0000864,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
77,customers,CUST0000917,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
78,customers,CUST0000920,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
79,customers,CUST0000953,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
80,customers,CUST0000963,missing_city,city was set to NULL (simulated missing operational data),medium,2026-08-24
81,applications,APP0000072,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
82,applications,APP0000104,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
83,applications,APP0000166,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
84,applications,APP0000204,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
85,applications,APP0000213,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
86,applications,APP0000243,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
87,applications,APP0000280,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
88,applications,APP0000388,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
89,applications,APP0000486,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
90,applications,APP0000499,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
91,applications,APP0000568,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
92,applications,APP0000622,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
93,applications,APP0000687,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
94,applications,APP0000692,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
95,applications,APP0000812,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
96,applications,APP0000817,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
97,applications,APP0000832,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
98,applications,APP0000883,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
99,applications,APP0000923,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
100,applications,APP0000972,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
101,applications,APP0001014,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
102,applications,APP0001058,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
103,applications,APP0001083,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
104,applications,APP0001154,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
105,applications,APP0001228,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
106,applications,APP0001230,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
107,applications,APP0001244,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
108,applications,APP0001260,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
109,applications,APP0001435,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
110,applications,APP0001484,missing_requested_amount,requested_amount was set to NULL (simulated missing operational data),medium,2026-08-24
111,applications,APP0000006,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
112,applications,APP0000011,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
113,applications,APP0000107,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
114,applications,APP0000229,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
115,applications,APP0000259,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
116,applications,APP0000263,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
117,applications,APP0000287,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
118,applications,APP0000298,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
119,applications,APP0000330,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
120,applications,APP0000402,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
121,applications,APP0000436,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
122,applications,APP0000502,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
123,applications,APP0000555,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
124,applications,APP0000567,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
125,applications,APP0000605,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
126,applications,APP0000637,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
127,applications,APP0000661,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
128,applications,APP0000665,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
129,applications,APP0000668,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
130,applications,APP0000674,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
131,applications,APP0000686,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
132,applications,APP0000721,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
133,applications,APP0000778,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
134,applications,APP0000964,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
135,applications,APP0000973,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
136,applications,APP0001192,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
137,applications,APP0001214,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
138,applications,APP0001245,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
139,applications,APP0001294,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
140,applications,APP0001422,missing_loan_purpose,loan_purpose was set to NULL (simulated missing operational data),medium,2026-08-24
141,loans,LOAN0000019,missing_loan_amount,loan_amount was set to NULL (simulated missing operational data),medium,2026-08-24
142,loans,LOAN0000103,missing_loan_amount,loan_amount was set to NULL (simulated missing operational data),medium,2026-08-24
143,loans,LOAN0000141,missing_loan_amount,loan_amount was set to NULL (simulated missing operational data),medium,2026-08-24
144,loans,LOAN0000163,missing_loan_amount,loan_amount was set to NULL (simulated missing operational data),medium,2026-08-24
145,loans,LOAN0000190,missing_loan_amount,loan_amount was set to NULL (simulated missing operational data),medium,2026-08-24
146,loans,LOAN0000273,missing_loan_amount,loan_amount was set to NULL (simulated missing operational data),medium,2026-08-24
147,loans,LOAN0000282,missing_loan_amount,loan_amount was set to NULL (simulated missing operational data),medium,2026-08-24
148,loans,LOAN0000490,missing_loan_amount,loan_amount was set to NULL (simulated missing operational data),medium,2026-08-24
149,loans,LOAN0000543,missing_loan_amount,loan_amount was set to NULL (simulated missing operational data),medium,2026-08-24
150,loans,LOAN0000546,missing_loan_amount,loan_amount was set to NULL (simulated missing operational data),medium,2026-08-24
151,loans,LOAN0000566,missing_loan_amount,loan_amount was set to NULL (simulated missing operational data),medium,2026-08-24
152,loans,LOAN0000582,missing_loan_amount,loan_amount was set to NULL (simulated missing operational data),medium,2026-08-24
153,loans,LOAN0000092,missing_interest_rate,interest_rate was set to NULL (simulated missing operational data),medium,2026-08-24
154,loans,LOAN0000156,missing_interest_rate,interest_rate was set to NULL (simulated missing operational data),medium,2026-08-24
155,loans,LOAN0000190,missing_interest_rate,interest_rate was set to NULL (simulated missing operational data),medium,2026-08-24
156,loans,LOAN0000252,missing_interest_rate,interest_rate was set to NULL (simulated missing operational data),medium,2026-08-24
157,loans,LOAN0000362,missing_interest_rate,interest_rate was set to NULL (simulated missing operational data),medium,2026-08-24
158,loans,LOAN0000428,missing_interest_rate,interest_rate was set to NULL (simulated missing operational data),medium,2026-08-24
159,loans,LOAN0000441,missing_interest_rate,interest_rate was set to NULL (simulated missing operational data),medium,2026-08-24
160,loans,LOAN0000458,missing_interest_rate,interest_rate was set to NULL (simulated missing operational data),medium,2026-08-24
161,loans,LOAN0000460,missing_interest_rate,interest_rate was set to NULL (simulated missing operational data),medium,2026-08-24
162,loans,LOAN0000479,missing_interest_rate,interest_rate was set to NULL (simulated missing operational data),medium,2026-08-24
163,loans,LOAN0000511,missing_interest_rate,interest_rate was set to NULL (simulated missing operational data),medium,2026-08-24
164,loans,LOAN0000535,missing_interest_rate,interest_rate was set to NULL (simulated missing operational data),medium,2026-08-24
165,payments,PAY0000092,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
166,payments,PAY0000255,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
167,payments,PAY0000294,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
168,payments,PAY0000299,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
169,payments,PAY0000361,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
170,payments,PAY0000405,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
171,payments,PAY0000415,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
172,payments,PAY0000429,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
173,payments,PAY0000628,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
174,payments,PAY0000749,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
175,payments,PAY0000779,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
176,payments,PAY0000787,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
177,payments,PAY0000804,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
178,payments,PAY0000822,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
179,payments,PAY0000928,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
180,payments,PAY0000947,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
181,payments,PAY0000976,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
182,payments,PAY0000993,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
183,payments,PAY0001021,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
184,payments,PAY0001081,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
185,payments,PAY0001086,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
186,payments,PAY0001088,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
187,payments,PAY0001161,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
188,payments,PAY0001227,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
189,payments,PAY0001245,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
190,payments,PAY0001334,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
191,payments,PAY0001403,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
192,payments,PAY0001415,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
193,payments,PAY0001439,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
194,payments,PAY0001455,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
195,payments,PAY0001534,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
196,payments,PAY0001665,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
197,payments,PAY0001700,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
198,payments,PAY0001705,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
199,payments,PAY0001891,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
200,payments,PAY0001920,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
201,payments,PAY0001961,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
202,payments,PAY0001965,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
203,payments,PAY0002020,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
204,payments,PAY0002027,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
205,payments,PAY0002102,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
206,payments,PAY0002159,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
207,payments,PAY0002170,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
208,payments,PAY0002183,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
209,payments,PAY0002216,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
210,payments,PAY0002243,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
211,payments,PAY0002253,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
212,payments,PAY0002258,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
213,payments,PAY0002275,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
214,payments,PAY0002282,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
215,payments,PAY0002409,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
216,payments,PAY0002480,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
217,payments,PAY0002534,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
218,payments,PAY0002535,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
219,payments,PAY0002651,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
220,payments,PAY0002653,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
221,payments,PAY0002691,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
222,payments,PAY0002692,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
223,payments,PAY0002738,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
224,payments,PAY0002752,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
225,payments,PAY0002785,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
226,payments,PAY0002796,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
227,payments,PAY0002835,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
228,payments,PAY0002846,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
229,payments,PAY0002863,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
230,payments,PAY0002966,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
231,payments,PAY0002972,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
232,payments,PAY0003112,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
233,payments,PAY0003187,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
234,payments,PAY0003193,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
235,payments,PAY0003273,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
236,payments,PAY0003275,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
237,payments,PAY0003366,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
238,payments,PAY0003410,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
239,payments,PAY0003514,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
240,payments,PAY0003527,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
241,payments,PAY0003563,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
242,payments,PAY0003570,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
243,payments,PAY0003581,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
244,payments,PAY0003672,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
245,payments,PAY0003675,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
246,payments,PAY0003701,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
247,payments,PAY0003734,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
248,payments,PAY0003739,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
249,payments,PAY0003783,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
250,payments,PAY0003790,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
251,payments,PAY0003937,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
252,payments,PAY0003968,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
253,payments,PAY0004000,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
254,payments,PAY0004034,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
255,payments,PAY0004039,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
256,payments,PAY0004068,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
257,payments,PAY0004087,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
258,payments,PAY0004156,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
259,payments,PAY0004162,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
260,payments,PAY0004183,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
261,payments,PAY0004224,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
262,payments,PAY0004312,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
263,payments,PAY0004405,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
264,payments,PAY0004410,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
265,payments,PAY0004439,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
266,payments,PAY0004602,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
267,payments,PAY0004669,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
268,payments,PAY0004709,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
269,payments,PAY0004847,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
270,payments,PAY0004858,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
271,payments,PAY0005056,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
272,payments,PAY0005110,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
273,payments,PAY0005159,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
274,payments,PAY0005192,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
275,payments,PAY0005332,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
276,payments,PAY0005354,missing_payment_date,payment_date was set to NULL (simulated missing operational data),medium,2026-08-24
