loan_id,person_id,application_date,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
LN-10028,P-101188,2024-03-26,EDUCATION,F,9621,17.71,1,0.2059,Y,10
LN-10029,P-101024,2024-02-02,HOMEIMPROVEMENT,A,10500,6.07,0,0.6723,N,2
LN-10030,P-100611,2023-03-12,EDUCATION,B,11797,15.13,0,0.252,N,7
LN-10031,P-100281,2023-01-17,HOMEIMPROVEMENT,G,6724,23.37,1,0.3305,N,8
LN-10032,P-100937,2024-02-04,EDUCATION,A,14283,7.53,0,0.1776,N,8
LN-10033,P-101595,2023-01-22,EDUCATION,A,500,6.52,0,0.0233,N,2
LN-10034,P-100641,2024-02-29,MEDICAL,C,500,13.06,1,0.02,Y,6
LN-10035,P-100428,2024-03-21,EDUCATION,D,500,16.31,1,0.0158,N,2
LN-10036,P-101002,2024-11-18,EDUCATION,D,16307,16.88,0,0.4175,N,11
LN-10037,P-101258,2023-07-16,VENTURE,B,12624,12.06,0,0.2034,N,2
LN-10038,P-100977,2024-06-03,EDUCATION,B,5083,10.27,1,0.3833,Y,13
LN-10039,P-101496,2024-08-12,MEDICAL,B,16390,8.93,0,0.2272,Y,3
LN-10040,P-101550,2023-04-10,DEBTCONSOLIDATION,D,8370,16.08,1,0.4513,N,10
LN-10041,P-100008,2024-08-11,DEBTCONSOLIDATION,C,5925,16.47,1,0.0411,N,8
LN-10042,P-100705,2024-01-27,HOMEIMPROVEMENT,B,6577,13.47,0,0.4255,Y,14
LN-10043,P-101205,2024-03-20,PERSONAL,B,13010,10.4,0,0.0914,Y,20
LN-10044,P-100610,2024-01-26,HOMEIMPROVEMENT,F,11404,19.71,1,0.3429,N,5
LN-10045,P-101221,2024-02-21,DEBTCONSOLIDATION,C,7830,10.23,0,0.0955,N,5
LN-10046,P-100274,2023-08-06,MEDICAL,B,9164,13.68,0,0.3057,N,4
LN-10047,P-101536,2024-01-29,VENTURE,A,17748,9.53,0,0.5067,N,5
LN-10048,P-100039,2024-02-23,EDUCATION,A,16249,5.71,0,0.1222,N,6
LN-10049,P-100432,2023-06-24,EDUCATION,D,10732,14.1,0,0.2718,N,5
LN-10050,P-100252,2024-07-13,PERSONAL,B,1135,11.76,0,0.0289,N,6
LN-10051,P-100768,2023-04-14,HOMEIMPROVEMENT,E,3730,17.23,1,0.0655,N,2
LN-10052,P-101276,2023-06-17,DEBTCONSOLIDATION,A,20853,8.34,0,0.7175,N,11
LN-10053,P-100221,2023-11-16,DEBTCONSOLIDATION,C,7021,13.49,0,0.0612,Y,10
LN-10054,P-100237,2024-08-25,HOMEIMPROVEMENT,B,11550,9.81,0,0.725,N,6
LN-10055,P-100517,2023-01-11,DEBTCONSOLIDATION,B,500,11.41,0,0.0088,N,20
LN-10056,P-101404,2024-02-29,DEBTCONSOLIDATION,C,7152,12.03,0,0.0808,N,9
LN-10057,P-100206,2024-07-13,HOMEIMPROVEMENT,C,4632,12.69,0,0.1267,N,12
LN-10058,P-101435,2024-08-07,PERSONAL,A,4875,7.44,0,0.2636,N,6
LN-10059,P-101047,2023-04-23,PERSONAL,C,9432,13.86,0,0.1756,Y,11
LN-10060,P-100217,2023-10-10,MEDICAL,B,15272,13.1,1,0.5713,N,13
LN-10061,P-101071,2023-09-22,VENTURE,F,15938,20.67,0,0.4664,N,3
LN-10062,P-100604,2024-06-19,EDUCATION,A,7850,8.9,0,0.0819,N,14
LN-10063,P-101409,2024-02-11,PERSONAL,E,16695,19.67,0,0.1949,N,10
LN-10064,P-100026,2024-11-18,HOMEIMPROVEMENT,C,5854,10.03,0,0.1379,N,10
LN-10065,P-101370,2024-08-20,HOMEIMPROVEMENT,B,21606,10.82,0,0.5066,N,8
LN-10066,P-100153,2024-11-24,MEDICAL,D,9634,13.2,1,0.1694,Y,4
LN-10067,P-101319,2023-04-20,MEDICAL,A,17187,9.58,0,0.137,N,6
LN-10068,P-100540,2023-03-15,EDUCATION,B,9194,10.39,0,0.2665,Y,9
LN-10069,P-100080,2024-09-01,DEBTCONSOLIDATION,D,21349,17.11,1,0.4165,N,12
LN-10070,P-100640,2023-09-15,PERSONAL,B,19735,14.1,0,0.903,Y,6
LN-10071,P-100019,2024-09-05,EDUCATION,D,12956,18.51,0,0.1822,N,10
LN-10072,P-100673,2024-07-01,HOMEIMPROVEMENT,B,9808,9.91,0,0.3235,N,7
LN-10073,P-100549,2024-01-06,MEDICAL,E,10312,20.59,1,1.1566,Y,8
LN-10074,P-100374,2024-06-23,VENTURE,A,4307,8.79,0,0.3939,N,9
LN-10075,P-100556,2023-06-07,VENTURE,D,12946,15.22,0,0.4236,N,9
LN-10076,P-100863,2023-07-17,PERSONAL,C,9849,13.25,0,0.2697,N,6
LN-10077,P-100271,2023-04-19,EDUCATION,C,19744,17.88,0,0.23,Y,2
LN-10078,P-100212,2023-02-22,HOMEIMPROVEMENT,B,3757,10.31,0,0.2915,N,8
LN-10079,P-101389,2023-02-05,MEDICAL,B,12673,9.25,0,0.2926,N,7
LN-10080,P-101252,2023-02-17,DEBTCONSOLIDATION,A,500,5.41,0,0.0088,N,9
LN-10081,P-100267,2023-05-15,VENTURE,B,13166,7.19,0,0.2847,N,11
LN-10082,P-100902,2023-01-25,MEDICAL,A,500,9.7,0,0.0042,N,3
LN-10083,P-100025,2024-05-25,DEBTCONSOLIDATION,C,15793,18.77,0,0.2785,N,11
LN-10084,P-101180,2023-09-25,DEBTCONSOLIDATION,D,500,16.27,0,0.0166,N,3
LN-10085,P-100692,2023-04-08,HOMEIMPROVEMENT,B,14183,7.89,0,0.1737,N,5
LN-10086,P-100195,2023-01-31,VENTURE,B,1083,13.37,0,0.0268,N,14
LN-10087,P-100708,2023-09-15,EDUCATION,C,4711,12.85,0,0.1369,N,15
LN-10088,P-101143,2024-04-11,PERSONAL,E,12125,17.82,0,0.2339,N,14
LN-10089,P-101317,2023-04-03,VENTURE,E,9522,16.79,1,0.1881,N,5
LN-10090,P-101015,2023-12-23,VENTURE,E,1087,16.15,1,0.0196,Y,7
LN-10091,P-100656,2023-06-21,PERSONAL,A,13726,5.0,0,0.1814,N,7
LN-10092,P-101038,2024-08-09,VENTURE,A,6611,7.83,0,0.1544,N,12
LN-10093,P-100481,2023-06-22,HOMEIMPROVEMENT,A,10958,6.93,0,0.6006,N,2
LN-10094,P-100917,2023-07-05,MEDICAL,A,10843,10.4,0,0.3351,N,9
LN-10095,P-100243,2024-03-04,PERSONAL,G,9179,23.06,0,0.1693,N,2
LN-10096,P-100210,2024-10-16,HOMEIMPROVEMENT,B,12771,8.69,0,0.2129,Y,10
LN-10097,P-100000,2023-07-18,HOMEIMPROVEMENT,D,500,16.77,1,0.0075,N,8
LN-10098,P-101305,2024-10-06,EDUCATION,B,4294,8.74,0,0.1405,N,13
LN-10099,P-101340,2023-08-27,MEDICAL,C,8508,12.83,0,0.1765,N,7
LN-10100,P-100111,2024-01-29,MEDICAL,D,13181,13.09,0,0.2227,N,4
LN-10101,P-101147,2023-10-02,DEBTCONSOLIDATION,D,14628,11.54,0,0.1502,N,16
LN-10102,P-101345,2024-11-12,PERSONAL,B,18139,11.2,1,0.2224,N,6
LN-10103,P-101555,2024-01-05,MEDICAL,C,12762,11.55,0,0.2941,Y,18
LN-10104,P-101297,2023-02-03,HOMEIMPROVEMENT,F,9128,17.08,0,0.1975,N,7
LN-10105,P-100765,2024-08-10,EDUCATION,C,14760,12.04,1,0.3364,Y,7
LN-10106,P-101008,2024-11-06,DEBTCONSOLIDATION,A,5104,6.78,0,0.0802,N,7
LN-10107,P-100838,2024-11-23,EDUCATION,A,13367,6.53,0,0.4371,N,6
LN-10108,P-100247,2023-12-31,VENTURE,E,16107,16.56,0,0.2517,N,10
LN-10109,P-100390,2023-01-23,VENTURE,C,19357,13.64,0,0.5768,Y,11
LN-10110,P-100095,2024-10-01,HOMEIMPROVEMENT,E,2581,15.77,0,0.041,N,11
LN-10111,P-100252,2023-06-01,DEBTCONSOLIDATION,D,11240,15.64,1,0.2862,N,18
LN-10112,P-101206,2023-11-19,VENTURE,F,4134,23.19,1,0.0572,Y,2
LN-10113,P-100008,2024-09-27,VENTURE,C,11672,11.02,0,0.081,Y,2
LN-10114,P-101198,2023-12-14,EDUCATION,B,14164,11.78,0,0.4919,N,9
LN-10115,P-101416,2024-02-01,EDUCATION,C,1763,12.4,0,0.0672,N,10
LN-10116,P-100212,2023-09-05,MEDICAL,B,15602,12.28,0,1.2106,N,7
LN-10117,P-101032,2024-03-07,HOMEIMPROVEMENT,E,7552,16.22,0,0.0764,N,16
LN-10118,P-101418,2024-07-31,MEDICAL,D,11344,15.81,0,0.1194,N,14
LN-10119,P-100602,2023-03-19,VENTURE,B,5173,10.01,1,0.0499,Y,8
LN-10120,P-101233,2023-05-10,MEDICAL,C,5292,13.79,0,0.1323,N,2
LN-10121,P-101436,2023-02-22,DEBTCONSOLIDATION,C,6601,12.21,0,0.126,N,13
LN-10122,P-101133,2023-10-03,HOMEIMPROVEMENT,C,15165,12.52,1,1.0287,N,11
LN-10123,P-101463,2024-05-24,DEBTCONSOLIDATION,B,12446,12.81,0,0.3023,N,7
LN-10124,P-100271,2023-05-17,EDUCATION,G,10520,23.11,0,0.1226,N,7
LN-10125,P-101031,2024-01-28,DEBTCONSOLIDATION,C,3148,9.25,0,0.0329,N,15
LN-10126,P-100236,2024-03-26,HOMEIMPROVEMENT,D,19548,16.14,0,0.37,N,12
LN-10127,P-101168,2023-04-03,DEBTCONSOLIDATION,F,6792,18.57,1,0.6442,N,2
LN-10128,P-101531,2024-08-12,VENTURE,E,17222,16.35,0,0.3501,N,6
LN-10129,P-100026,2023-03-04,EDUCATION,C,20080,16.77,0,0.473,Y,6
LN-10130,P-100108,2023-04-08,EDUCATION,C,3293,14.78,1,0.2235,N,8
LN-10131,P-100586,2024-04-29,PERSONAL,C,6635,15.91,0,0.2276,Y,11
LN-10132,P-101414,2023-07-14,HOMEIMPROVEMENT,D,500,15.38,0,0.0043,N,2
LN-10133,P-100066,2023-03-18,HOMEIMPROVEMENT,B,7619,8.34,0,0.0885,N,9
LN-10134,P-101383,2024-08-14,DEBTCONSOLIDATION,D,4893,15.56,0,0.1522,N,8
LN-10135,P-101325,2024-06-06,DEBTCONSOLIDATION,C,14574,9.51,1,0.6037,N,13
LN-10136,P-100589,2023-08-22,VENTURE,C,791,13.41,0,0.0037,Y,6
LN-10137,P-100793,2023-11-13,DEBTCONSOLIDATION,B,8470,12.04,0,0.52,N,6
LN-10138,P-100640,2024-07-01,DEBTCONSOLIDATION,F,6765,19.25,1,0.3095,Y,4
LN-10139,P-100514,2023-07-11,VENTURE,A,10320,10.18,0,0.2337,N,8
LN-10140,P-900001,2024-09-23,DEBTCONSOLIDATION,E,8341,17.39,0,0.0891,N,4
LN-10141,P-100753,2023-09-09,HOMEIMPROVEMENT,D,15656,14.38,0,0.1576,N,7
LN-10142,P-100402,2024-08-13,MEDICAL,D,5746,17.68,0,0.2813,N,11
LN-10143,P-100919,2023-07-19,EDUCATION,A,7768,7.48,0,0.1468,N,12
LN-10144,P-100355,2023-10-30,PERSONAL,D,5339,18.17,0,0.1861,Y,11
LN-10145,P-100877,2024-06-11,EDUCATION,A,9643,6.96,0,0.1137,N,12
LN-10146,P-101196,2024-11-20,VENTURE,D,5522,15.27,0,0.2023,Y,7
LN-10147,P-101453,2023-08-12,MEDICAL,E,20349,17.22,0,0.6657,Y,7
LN-10148,P-101222,2023-08-09,HOMEIMPROVEMENT,A,1600,5.63,0,0.0195,N,7
LN-10149,P-101355,2023-05-26,HOMEIMPROVEMENT,B,6592,12.71,0,0.0799,N,14
LN-10150,P-100733,2023-10-23,HOMEIMPROVEMENT,A,4381,6.61,0,0.0622,N,6
LN-10151,P-100450,2023-01-13,HOMEIMPROVEMENT,F,13810,21.31,0,0.2848,N,9
LN-10152,P-100326,2024-03-06,PERSONAL,B,15059,8.41,0,0.3717,N,3
LN-10153,P-100715,2024-04-28,MEDICAL,A,6121,8.36,0,0.0757,N,4
LN-10154,P-100678,2023-04-01,HOMEIMPROVEMENT,B,9809,8.44,0,0.098,N,7
LN-10155,P-101086,2023-11-23,DEBTCONSOLIDATION,B,8284,11.17,0,0.0797,N,10
LN-10156,P-100018,2024-08-31,EDUCATION,A,28111,7.28,0,0.4097,N,16
LN-10157,P-101315,2023-08-08,PERSONAL,C,15349,9.12,0,0.262,N,20
LN-10158,P-101397,2023-06-24,PERSONAL,E,13234,15.42,1,0.6275,N,14
LN-10159,P-100790,2024-04-28,PERSONAL,A,3764,7.63,0,0.0597,N,5
LN-10160,P-101058,2024-11-20,HOMEIMPROVEMENT,D,18416,15.69,0,0.205,N,2
LN-10161,P-100912,2024-06-06,DEBTCONSOLIDATION,B,1992,10.7,0,0.0329,N,5
LN-10162,P-100394,2023-01-30,PERSONAL,B,18923,9.21,0,0.2704,Y,12
LN-10163,P-100342,2024-01-25,HOMEIMPROVEMENT,F,22085,16.33,1,0.2144,N,14
LN-10164,P-100015,2023-01-06,DEBTCONSOLIDATION,C,818,14.02,1,0.0239,N,9
LN-10165,P-101584,2023-02-01,PERSONAL,A,12801,10.67,0,0.6267,N,7
LN-10166,P-100421,2023-01-04,DEBTCONSOLIDATION,C,6305,11.34,0,0.139,N,6
LN-10167,P-101587,2024-11-12,PERSONAL,B,10116,9.59,1,0.4304,N,20
LN-10168,P-101529,2024-02-11,DEBTCONSOLIDATION,C,8770,12.22,0,0.0782,Y,15
LN-10169,P-100679,2023-04-23,EDUCATION,A,10488,7.05,0,0.3843,Y,2
LN-10170,P-100515,2023-07-05,EDUCATION,C,500,13.68,0,0.0312,N,8
LN-10171,P-100529,2024-02-10,VENTURE,B,8034,8.98,0,0.4127,N,3
LN-10172,P-100886,2023-01-07,PERSONAL,B,3587,12.64,0,0.0483,N,11
LN-10173,P-101095,2023-04-14,PERSONAL,A,9553,8.19,0,0.2231,N,18
LN-10174,P-101548,2023-02-15,PERSONAL,D,6022,18.3,1,0.0706,Y,11
LN-10175,P-100732,2024-11-09,DEBTCONSOLIDATION,E,16381,15.99,1,0.2982,Y,17
LN-10176,P-100617,2023-07-23,VENTURE,C,7947,13.06,1,0.1198,N,16
LN-10177,P-100781,2023-07-11,VENTURE,B,3474,8.8,0,0.1081,N,11
LN-10178,P-100320,2024-10-10,VENTURE,C,22222,12.19,0,0.5718,Y,8
LN-10179,P-101117,2024-06-04,MEDICAL,B,500,11.73,0,0.0094,N,7
LN-10180,P-101387,2023-01-31,DEBTCONSOLIDATION,E,7157,15.89,0,0.2824,N,10
LN-10181,P-101326,2024-05-20,HOMEIMPROVEMENT,B,21946,13.17,0,0.1799,N,5
LN-10182,P-101136,2024-05-04,HOMEIMPROVEMENT,A,12028,7.37,0,0.4687,Y,7
LN-10183,P-101221,2023-04-12,PERSONAL,B,20985,10.04,0,0.2559,N,2
LN-10184,P-100624,2024-05-17,DEBTCONSOLIDATION,A,3331,8.8,0,0.0576,N,8
LN-10185,P-100704,2024-02-07,HOMEIMPROVEMENT,A,1210,7.17,0,0.0158,N,5
LN-10186,P-100291,2023-06-09,MEDICAL,A,8005,5.47,0,0.0816,N,12
LN-10187,P-100397,2024-03-13,HOMEIMPROVEMENT,A,9937,5.7,0,1.0843,N,2
LN-10188,P-100111,2023-08-29,HOMEIMPROVEMENT,D,3415,17.95,1,0.0577,N,7
LN-10189,P-100944,2023-12-02,DEBTCONSOLIDATION,C,9284,14.15,0,0.1488,Y,9
LN-10190,P-100137,2023-08-04,HOMEIMPROVEMENT,A,9206,10.17,0,0.3889,N,14
LN-10191,P-100997,2024-07-16,DEBTCONSOLIDATION,F,7926,17.87,1,0.2351,N,6
LN-10192,P-101342,2024-07-31,PERSONAL,A,18730,8.11,0,0.1738,N,13
LN-10193,P-100396,2024-05-27,HOMEIMPROVEMENT,B,14201,13.06,0,0.2728,N,8
LN-10194,P-101350,2023-04-27,HOMEIMPROVEMENT,B,16935,10.34,0,0.595,N,16
LN-10195,P-101160,2023-03-20,VENTURE,B,9450,9.68,0,0.1306,N,12
LN-10196,P-100345,2023-06-24,EDUCATION,A,11393,6.92,0,0.5316,N,4
LN-10197,P-101458,2023-01-03,MEDICAL,D,10274,15.98,0,0.3962,N,12
LN-10198,P-100275,2024-03-02,VENTURE,C,17232,14.75,0,0.1131,N,8
LN-10199,P-100947,2023-02-12,VENTURE,B,2085,11.71,0,0.0354,N,20
LN-10200,P-101129,2024-03-31,PERSONAL,A,18243,8.78,0,0.4862,N,2
LN-10201,P-100574,2023-01-17,HOMEIMPROVEMENT,D,500,13.93,0,0.0163,Y,2
LN-10202,P-100402,2023-05-01,PERSONAL,A,6234,7.05,0,0.3052,N,6
LN-10203,P-101489,2023-08-06,HOMEIMPROVEMENT,A,19843,8.69,0,0.3269,Y,7
LN-10204,P-101293,2024-01-15,VENTURE,A,9330,6.12,0,0.1508,N,5
LN-10205,P-101575,2024-07-05,HOMEIMPROVEMENT,C,2931,12.92,1,0.0892,N,2
LN-10206,P-100533,2024-10-28,VENTURE,C,9255,14.56,0,0.1175,N,14
LN-10207,P-101339,2023-11-30,EDUCATION,D,18193,20.54,1,0.6323,N,8
LN-10208,P-101581,2023-08-27,EDUCATION,C,15342,11.99,1,0.4327,N,9
LN-10209,P-100951,2023-11-01,MEDICAL,B,5588,9.26,0,0.0823,Y,7
LN-10210,P-101028,2023-08-12,HOMEIMPROVEMENT,A,500,5.0,0,0.0152,N,10
LN-10211,P-101401,2023-09-04,VENTURE,A,10813,9.42,0,0.2153,N,13
LN-10212,P-100326,2023-09-16,DEBTCONSOLIDATION,A,13150,7.88,0,0.3246,N,9
LN-10213,P-100299,2023-11-16,MEDICAL,D,17126,11.28,0,0.266,N,6
LN-10214,P-100082,2023-02-11,PERSONAL,A,16416,10.33,0,0.3201,N,2
LN-10215,P-100541,2023-03-27,EDUCATION,B,2652,10.08,0,0.0516,Y,2
LN-10216,P-101060,2024-09-10,VENTURE,E,13399,18.72,0,0.4933,N,7
LN-10217,P-100931,2023-08-06,DEBTCONSOLIDATION,E,9317,20.54,0,0.1896,Y,3
LN-10218,P-100663,2023-01-15,DEBTCONSOLIDATION,A,9533,5.55,0,0.1012,N,4
LN-10219,P-100560,2023-09-23,HOMEIMPROVEMENT,D,9886,16.63,0,0.5921,N,5
LN-10220,P-101167,2024-04-10,MEDICAL,A,8505,7.49,0,0.2094,N,5
LN-10221,P-101203,2024-07-18,HOMEIMPROVEMENT,C,17069,14.06,1,0.3293,N,2
LN-10222,P-100515,2023-10-03,HOMEIMPROVEMENT,B,7271,8.26,0,0.454,N,15
LN-10223,P-100831,2023-08-21,VENTURE,B,2611,9.68,1,0.0377,N,10
LN-10224,P-100987,2024-06-24,EDUCATION,E,500,14.61,1,0.0135,Y,5
LN-10225,P-100900,2023-11-15,DEBTCONSOLIDATION,A,10472,8.25,0,0.0446,Y,6
LN-10226,P-100575,2023-07-24,MEDICAL,A,14567,8.01,0,0.7112,N,9
LN-10227,P-101232,2024-09-11,EDUCATION,C,19809,14.42,0,0.5157,Y,4
LN-10228,P-100849,2023-01-17,VENTURE,D,6354,15.08,0,0.1212,N,14
LN-10229,P-101382,2024-08-05,EDUCATION,B,14800,9.95,0,0.4323,N,9
LN-10230,P-101325,2024-01-05,PERSONAL,D,13818,13.08,1,0.5724,Y,11
LN-10231,P-100261,2023-09-27,DEBTCONSOLIDATION,C,5729,8.5,0,0.1243,N,7
LN-10232,P-101049,2024-02-09,PERSONAL,A,9883,10.53,0,0.2822,N,7
LN-10233,P-100340,2024-04-03,VENTURE,A,16125,6.44,0,0.2567,N,2
LN-10234,P-101227,2023-04-11,DEBTCONSOLIDATION,F,18013,20.21,1,0.5,N,10
LN-10235,P-101490,2024-03-18,PERSONAL,C,7995,12.04,0,0.3434,N,9
LN-10236,P-100443,2024-08-14,VENTURE,B,7351,9.68,0,0.1455,N,7
LN-10237,P-100349,2023-09-23,EDUCATION,A,7570,7.86,0,0.7337,N,11
LN-10238,P-101193,2023-02-24,DEBTCONSOLIDATION,D,12816,15.07,1,0.6056,N,5
LN-10239,P-101046,2023-08-25,MEDICAL,A,9617,6.08,0,0.1356,N,3
LN-10240,P-100928,2024-11-18,VENTURE,C,500,14.47,0,0.0212,Y,2
LN-10241,P-100789,2024-10-17,HOMEIMPROVEMENT,A,12038,9.97,0,0.6612,Y,6
LN-10242,P-101032,2024-06-09,HOMEIMPROVEMENT,C,15929,9.74,0,0.161,N,2
LN-10243,P-100197,2023-12-12,HOMEIMPROVEMENT,A,8914,6.21,0,0.1301,N,5
LN-10244,P-100079,2024-09-16,PERSONAL,E,14370,17.3,0,0.262,N,10
LN-10245,P-100190,2024-09-19,HOMEIMPROVEMENT,B,2397,7.54,0,0.0652,Y,4
LN-10246,P-101104,2023-09-30,DEBTCONSOLIDATION,D,8675,14.78,1,0.186,N,10
LN-10247,P-101329,2024-10-29,PERSONAL,B,500,8.01,0,0.0095,N,6
LN-10248,P-101428,2024-02-24,VENTURE,C,500,14.47,0,0.0101,N,17
LN-10249,P-101574,2023-05-31,DEBTCONSOLIDATION,B,8010,11.29,1,0.2077,N,11
LN-10250,P-101559,2024-05-02,VENTURE,D,6510,13.54,0,0.153,N,6
LN-10251,P-100274,2023-01-31,PERSONAL,A,15198,6.09,0,0.5069,N,2
LN-10252,P-100580,2024-10-21,MEDICAL,C,19192,11.17,0,0.4028,N,6
LN-10253,P-100387,2023-01-19,PERSONAL,A,14308,10.2,0,0.2695,N,5
LN-10254,P-101183,2024-05-26,VENTURE,C,10605,11.59,0,0.2689,N,5
LN-10255,P-101340,2024-10-31,VENTURE,A,10997,5.0,0,0.2281,N,15
LN-10256,P-100741,2023-06-05,HOMEIMPROVEMENT,A,16231,6.45,0,0.2118,N,2
LN-10257,P-100519,2023-04-19,HOMEIMPROVEMENT,A,16160,7.12,0,0.3565,N,2
LN-10258,P-100748,2024-08-10,VENTURE,C,15008,12.82,0,0.8468,N,10
LN-10259,P-101546,2023-08-11,HOMEIMPROVEMENT,A,13556,10.71,0,0.4344,N,5
LN-10260,P-100988,2024-02-05,VENTURE,A,3476,5.04,0,0.08,N,15
LN-10261,P-100519,2024-04-11,DEBTCONSOLIDATION,G,12650,22.09,1,0.279,N,11
LN-10262,P-100815,2023-11-21,DEBTCONSOLIDATION,D,9407,14.84,0,0.1418,N,4
LN-10263,P-100243,2023-12-23,DEBTCONSOLIDATION,D,13098,15.38,0,0.2415,N,5
LN-10264,P-100331,2024-11-01,MEDICAL,A,2245,10.62,0,0.0298,N,6
LN-10265,P-101127,2024-02-06,PERSONAL,C,7698,15.49,0,0.1395,N,4
LN-10266,P-100329,2024-10-19,PERSONAL,B,20733,10.41,0,0.4637,N,10
LN-10267,P-100297,2023-12-12,PERSONAL,B,21926,10.55,0,0.6509,N,2
LN-10268,P-100131,2024-11-19,HOMEIMPROVEMENT,A,15994,6.11,0,0.1995,N,15
LN-10269,P-100077,2024-02-21,VENTURE,D,16429,15.44,0,0.3704,N,15
LN-10270,P-101257,2023-06-19,HOMEIMPROVEMENT,C,7304,11.01,0,0.2409,N,2
LN-10271,P-100117,2024-09-28,DEBTCONSOLIDATION,F,5763,20.84,1,0.3888,N,9
LN-10272,P-101012,2024-07-21,DEBTCONSOLIDATION,B,5159,10.62,0,0.0958,N,9
LN-10273,P-101061,2024-02-02,HOMEIMPROVEMENT,B,500,13.24,0,0.0085,Y,13
LN-10274,P-101045,2024-06-14,EDUCATION,B,8760,11.6,0,0.0931,N,13
LN-10275,P-101380,2024-07-04,PERSONAL,A,4946,8.9,0,0.114,N,9
LN-10276,P-100322,2024-07-15,VENTURE,A,6728,7.59,0,0.1184,N,8
LN-10277,P-100723,2023-02-08,EDUCATION,C,6259,12.9,0,0.1587,N,4
LN-10278,P-101060,2024-08-30,PERSONAL,A,8727,5.69,0,0.3213,N,9
LN-10279,P-101125,2024-05-29,HOMEIMPROVEMENT,B,16532,6.94,0,0.8147,N,6
LN-10280,P-100712,2024-06-08,EDUCATION,B,1228,10.07,0,0.0293,N,2
LN-10281,P-101241,2023-11-15,VENTURE,F,11897,19.53,0,0.2069,N,5
LN-10282,P-101177,2024-06-08,HOMEIMPROVEMENT,A,17798,7.31,0,0.1988,N,11
LN-10283,P-100218,2023-06-20,MEDICAL,C,9141,12.41,1,0.1036,N,6
LN-10284,P-100239,2024-10-10,HOMEIMPROVEMENT,D,500,9.99,0,0.0048,N,17
LN-10285,P-101177,2023-12-04,VENTURE,A,9394,5.17,0,0.105,N,8
LN-10286,P-101153,2024-01-08,MEDICAL,B,3457,13.47,0,0.1325,N,7
LN-10287,P-101588,2023-04-27,HOMEIMPROVEMENT,B,1730,13.28,0,0.076,N,6
LN-10288,P-100056,2023-11-16,VENTURE,B,12387,9.45,1,0.2801,N,2
LN-10289,P-101297,2023-06-12,DEBTCONSOLIDATION,D,16022,15.31,0,0.3466,N,6
