application_id,customer_id,application_date,requested_amount,loan_purpose,application_status,application_channel,decision_date
APP0000052,CUST0000138,2025-10-06,34815.37,Medical,Rejected,Call Center,2025-10-17
APP0000053,CUST0000671,2024-05-17,13101.17,Wedding,Rejected,Online,2024-05-23
APP0000054,CUST0000519,2023-10-25,13087.52,Home Improvement,Approved,Online,2023-11-07
APP0000055,CUST0000208,2026-01-14,2603.53,Personal,Approved,Online,2026-01-23
APP0000056,CUST0000921,2023-10-30,41005.3,Personal,Withdrawn,Call Center,2023-11-04
APP0000057,CUST0000766,2022-06-15,10698.95,Home Improvement,Rejected,Call Center,2022-06-30
APP0000058,CUST0000009,2026-07-27,32240.2,Auto,Approved,Mobile App,2026-08-15
APP0000059,CUST0000087,2023-07-24,8261.91,Medical,Pending,Online,2026-08-24
APP0000060,CUST0000057,2026-02-13,30151.46,Wedding,Rejected,Call Center,2026-02-25
APP0000061,CUST0000416,2024-03-25,28988.9,Personal,Rejected,Online,2024-04-09
APP0000062,CUST0000418,2022-11-10,7744.74,Wedding,Approved,Branch,2022-11-25
APP0000063,CUST0000724,2023-07-13,4807.07,Auto,Approved,Online,2023-07-18
APP0000064,CUST0000676,2026-03-14,11951.63,Wedding,Approved,Branch,2026-03-17
APP0000065,CUST9749820,2026-05-15,27001.37,Wedding,Withdrawn,Branch,2026-05-26
APP0000066,CUST0000477,2022-05-03,46801.64,Education,Rejected,Online,2022-05-16
APP0000067,CUST0000785,2026-08-01,13583.3,Home Improvement,Pending,Online,2026-08-24
APP0000068,CUST0000898,2025-11-30,12094.58,Auto,Approved,Mobile App,2025-12-08
APP0000069,CUST0000293,2024-11-19,24575.78,Home Improvement,Rejected,Online,2024-11-30
APP0000070,CUST0000045,2022-07-25,2827.39,Personal,Approved,Branch,2022-08-04
APP0000071,CUST0000153,2024-07-31,14888.25,Auto,Rejected,Online,2024-08-10
APP0000072,CUST0000341,2023-10-11,,Business,Approved,Online,2023-10-25
APP0000073,CUST0000444,2022-04-09,10264.52,Auto,Rejected,Online,2022-04-29
APP0000074,CUST0000352,2026-07-26,40239.87,Wedding,Approved,Mobile App,2026-08-11
APP0000075,CUST0000091,2024-08-30,59621.87,Personal,Approved,Branch,2024-08-31
APP0000076,CUST0000341,2022-02-18,9815.02,Medical,Pending,Online,2026-08-24
APP0000077,CUST0000290,2023-05-10,10250.97,Medical,Approved,Mobile App,2023-05-11
APP0000078,CUST0000488,2025-11-05,12363.99,Debt Consolidation,Approved,Online,2025-11-23
APP0000079,CUST0000080,2023-11-10,46269.18,Home Improvement,Pending,Mobile App,2026-08-24
APP0000080,CUST0000791,2024-02-14,41308.52,Wedding,Approved,Online,2024-02-19
APP0000081,CUST0000418,2022-05-12,18063.59,Personal,Rejected,Call Center,2022-05-29
APP0000082,CUST0000318,2022-03-15,2877.02,Personal,Rejected,Online,2022-03-27
APP0000083,CUST0000907,2026-07-15,649.48,Business,Rejected,Branch,2026-07-17
APP0000084,CUST0000745,2026-05-30,8078.06,Home Improvement,Approved,Mobile App,2026-06-03
APP0000085,CUST0000137,2022-02-15,32022.02,Debt Consolidation,Rejected,Branch,2022-03-04
APP0000086,CUST0000147,2024-05-23,3092.43,Business,Rejected,Mobile App,2024-05-29
APP0000087,CUST0000003,2025-01-19,824.34,Auto,Approved,Online,2025-01-30
APP0000088,CUST0000561,2026-01-19,60028.43,Debt Consolidation,Rejected,Online,2026-02-06
APP0000089,CUST0000355,2024-06-11,6291.45,Debt Consolidation,Withdrawn,Call Center,2024-06-17
APP0000090,CUST0000376,2025-12-28,5109.83,Education,Approved,Call Center,2025-12-29
APP0000091,CUST0000510,2022-04-02,31410.49,Personal,Approved,Branch,2022-04-04
APP0000092,CUST0000540,2021-09-20,1711.15,Auto,Rejected,Branch,2021-10-09
APP0000093,CUST0000001,2023-12-21,7671.82,Wedding,Approved,Mobile App,2024-01-02
APP0000094,CUST0000108,2022-12-21,27299.26,Medical,Rejected,Mobile App,2022-12-28
APP0000095,CUST0000790,2025-06-03,19266.14,Business,Approved,Call Center,2025-06-05
APP0000096,CUST0000954,2023-05-02,11373.45,Home Improvement,Approved,Mobile App,2023-05-16
APP0000097,CUST0000838,2023-09-07,13583.19,Education,Rejected,Online,2023-09-08
APP0000098,CUST0000907,2024-04-27,1724.09,Auto,Withdrawn,Mobile App,2024-04-29
APP0000099,CUST0000464,2026-06-15,12687.41,Personal,Approved,Branch,2026-06-27
APP0000100,CUST0000827,2022-01-03,4755.19,Medical,Pending,Online,2026-08-24
APP0000101,CUST0000883,2024-05-30,35381.66,Debt Consolidation,Rejected,Mobile App,2024-06-11
APP0000102,CUST0000893,2023-08-05,747.72,Home Improvement,Approved,Mobile App,2023-08-24
APP0000103,CUST0000150,2021-10-29,1764.17,Auto,Rejected,Online,2021-11-04
APP0000104,CUST0000147,2025-09-20,,Medical,Approved,Mobile App,2025-10-02
APP0000105,CUST0000403,2026-03-20,105565.33,Auto,Rejected,Online,2026-03-27
APP0000106,CUST0000504,2022-07-07,11877.32,Education,Approved,Online,2022-07-15
APP0000107,CUST0000959,2025-06-12,11505.91,,Rejected,Mobile App,2025-06-16
APP0000108,CUST0000318,2025-02-25,919.74,Business,Approved,Mobile App,2025-03-13
APP0000109,CUST0000832,2025-03-04,12516.12,Auto,Pending,Branch,2026-08-24
APP0000110,CUST0000888,2023-12-13,1749.42,Business,Withdrawn,Online,2023-12-28
APP0000111,CUST0000966,2023-04-01,28264.08,Wedding,Approved,Branch,2023-04-04
APP0000112,CUST0000190,2022-01-01,43957.73,Home Improvement,Rejected,Online,2022-01-04
APP0000113,CUST0000242,2021-10-27,26928.54,Home Improvement,Withdrawn,Call Center,2021-11-12
APP0000114,CUST0000220,2022-07-14,4549.57,Debt Consolidation,Approved,Online,2022-07-28
APP0000115,CUST0000736,2024-04-14,28691.56,Personal,Rejected,Call Center,2024-04-15
APP0000116,CUST0000687,2022-05-09,9080.6,Personal,Rejected,Online,2022-05-23
APP0000117,CUST0000408,2025-01-29,5728.86,Medical,Pending,Online,2026-08-24
APP0000118,CUST0000089,2024-09-29,7416.11,Personal,Approved,Branch,2024-10-15
APP0000119,CUST0000521,2023-05-16,79902.76,Business,Approved,Mobile App,2023-05-22
APP0000120,CUST0000733,2022-01-31,14253.79,Wedding,Approved,Partner Referral,2022-02-07
APP0000121,CUST0000475,2024-03-26,5681.86,Wedding,Approved,Branch,2024-04-11
APP0000122,CUST0000269,2025-10-05,14658.57,Wedding,Approved,Online,2025-10-14
APP0000123,CUST0000593,2023-08-13,21581.63,Medical,Withdrawn,Online,2023-08-28
APP0000124,CUST0000661,2025-09-05,4772.38,Business,Approved,Branch,2025-09-25
APP0000125,CUST0000592,2023-01-29,13995.95,Home Improvement,Approved,Online,2023-02-07
APP0000126,CUST0000874,2022-01-18,29985.63,Wedding,Approved,Call Center,2022-01-30
APP0000127,CUST0000314,2024-11-23,13858.92,Auto,Approved,Branch,2024-12-03
APP0000128,CUST0000610,2026-02-01,3597.22,Medical,Rejected,Mobile App,2026-02-12
APP0000129,CUST0000856,2026-01-24,1503.81,Education,Approved,Mobile App,2026-01-26
APP0000130,CUST0000213,2026-06-11,4575.3,Personal,Pending,Online,2026-08-24
APP0000131,CUST0000282,2022-03-09,23771.43,Business,Rejected,Branch,2022-03-20
APP0000132,CUST0000050,2021-11-12,21314.83,Wedding,Rejected,Call Center,2021-11-17
APP0000133,CUST0000375,2024-06-29,26408.51,Business,Rejected,Branch,2024-06-08
APP0000134,CUST0000045,2026-05-26,6904.46,Personal,Approved,Branch,2026-06-03
APP0000135,CUST0000747,2026-08-21,33936.55,Education,Rejected,Call Center,2026-08-24
APP0000136,CUST0000089,2023-01-17,2825.35,Medical,Withdrawn,Online,2023-02-02
APP0000137,CUST0000693,2023-07-11,10594.22,Wedding,Pending,Call Center,2026-08-24
APP0000138,CUST0000580,2024-12-20,3869.12,Medical,Approved,Online,2025-01-04
APP0000139,CUST0000988,2026-03-20,32786.09,Education,REJECTED,Branch,2026-03-21
APP0000140,CUST0000349,2022-07-10,17400.91,Auto,Approved,Online,2022-07-30
APP0000141,CUST0000345,2026-07-11,51482.32,Medical,Rejected,Branch,2026-07-22
APP0000142,CUST0000244,2025-09-25,41149.44,Auto,Rejected,Online,2025-10-09
APP0000143,CUST0000538,2021-12-27,39060.24,Auto,Approved,Online,2022-01-09
APP0000144,CUST0000220,2025-11-09,3401.07,Personal,Withdrawn,Online,2025-11-16
APP0000145,CUST0000114,2024-11-08,27747.96,Personal,Rejected,Online,2024-11-22
APP0000146,CUST0000949,2026-07-16,40109.51,Business,Approved,Mobile App,2026-07-24
APP0000147,CUST0000680,2022-09-11,10032.47,Debt Consolidation,Pending,Online,2026-08-24
APP0000148,CUST0000119,2026-08-11,29233.27,Home Improvement,Rejected,Online,2026-08-13
APP0000149,CUST0000619,2021-11-19,4963.01,Home Improvement,Approved,Online,2021-11-22
APP0000150,CUST0000305,2022-01-10,34054.66,Business,Rejected,Branch,2022-01-29
APP0000151,CUST0000181,2023-11-20,22107.89,Wedding,Pending,Online,2026-08-24
APP0000152,CUST0000472,2024-12-08,2572.77,Medical,Withdrawn,Online,2024-12-11
APP0000153,CUST0000788,2022-06-25,21922.6,Auto,Approved,Branch,2022-06-30
APP0000154,CUST0000001,2023-01-05,34029.85,Education,Rejected,Mobile App,2023-01-16
APP0000155,CUST0000356,2023-08-06,50292.69,Wedding,Pending,Mobile App,2026-08-24
APP0000156,CUST0000921,2022-04-11,12500.98,Auto,Withdrawn,Online,2022-04-20
APP0000157,CUST0000395,2022-07-12,21504.21,Auto,Approved,Call Center,2022-07-19
APP0000158,CUST0000100,2022-05-23,4895.38,Education,Rejected,Mobile App,2022-05-26
APP0000159,CUST0000429,2026-06-02,22466.56,Wedding,Pending,Mobile App,2026-08-24
APP0000160,CUST0000683,2026-04-30,64565.1,Business,Approved,Online,2026-05-06
APP0000161,CUST0000997,2024-10-15,3379.09,Education,Approved,Online,2024-10-17
APP0000162,CUST0000629,2025-01-24,4386.13,Business,Rejected,Branch,2025-02-06
APP0000163,CUST0000051,2022-05-02,594.21,Debt Consolidation,Rejected,Online,2022-05-08
APP0000164,CUST0000810,2021-11-25,162948.81,Personal,Rejected,Mobile App,2021-11-26
APP0000165,CUST0000781,2023-07-14,103943.1,Debt Consolidation,Approved,Online,2023-07-15
APP0000166,CUST0000652,2026-07-27,,Medical,Rejected,Online,2026-08-16
APP0000167,CUST0000897,2024-01-14,17923.53,Auto,Approved,Online,2024-01-17
APP0000168,CUST0000770,2025-09-08,18035.92,Business,Pending,Online,2026-08-24
APP0000169,CUST0000233,2023-07-01,47569.23,Home Improvement,Rejected,Branch,2023-07-05
APP0000170,CUST0000422,2023-03-12,9777.66,Home Improvement,Approved,Online,2023-03-14
APP0000171,CUST0000508,2025-09-15,52574.41,Wedding,Withdrawn,Branch,2025-09-26
APP0000172,CUST0000489,2024-01-01,27639.8,Medical,Rejected,Online,2024-01-19
APP0000173,CUST0000639,2025-04-22,14448.53,Business,Approved,Branch,2025-04-24
APP0000174,CUST0000702,2025-04-12,53829.47,Education,Approved,Partner Referral,2025-04-19
APP0000175,CUST0000104,2025-04-13,11406.77,Education,Rejected,Call Center,2025-04-29
APP0000176,CUST0000569,2025-01-10,55046.31,Business,Withdrawn,Branch,2025-01-12
APP0000177,CUST0000039,2025-09-11,41159.09,Business,Approved,Online,2025-09-15
APP0000178,CUST0000512,2023-12-18,8258.56,Wedding,Withdrawn,Mobile App,2023-12-25
APP0000179,CUST0000423,2023-03-01,79752.41,Personal,Rejected,Call Center,2023-03-18
APP0000180,CUST0000206,2024-03-17,3637.79,Auto,Rejected,Branch,2024-04-03
APP0000181,CUST0000991,2023-04-09,14565.95,Home Improvement,Rejected,Online,2023-04-24
APP0000182,CUST0000259,2021-11-11,21487.23,Personal,Approved,Mobile App,2021-11-25
APP0000183,CUST0000057,2023-06-16,35888.06,Auto,Withdrawn,Online,2023-06-17
APP0000184,CUST0000359,2024-02-25,17403.53,Auto,Approved,Mobile App,2024-03-01
APP0000185,CUST0000758,2024-04-01,6474.35,Debt Consolidation,Withdrawn,Online,2024-04-20
APP0000186,CUST0000010,2023-05-08,9069.21,Education,Approved,Online,2023-05-23
APP0000187,CUST0000493,2025-04-10,118409.28,Education,Approved,Mobile App,2025-04-15
APP0000188,CUST0000418,2023-01-27,18510.52,Personal,Pending,Mobile App,2026-08-24
APP0000189,CUST0000866,2024-11-19,5871.58,Business,Rejected,Branch,2024-12-04
APP0000190,CUST0000003,2022-12-30,21131.16,Business,Approved,Mobile App,2023-01-14
APP0000191,CUST0000018,2026-07-31,39889.45,Education,Rejected,Call Center,2026-08-20
APP0000192,CUST0000566,2024-11-21,30929.39,Personal,Approved,Branch,2024-12-02
APP0000193,CUST0000180,2024-06-06,67419.0,Wedding,Pending,Partner Referral,2026-08-24
APP0000194,CUST9251279,2023-10-17,49903.88,Personal,Approved,Online,2023-11-03
APP0000195,CUST0000279,2025-06-05,7779.07,Auto,Rejected,Online,2025-06-06
APP0000196,CUST0000563,2023-10-11,36864.83,Auto,Approved,Mobile App,2023-10-24
APP0000197,CUST0000038,2025-08-30,8706.29,Debt Consolidation,Rejected,Online,2025-09-15
APP0000198,CUST0000694,2022-06-11,26095.44,Wedding,Withdrawn,Call Center,2022-06-14
APP0000199,CUST0000519,2025-09-30,37601.24,Business,Pending,Online,2026-08-24
APP0000200,CUST0000001,2026-06-16,34332.38,Wedding,Rejected,Online,2026-07-03
APP0000201,CUST0000266,2022-11-10,8649.54,Personal,Approved,Online,2022-11-24
APP0000202,CUST0000060,2022-10-07,19751.22,Medical,Approved,Mobile App,2022-10-14
APP0000203,CUST0000045,2026-06-03,17821.38,Home Improvement,Pending,Mobile App,2026-08-24
APP0000204,CUST0000699,2023-09-05,,Debt Consolidation,Approved,Online,2023-09-20
APP0000205,CUST0000428,2025-02-14,33558.56,Personal,Rejected,Online,2025-02-18
APP0000206,CUST0000803,2022-08-07,40330.59,Auto,Rejected,Online,2022-08-21
APP0000207,CUST0000258,2023-10-14,10347.46,Medical,Withdrawn,Online,2023-10-18
APP0000208,CUST0000718,2025-02-28,11067.27,Personal,Rejected,Mobile App,2025-03-07
APP0000209,CUST0000616,2026-02-13,26509.04,Medical,Rejected,Mobile App,2026-02-24
APP0000210,CUST0000664,2023-10-30,59998.25,Wedding,Pending,Online,2026-08-24
APP0000211,CUST0000829,2022-01-09,26353.81,Education,Withdrawn,Branch,2022-01-25
APP0000212,CUST0000708,2023-09-19,11610.1,Personal,Rejected,Mobile App,2023-10-03
APP0000213,CUST0000746,2024-11-10,,Home Improvement,Rejected,Online,2024-11-11
APP0000214,CUST0000740,2026-01-08,19796.49,Medical,Rejected,Online,2026-01-25
APP0000215,CUST0000448,2025-10-25,21366.45,Home Improvement,Rejected,Mobile App,2025-11-09
APP0000216,CUST0000725,2025-06-11,12376.99,Debt Consolidation,Approved,Online,2025-06-28
APP0000217,CUST0000843,2022-06-22,12080.49,Wedding,Rejected,Online,2022-07-05
APP0000218,CUST0000739,2024-03-31,10726.74,Education,Rejected,Online,2024-04-13
APP0000219,CUST0000608,2024-07-11,11834.33,Auto,Approved,Mobile App,2024-07-19
APP0000220,CUST0000075,2023-12-28,8949.36,Medical,Approved,Online,2024-01-02
APP0000221,CUST0000437,2026-04-06,73600.39,Home Improvement,Rejected,Mobile App,2026-04-11
APP0000222,CUST0000064,2026-06-12,42156.29,Debt Consolidation,Approved,Branch,2026-06-19
APP0000223,CUST0000104,2022-09-12,18123.74,Wedding,Rejected,Branch,2022-09-18
APP0000224,CUST0000362,2026-06-06,23281.33,Debt Consolidation,Rejected,Mobile App,2026-06-22
APP0000225,CUST0000465,2025-11-17,14180.95,Medical,Approved,Online,2025-11-28
APP0000226,CUST0000528,2025-03-03,20484.9,Home Improvement,Approved,Online,2025-03-12
APP0000227,CUST0000901,2023-07-22,10076.96,Wedding,Approved,Online,2023-08-06
APP0000228,CUST0000763,2025-06-13,26714.46,Home Improvement,Rejected,Mobile App,2025-06-28
APP0000229,CUST0000423,2024-07-30,17105.14,,Rejected,Branch,2024-08-18
APP0000230,CUST0000335,2026-02-21,115214.03,Personal,Rejected,Mobile App,2026-02-28
APP0000231,CUST0000713,2025-03-15,23709.45,Education,Pending,Branch,2026-08-24
APP0000232,CUST0000276,2026-06-20,84455.93,Medical,Approved,Online,2026-06-21
APP0000233,CUST0000884,2023-09-29,73180.97,Education,Rejected,Online,2023-10-03
APP0000234,CUST0000782,2022-01-22,8765.25,Medical,Approved,Online,2022-02-04
APP0000235,CUST0000683,2024-02-09,98539.22,Auto,Rejected,Mobile App,2024-02-26
APP0000236,CUST0000250,2026-08-20,2285.72,Education,Approved,Online,2026-08-24
APP0000237,CUST0000622,2024-12-03,17345.35,Auto,Rejected,Call Center,2024-12-23
APP0000238,CUST0000821,2025-02-28,8655.09,Wedding,rejected,Online,2025-03-13
APP0000239,CUST0000072,2024-10-09,3510.79,Medical,Approved,Branch,2024-10-27
APP0000240,CUST0000178,2024-08-11,24141.26,Personal,Withdrawn,Online,2024-08-17
APP0000241,CUST0000516,2021-12-15,46006.52,Home Improvement,Approved,Mobile App,2021-12-22
APP0000242,CUST0000360,2023-09-18,76578.18,Business,Approved,Online,2023-10-05
APP0000243,CUST0000710,2022-01-29,,Education,Rejected,Branch,2022-02-12
APP0000244,CUST0000402,2023-05-01,31600.94,Business,Rejected,Call Center,2023-05-11
APP0000245,CUST0000997,2025-03-31,25095.05,Medical,Approved,Mobile App,2025-04-20
APP0000246,CUST0000300,2025-09-01,18733.16,Business,Approved,Online,2025-09-17
APP0000247,CUST0000361,2022-10-07,53920.42,Debt Consolidation,Approved,Mobile App,2022-09-09
APP0000248,CUST0000004,2024-12-01,34789.64,Business,Pending,Branch,2026-08-24
APP0000249,CUST0000248,2022-10-12,8262.92,Personal,Rejected,Online,2022-10-20
APP0000250,CUST0000236,2022-08-26,20837.75,Medical,Approved,Branch,2022-09-04
APP0000251,CUST0000763,2026-06-12,3293.09,Debt Consolidation,Approved,Mobile App,2026-06-29
APP0000252,CUST0000338,2024-09-11,20202.53,Education,Pending,Branch,2026-08-24
APP0000253,CUST0000204,2022-08-20,26052.65,Personal,Pending,Mobile App,2026-08-24
APP0000254,CUST0000314,2022-05-09,20535.61,Medical,Approved,Mobile App,2022-05-21
APP0000255,CUST0000563,2021-11-23,30478.7,Debt Consolidation,Rejected,Branch,2021-12-06
APP0000256,CUST0000786,2024-02-18,21404.66,Medical,Approved,Online,2024-02-29
APP0000257,CUST0000979,2022-02-25,14730.44,Wedding,Approved,Mobile App,2022-03-03
APP0000258,CUST0000048,2024-07-25,1376.23,Auto,Pending,Online,2026-08-24
APP0000259,CUST0000841,2023-10-26,11303.63,,Pending,Online,2026-08-24
APP0000260,CUST0000389,2024-10-28,28317.61,Auto,Approved,Online,2024-10-30
APP0000261,CUST0000809,2022-09-07,15210.9,Business,Pending,Call Center,2026-08-24
APP0000262,CUST0000038,2022-05-17,25509.65,Medical,Rejected,Online,2022-06-05
APP0000263,CUST0000627,2022-02-25,16461.07,,Rejected,Online,2022-03-06
APP0000264,CUST0000931,2022-02-15,14580.06,Education,Rejected,Online,2022-02-22
APP0000265,CUST0000040,2022-01-04,7201.97,Education,Rejected,Online,2022-01-09
APP0000266,CUST0000791,2022-12-10,27359.74,Medical,Withdrawn,Partner Referral,2022-12-15
APP0000267,CUST0000115,2025-08-25,9445.34,Auto,Approved,Branch,2025-09-02
APP0000268,CUST0000983,2024-09-06,76632.36,Debt Consolidation,declined,Mobile App,2024-09-22
APP0000269,CUST0000745,2022-11-25,12753.98,Business,Approved,Mobile App,2022-11-29
APP0000270,CUST0000911,2026-04-22,15638.73,Auto,Pending,Online,2026-08-24
APP0000271,CUST0000898,2025-06-14,14238.25,Education,Approved,Mobile App,2025-07-04
APP0000272,CUST0000316,2025-07-17,51329.69,Medical,Rejected,Partner Referral,2025-08-06
APP0000273,CUST0000416,2026-02-20,6407.52,Personal,Rejected,Mobile App,2026-02-25
APP0000274,CUST0000692,2025-05-17,7953.2,Business,Approved,Mobile App,2025-05-26
APP0000275,CUST0000175,2026-06-07,4040.1,Medical,Approved,Branch,2026-06-16
APP0000276,CUST0000307,2023-04-20,6716.73,Auto,Approved,Mobile App,2023-04-26
APP0000277,CUST0000100,2025-12-05,7167.01,Business,Rejected,Online,2025-12-09
APP0000278,CUST0000889,2022-03-16,32791.87,Debt Consolidation,Approved,Mobile App,2022-03-18
APP0000279,CUST0000248,2023-02-24,22324.86,Debt Consolidation,Rejected,Online,2023-03-09
APP0000280,CUST0000411,2026-02-08,,Debt Consolidation,Rejected,Branch,2026-02-09
APP0000281,CUST0000453,2022-04-25,20233.22,Auto,Withdrawn,Call Center,2022-05-08
APP0000282,CUST0000376,2024-02-25,75606.35,Medical,Rejected,Mobile App,2024-02-27
APP0000283,CUST0000778,2023-05-08,28375.58,Auto,Approved,Online,2023-05-12
APP0000284,CUST0000915,2022-02-24,8933.79,Home Improvement,Pending,Mobile App,2026-08-24
APP0000285,CUST0000573,2022-10-29,8066.01,Auto,Pending,Call Center,2026-08-24
APP0000286,CUST0000837,2024-04-27,3650.56,Medical,Rejected,Mobile App,2024-05-04
APP0000287,CUST0000111,2024-10-19,2987.43,,Rejected,Call Center,2024-10-26
APP0000288,CUST0000967,2025-01-09,1689.56,Education,Approved,Mobile App,2025-01-16
APP0000289,CUST0000116,2022-04-22,2585.06,Medical,Rejected,Call Center,2022-05-11
APP0000290,CUST0000067,2023-04-01,7597.64,Wedding,Rejected,Online,2023-04-10
APP0000291,CUST0000023,2022-03-03,25792.44,Wedding,Approved,Branch,2022-03-20
APP0000292,CUST0000244,2021-09-10,14035.07,Business,Approved,Mobile App,2021-09-15
APP0000293,CUST0000838,2023-08-08,31450.2,Education,Approved,Call Center,2023-08-18
APP0000294,CUST0000301,2024-10-03,4111.01,Debt Consolidation,REJECTED,Online,2024-10-05
APP0000295,CUST0000791,2023-07-03,10212.49,Education,Approved,Online,2023-07-09
APP0000296,CUST0000425,2021-11-06,12473.88,Medical,Rejected,Online,2021-11-08
APP0000297,CUST0000104,2022-09-30,3324.44,Auto,Pending,Mobile App,2026-08-24
APP0000298,CUST0000474,2023-10-24,25355.53,,Rejected,Call Center,2023-10-28
APP0000299,CUST0000233,2023-06-05,56221.53,Debt Consolidation,Approved,Branch,2023-06-09
APP0000300,CUST0000292,2025-10-09,29917.35,Auto,Approved,Online,2025-10-16
APP0000301,CUST0000518,2024-08-20,6159.44,Personal,Approved,Online,2024-09-04
APP0000302,CUST0000791,2026-08-22,77617.77,Wedding,Rejected,Call Center,2026-08-24
APP0000303,CUST0000587,2022-07-11,3039.41,Education,Rejected,Online,2022-07-24
APP0000304,CUST0000224,2023-07-02,24976.18,Education,Pending,Online,2026-08-24
APP0000305,CUST0000718,2022-01-31,5146.96,Wedding,Withdrawn,Online,2022-02-09
APP0000306,CUST0000697,2021-09-30,28506.57,Debt Consolidation,Approved,Mobile App,2021-10-19
