assessment_id,customer_id,loan_id,assessment_date,risk_score,probability_of_default,risk_category,model_version
RISK0000037,CUST0000813,LOAN0000037,2023-06-13,627,0.2452,MEDIUM,synthetic-pd-v1.0
RISK0000038,CUST0000173,LOAN0000038,2022-08-02,613,0.3052,HIGH,synthetic-pd-v1.0
RISK0000039,CUST0000727,LOAN0000039,2023-02-21,784,0.0105,LOW,synthetic-pd-v1.0
RISK0000040,CUST0001442,LOAN0000040,2024-06-12,760,0.0172,LOW,synthetic-pd-v1.0
RISK0000041,CUST0000349,LOAN0000041,2022-05-31,694,0.0694,LOW,synthetic-pd-v1.0
RISK0000042,CUST0000310,LOAN0000042,2023-10-07,783,0.0106,LOW,synthetic-pd-v1.0
RISK0000043,CUST0000751,LOAN0000043,2023-11-23,744,0.0244,LOW,synthetic-pd-v1.0
RISK0000044,CUST0001525,LOAN0000044,2026-01-30,543,0.6688,HIGH,synthetic-pd-v1.0
RISK0000045,CUST0001826,LOAN0000045,2026-02-10,724,0.0371,LOW,synthetic-pd-v1.0
RISK0000046,CUST0000434,LOAN0000046,2023-03-20,666,0.1203,MEDIUM,synthetic-pd-v1.0
RISK0000047,CUST0000173,LOAN0000047,2026-06-14,645,0.1777,MEDIUM,synthetic-pd-v1.0
RISK0000048,CUST0000325,LOAN0000048,2021-09-30,537,0.6982,HIGH,synthetic-pd-v1.0
RISK0000049,CUST0001948,LOAN0000049,2023-03-29,646,0.1754,MEDIUM,synthetic-pd-v1.0
RISK0000050,CUST0001199,LOAN0000050,2022-06-16,613,0.3054,HIGH,synthetic-pd-v1.0
RISK0000051,CUST0000700,LOAN0000051,2023-06-09,574,0.5075,HIGH,synthetic-pd-v1.0
RISK0000052,CUST0000805,LOAN0000052,2025-03-31,629,0.2358,MEDIUM,synthetic-pd-v1.0
RISK0000053,CUST0001996,LOAN0000053,2026-06-14,596,0.3863,HIGH,synthetic-pd-v1.0
RISK0000054,CUST0001080,LOAN0000054,2022-02-01,729,0.0336,LOW,synthetic-pd-v1.0
RISK0000055,CUST0000204,LOAN0000055,2024-02-06,721,0.0393,LOW,synthetic-pd-v1.0
RISK0000056,CUST0001678,LOAN0000056,2022-03-31,799,0.0074,LOW,synthetic-pd-v1.0
RISK0000057,CUST0000148,LOAN0000057,2021-12-02,701,0.0599,LOW,synthetic-pd-v1.0
RISK0000058,CUST0000179,LOAN0000058,2024-05-28,683,0.0867,MEDIUM,synthetic-pd-v1.0
RISK0000059,CUST0001059,LOAN0000059,2022-01-19,545,0.6567,HIGH,synthetic-pd-v1.0
RISK0000060,CUST0000337,LOAN0000060,2025-10-23,820,0.0047,LOW,synthetic-pd-v1.0
RISK0000061,CUST0000864,LOAN0000061,2023-07-23,703,0.0581,LOW,synthetic-pd-v1.0
RISK0000062,CUST0000839,LOAN0000062,2025-03-17,635,0.2136,MEDIUM,synthetic-pd-v1.0
RISK0000063,CUST0001300,LOAN0000063,2025-08-01,705,0.0554,LOW,synthetic-pd-v1.0
RISK0000064,CUST0000840,LOAN0000064,2022-08-07,738,0.0275,LOW,synthetic-pd-v1.0
RISK0000065,CUST0001778,LOAN0000065,2023-06-22,735,0.0299,LOW,synthetic-pd-v1.0
RISK0000066,CUST0001729,LOAN0000066,2026-05-02,673,0.1063,MEDIUM,synthetic-pd-v1.0
RISK0000067,CUST0000951,LOAN0000067,2025-02-16,633,0.2206,MEDIUM,synthetic-pd-v1.0
RISK0000068,CUST0000581,LOAN0000068,2023-09-11,720,0.0407,LOW,synthetic-pd-v1.0
RISK0000069,CUST0001860,LOAN0000069,2023-10-20,726,0.036,LOW,synthetic-pd-v1.0
RISK0000070,CUST0001140,LOAN0000070,2024-04-20,679,0.0932,LOW,synthetic-pd-v1.0
RISK0000071,CUST0000884,LOAN0000071,2024-04-24,608,0.3282,MEDIUM,synthetic-pd-v1.0
RISK0000072,CUST0000914,LOAN0000072,2025-03-19,702,0.0588,LOW,synthetic-pd-v1.0
RISK0000073,CUST0001400,LOAN0000073,2022-05-09,644,0.1825,MEDIUM,synthetic-pd-v1.0
RISK0000074,CUST0001925,LOAN0000074,2021-11-10,676,0.0995,MEDIUM,synthetic-pd-v1.0
RISK0000075,CUST0001541,LOAN0000075,2021-11-19,754,0.0197,LOW,synthetic-pd-v1.0
RISK0000076,CUST0000812,LOAN0000076,2024-06-28,737,0.0283,LOW,synthetic-pd-v1.0
RISK0000077,CUST0000858,LOAN0000077,2022-03-16,685,0.0832,MEDIUM,synthetic-pd-v1.0
RISK0000078,CUST0001904,LOAN0000078,2025-01-02,607,0.3298,HIGH,synthetic-pd-v1.0
RISK0000079,CUST0000900,LOAN0000079,2023-07-08,745,0.024,LOW,synthetic-pd-v1.0
RISK0000080,CUST0001006,LOAN0000080,2023-11-03,753,0.0203,LOW,synthetic-pd-v1.0
RISK0000081,CUST0000710,LOAN0000081,2022-06-24,686,0.0819,LOW,synthetic-pd-v1.0
RISK0000082,CUST0001125,LOAN0000082,2024-04-01,699,0.0627,LOW,synthetic-pd-v1.0
RISK0000083,CUST0001065,LOAN0000083,2024-04-21,712,0.0481,LOW,synthetic-pd-v1.0
RISK0000084,CUST0000347,LOAN0000084,2022-08-11,647,0.1718,MEDIUM,synthetic-pd-v1.0
RISK0000085,CUST0001176,LOAN0000085,2025-07-21,549,0.6376,HIGH,synthetic-pd-v1.0
RISK0000086,CUST0001580,LOAN0000086,2025-08-17,725,0.0365,LOW,synthetic-pd-v1.0
RISK0000087,CUST0000704,LOAN0000087,2023-04-13,586,0.4421,HIGH,synthetic-pd-v1.0
RISK0000088,CUST0002000,LOAN0000088,2026-01-14,655,0.149,MEDIUM,synthetic-pd-v1.0
RISK0000089,CUST0001673,LOAN0000089,2022-06-03,602,0.3565,HIGH,synthetic-pd-v1.0
RISK0000090,CUST0001002,LOAN0000090,2023-04-05,709,0.0508,LOW,synthetic-pd-v1.0
RISK0000091,CUST0001744,LOAN0000091,2025-07-26,644,0.1821,MEDIUM,synthetic-pd-v1.0
RISK0000092,CUST0000456,LOAN0000092,2022-08-04,700,0.0615,LOW,synthetic-pd-v1.0
RISK0000093,CUST0001427,LOAN0000093,2026-05-22,721,0.0395,LOW,synthetic-pd-v1.0
RISK0000094,CUST0000095,LOAN0000094,2022-05-29,777,0.012,LOW,synthetic-pd-v1.0
RISK0000095,CUST0000154,LOAN0000095,2024-11-14,757,0.0186,LOW,synthetic-pd-v1.0
RISK0000096,CUST0001560,LOAN0000096,2025-09-02,754,0.0199,LOW,synthetic-pd-v1.0
RISK0000097,CUST0001203,LOAN0000097,2023-07-23,708,0.0521,LOW,synthetic-pd-v1.0
RISK0000098,CUST0001059,LOAN0000098,2025-09-14,566,0.5466,HIGH,synthetic-pd-v1.0
RISK0000099,CUST0001443,LOAN0000099,2026-05-12,681,0.0905,LOW,synthetic-pd-v1.0
RISK0000100,CUST0001820,LOAN0000100,2022-07-04,709,0.0507,LOW,synthetic-pd-v1.0
RISK0000101,CUST0001658,LOAN0000101,2025-11-29,663,0.1291,MEDIUM,synthetic-pd-v1.0
RISK0000102,CUST0001600,LOAN0000102,2024-01-03,690,0.0757,LOW,synthetic-pd-v1.0
RISK0000103,CUST0001576,LOAN0000103,2025-07-23,711,0.049,LOW,synthetic-pd-v1.0
RISK0000104,CUST0001087,LOAN0000104,2026-03-12,656,0.1463,MEDIUM,synthetic-pd-v1.0
RISK0000105,CUST0000218,LOAN0000105,2022-09-26,777,0.012,LOW,synthetic-pd-v1.0
RISK0000106,CUST0000114,LOAN0000106,2023-10-12,725,0.0366,LOW,synthetic-pd-v1.0
RISK0000107,CUST0001679,LOAN0000107,2025-03-03,756,0.0191,LOW,synthetic-pd-v1.0
RISK0000108,CUST0000721,LOAN0000108,2026-01-09,690,0.0747,LOW,synthetic-pd-v1.0
RISK0000109,CUST0000028,LOAN0000109,2025-10-19,641,0.1928,MEDIUM,synthetic-pd-v1.0
RISK0000110,CUST0000879,LOAN0000110,2024-05-09,648,0.1699,MEDIUM,synthetic-pd-v1.0
RISK0000111,CUST0000233,LOAN0000111,2022-05-10,696,0.0668,LOW,synthetic-pd-v1.0
RISK0000112,CUST0000731,LOAN0000112,2022-10-23,713,0.0469,LOW,synthetic-pd-v1.0
RISK0000113,CUST0000350,LOAN0000113,2026-07-09,700,0.0617,LOW,synthetic-pd-v1.0
RISK0000114,CUST0001608,LOAN0000114,2026-04-18,506,0.8183,HIGH,synthetic-pd-v1.0
RISK0000115,CUST0001373,LOAN0000115,2025-05-15,702,0.0594,LOW,synthetic-pd-v1.0
RISK0000116,CUST0001562,LOAN0000116,2025-05-01,708,0.052,LOW,synthetic-pd-v1.0
RISK0000117,CUST0001603,LOAN0000117,2022-07-29,520,0.769,HIGH,synthetic-pd-v1.0
RISK0000118,CUST0000674,LOAN0000118,2021-12-05,648,0.1685,MEDIUM,synthetic-pd-v1.0
RISK0000119,CUST0001120,LOAN0000119,2024-07-17,680,0.0918,MEDIUM,synthetic-pd-v1.0
RISK0000120,CUST0001271,LOAN0000120,2026-08-27,679,0.0936,LOW,synthetic-pd-v1.0
RISK0000121,CUST0000759,LOAN0000121,2026-05-23,805,0.0066,LOW,synthetic-pd-v1.0
RISK0000122,CUST0000588,LOAN0000122,2022-06-03,641,0.1917,MEDIUM,synthetic-pd-v1.0
RISK0000123,CUST0000055,LOAN0000123,2025-08-18,672,0.1066,LOW,synthetic-pd-v1.0
RISK0000124,CUST0001694,LOAN0000124,2025-11-12,604,0.3463,HIGH,synthetic-pd-v1.0
RISK0000125,CUST0001871,LOAN0000125,2021-11-07,680,0.0913,LOW,synthetic-pd-v1.0
RISK0000126,CUST0001193,LOAN0000126,2025-03-13,714,0.0458,LOW,synthetic-pd-v1.0
RISK0000127,CUST0000160,LOAN0000127,2023-03-06,736,0.0291,LOW,synthetic-pd-v1.0
RISK0000128,CUST0000046,LOAN0000128,2023-05-17,660,0.1358,MEDIUM,synthetic-pd-v1.0
RISK0000129,CUST0000185,LOAN0000129,2022-06-12,556,0.6008,HIGH,synthetic-pd-v1.0
RISK0000130,CUST0001106,LOAN0000130,2026-08-28,771,0.0138,LOW,synthetic-pd-v1.0
RISK0000131,CUST0000390,LOAN0000131,2021-10-17,615,0.2952,HIGH,synthetic-pd-v1.0
RISK0000132,CUST0000998,LOAN0000132,2024-08-15,580,0.4702,HIGH,synthetic-pd-v1.0
RISK0000133,CUST0001132,LOAN0000133,2026-05-11,717,0.043,LOW,synthetic-pd-v1.0
RISK0000134,CUST0000942,LOAN0000134,2024-07-20,451,0.9377,HIGH,synthetic-pd-v1.0
RISK0000135,CUST0000781,LOAN0000135,2024-11-10,631,0.2278,MEDIUM,synthetic-pd-v1.0
RISK0000136,CUST0000513,LOAN0000136,2022-07-03,681,0.0898,MEDIUM,synthetic-pd-v1.0
RISK0000137,CUST0000198,LOAN0000137,2022-07-12,807,0.0063,LOW,synthetic-pd-v1.0
RISK0000138,CUST0000172,LOAN0000138,2024-10-06,610,0.3195,HIGH,synthetic-pd-v1.0
RISK0000139,CUST0001015,LOAN0000139,2023-01-08,580,0.4732,HIGH,synthetic-pd-v1.0
RISK0000140,CUST0001591,LOAN0000140,2026-02-03,727,0.0353,LOW,synthetic-pd-v1.0
RISK0000141,CUST0001450,LOAN0000141,2026-02-10,730,0.033,LOW,synthetic-pd-v1.0
RISK0000142,CUST0001336,LOAN0000142,2023-08-27,706,0.0537,LOW,synthetic-pd-v1.0
RISK0000143,CUST0001138,LOAN0000143,2026-02-16,679,0.0935,LOW,synthetic-pd-v1.0
RISK0000144,CUST0001919,LOAN0000144,2026-02-05,678,0.0957,LOW,synthetic-pd-v1.0
RISK0000145,CUST0001661,LOAN0000145,2022-10-27,773,0.013,LOW,synthetic-pd-v1.0
RISK0000146,CUST0001023,LOAN0000146,2023-08-27,499,0.8394,HIGH,synthetic-pd-v1.0
RISK0000147,CUST0000854,LOAN0000147,2023-01-15,582,0.4601,HIGH,synthetic-pd-v1.0
RISK0000148,CUST0001024,LOAN0000148,2024-05-05,682,0.0875,MEDIUM,synthetic-pd-v1.0
RISK0000149,CUST0001646,LOAN0000149,2025-07-28,576,0.4972,HIGH,synthetic-pd-v1.0
RISK0000150,CUST0001220,LOAN0000150,2026-07-02,739,0.027,LOW,synthetic-pd-v1.0
RISK0000151,CUST0000362,LOAN0000151,2022-04-17,788,0.0096,LOW,synthetic-pd-v1.0
RISK0000152,CUST0001009,LOAN0000152,2021-12-28,751,0.0211,LOW,synthetic-pd-v1.0
RISK0000153,CUST0000748,LOAN0000153,2023-09-29,693,0.0703,LOW,synthetic-pd-v1.0
RISK0000154,CUST0001029,LOAN0000154,2024-09-23,628,0.2387,MEDIUM,synthetic-pd-v1.0
RISK0000155,CUST0001817,LOAN0000155,2022-06-18,646,0.1751,MEDIUM,synthetic-pd-v1.0
RISK0000156,CUST0001870,LOAN0000156,2025-10-04,678,0.096,LOW,synthetic-pd-v1.0
RISK0000157,CUST0000764,LOAN0000157,2022-03-13,663,0.1288,MEDIUM,synthetic-pd-v1.0
RISK0000158,CUST0001909,LOAN0000158,2025-01-20,606,0.3389,HIGH,synthetic-pd-v1.0
RISK0000159,CUST0000074,LOAN0000159,2026-05-18,721,0.0398,LOW,synthetic-pd-v1.0
RISK0000160,CUST0000948,LOAN0000160,2021-09-08,677,0.0976,MEDIUM,synthetic-pd-v1.0
RISK0000161,CUST0001312,LOAN0000161,2026-03-17,665,0.1227,MEDIUM,synthetic-pd-v1.0
RISK0000162,CUST0000927,LOAN0000162,2023-06-24,609,0.3233,HIGH,synthetic-pd-v1.0
RISK0000163,CUST0001940,LOAN0000163,2026-01-05,721,0.0399,LOW,synthetic-pd-v1.0
RISK0000164,CUST0001678,LOAN0000164,2026-05-29,799,0.0075,LOW,synthetic-pd-v1.0
RISK0000165,CUST0000543,LOAN0000165,2025-10-12,614,0.3,HIGH,synthetic-pd-v1.0
RISK0000166,CUST0000281,LOAN0000166,2026-03-11,703,0.0574,LOW,synthetic-pd-v1.0
RISK0000167,CUST0000249,LOAN0000167,2022-01-28,684,0.0854,LOW,synthetic-pd-v1.0
RISK0000168,CUST0001393,LOAN0000168,2026-08-10,648,0.1704,MEDIUM,synthetic-pd-v1.0
RISK0000169,CUST0000395,LOAN0000169,2024-09-22,722,0.039,LOW,synthetic-pd-v1.0
RISK0000170,CUST0001696,LOAN0000170,2023-03-02,728,0.0345,LOW,synthetic-pd-v1.0
RISK0000171,CUST0000198,LOAN0000171,2023-09-30,784,0.0104,LOW,synthetic-pd-v1.0
RISK0000172,CUST0000347,LOAN0000172,2026-05-07,632,0.2255,MEDIUM,synthetic-pd-v1.0
RISK0000173,CUST0000237,LOAN0000173,2025-01-17,654,0.1502,MEDIUM,synthetic-pd-v1.0
RISK0000174,CUST0000478,LOAN0000174,2022-12-08,693,0.0712,LOW,synthetic-pd-v1.0
RISK0000175,CUST0001318,LOAN0000175,2022-09-20,697,0.0657,LOW,synthetic-pd-v1.0
RISK0000176,CUST0001886,LOAN0000176,2026-01-26,723,0.0378,LOW,synthetic-pd-v1.0
RISK0000177,CUST0001402,LOAN0000177,2024-12-26,628,0.2376,MEDIUM,synthetic-pd-v1.0
RISK0000178,CUST0001260,LOAN0000178,2024-05-09,730,0.033,LOW,synthetic-pd-v1.0
RISK0000179,CUST0001569,LOAN0000179,2022-12-15,775,0.0126,LOW,synthetic-pd-v1.0
RISK0000180,CUST0001381,LOAN0000180,2026-05-06,850,0.0025,LOW,synthetic-pd-v1.0
RISK0000181,CUST0000316,LOAN0000181,2024-04-27,688,0.0781,LOW,synthetic-pd-v1.0
RISK0000182,CUST0001186,LOAN0000182,2023-03-22,688,0.0781,LOW,synthetic-pd-v1.0
RISK0000183,CUST0001313,LOAN0000183,2024-08-31,670,0.1117,LOW,synthetic-pd-v1.0
RISK0000184,CUST0001883,LOAN0000184,2024-09-01,649,0.1656,MEDIUM,synthetic-pd-v1.0
RISK0000185,CUST0000563,LOAN0000185,2026-02-15,701,0.0602,LOW,synthetic-pd-v1.0
RISK0000186,CUST0001428,LOAN0000186,2024-03-05,644,0.1812,MEDIUM,synthetic-pd-v1.0
RISK0000187,CUST0001538,LOAN0000187,2023-08-29,793,0.0084,LOW,synthetic-pd-v1.0
RISK0000188,CUST0001477,LOAN0000188,2023-12-05,679,0.0945,LOW,synthetic-pd-v1.0
RISK0000189,CUST0000683,LOAN0000189,2023-09-22,667,0.1176,MEDIUM,synthetic-pd-v1.0
RISK0000190,CUST0000404,LOAN0000190,2025-04-11,753,0.0201,LOW,synthetic-pd-v1.0
RISK0000191,CUST0001614,LOAN0000191,2022-11-24,648,0.1676,MEDIUM,synthetic-pd-v1.0
RISK0000192,CUST0000849,LOAN0000192,2022-07-28,620,0.2714,MEDIUM,synthetic-pd-v1.0
RISK0000193,CUST0000057,LOAN0000193,2025-05-24,769,0.0143,LOW,synthetic-pd-v1.0
RISK0000194,CUST0000929,LOAN0000194,2024-08-10,707,0.0533,LOW,synthetic-pd-v1.0
RISK0000195,CUST0001634,LOAN0000195,2023-07-09,668,0.1156,MEDIUM,synthetic-pd-v1.0
RISK0000196,CUST0001705,LOAN0000196,2025-10-13,709,0.0506,LOW,synthetic-pd-v1.0
RISK0000197,CUST0001411,LOAN0000197,2021-10-28,496,0.8481,HIGH,synthetic-pd-v1.0
RISK0000198,CUST0000870,LOAN0000198,2025-02-21,664,0.1261,MEDIUM,synthetic-pd-v1.0
RISK0000199,CUST0001863,LOAN0000199,2022-03-07,684,0.085,LOW,synthetic-pd-v1.0
RISK0000200,CUST0001707,LOAN0000200,2023-08-16,679,0.0932,MEDIUM,synthetic-pd-v1.0
RISK0000201,CUST0000291,LOAN0000201,2023-09-29,665,0.1224,MEDIUM,synthetic-pd-v1.0
RISK0000202,CUST0001483,LOAN0000202,2024-10-14,684,0.0855,LOW,synthetic-pd-v1.0
RISK0000203,CUST0001262,LOAN0000203,2023-07-01,704,0.0561,LOW,synthetic-pd-v1.0
RISK0000204,CUST0001520,LOAN0000204,2025-06-21,738,0.0275,LOW,synthetic-pd-v1.0
RISK0000205,CUST0001713,LOAN0000205,2022-06-13,656,0.1465,MEDIUM,synthetic-pd-v1.0
RISK0000206,CUST0001173,LOAN0000206,2023-06-20,750,0.0213,LOW,synthetic-pd-v1.0
RISK0000207,CUST0000771,LOAN0000207,2022-05-05,530,0.7268,HIGH,synthetic-pd-v1.0
RISK0000208,CUST0000233,LOAN0000208,2025-04-06,709,0.0505,LOW,synthetic-pd-v1.0
RISK0000209,CUST0000105,LOAN0000209,2022-10-05,687,0.0794,LOW,synthetic-pd-v1.0
RISK0000210,CUST0001593,LOAN0000210,2026-01-24,702,0.0594,LOW,synthetic-pd-v1.0
RISK0000211,CUST0000532,LOAN0000211,2024-05-09,689,0.077,LOW,synthetic-pd-v1.0
RISK0000212,CUST0000666,LOAN0000212,2022-01-10,522,0.7594,HIGH,synthetic-pd-v1.0
RISK0000213,CUST0001462,LOAN0000213,2022-09-19,640,0.1941,MEDIUM,synthetic-pd-v1.0
RISK0000214,CUST0001262,LOAN0000214,2021-10-28,725,0.0365,LOW,synthetic-pd-v1.0
RISK0000215,CUST0000529,LOAN0000215,2024-10-19,747,0.023,LOW,synthetic-pd-v1.0
RISK0000216,CUST0001431,LOAN0000216,2024-03-14,700,0.0617,LOW,synthetic-pd-v1.0
RISK0000217,CUST0001201,LOAN0000217,2023-08-27,624,0.2566,MEDIUM,synthetic-pd-v1.0
RISK0000218,CUST0001681,LOAN0000218,2025-07-25,601,0.3608,HIGH,synthetic-pd-v1.0
RISK0000219,CUST0001464,LOAN0000219,2024-10-14,759,0.0176,LOW,synthetic-pd-v1.0
RISK0000220,CUST0000859,LOAN0000220,2025-03-24,734,0.0302,LOW,synthetic-pd-v1.0
RISK0000221,CUST0000370,LOAN0000221,2024-02-18,730,0.0327,LOW,synthetic-pd-v1.0
RISK0000222,CUST0000336,LOAN0000222,2022-01-29,733,0.0311,LOW,synthetic-pd-v1.0
RISK0000223,CUST0000448,LOAN0000223,2026-06-13,607,0.3302,HIGH,synthetic-pd-v1.0
RISK0000224,CUST0001799,LOAN0000224,2025-05-27,553,0.6185,HIGH,synthetic-pd-v1.0
RISK0000225,CUST0001841,LOAN0000225,2024-07-26,751,0.0212,LOW,synthetic-pd-v1.0
RISK0000226,CUST0001964,LOAN0000226,2025-06-26,731,0.0322,LOW,synthetic-pd-v1.0
RISK0000227,CUST0000835,LOAN0000227,2026-02-07,701,0.0606,LOW,synthetic-pd-v1.0
RISK0000228,CUST0001886,LOAN0000228,2022-04-13,711,0.0493,LOW,synthetic-pd-v1.0
RISK0000229,CUST0001776,LOAN0000229,2025-06-24,738,0.0278,LOW,synthetic-pd-v1.0
RISK0000230,CUST0001759,LOAN0000230,2025-12-01,797,0.0078,LOW,synthetic-pd-v1.0
RISK0000231,CUST0001740,LOAN0000231,2026-03-11,668,0.1168,LOW,synthetic-pd-v1.0
RISK0000232,CUST0001242,LOAN0000232,2024-05-29,726,0.0354,LOW,synthetic-pd-v1.0
RISK0000233,CUST0000219,LOAN0000233,2024-03-29,746,0.0234,LOW,synthetic-pd-v1.0
RISK0000234,CUST0000302,LOAN0000234,2023-11-10,732,0.0313,LOW,synthetic-pd-v1.0
RISK0000235,CUST0000895,LOAN0000235,2026-05-24,706,0.0539,LOW,synthetic-pd-v1.0
RISK0000236,CUST0001896,LOAN0000236,2022-03-12,699,0.0632,LOW,synthetic-pd-v1.0
RISK0000237,CUST0001502,LOAN0000237,2025-06-26,759,0.0178,LOW,synthetic-pd-v1.0
RISK0000238,CUST0001954,LOAN0000238,2025-06-27,692,0.0724,LOW,synthetic-pd-v1.0
RISK0000239,CUST0001775,LOAN0000239,2025-10-15,812,0.0057,LOW,synthetic-pd-v1.0
RISK0000240,CUST0000669,LOAN0000240,2023-11-12,567,0.5454,HIGH,synthetic-pd-v1.0
RISK0000241,CUST0001536,LOAN0000241,2024-12-16,671,0.11,MEDIUM,synthetic-pd-v1.0
RISK0000242,CUST0000952,LOAN0000242,2023-05-05,678,0.0947,LOW,synthetic-pd-v1.0
RISK0000243,CUST0001019,LOAN0000243,2025-10-06,630,0.2296,MEDIUM,synthetic-pd-v1.0
RISK0000244,CUST0000128,LOAN0000244,2025-05-06,706,0.0546,LOW,synthetic-pd-v1.0
RISK0000245,CUST0001907,LOAN0000245,2025-02-13,669,0.1136,MEDIUM,synthetic-pd-v1.0
RISK0000246,CUST0001432,LOAN0000246,2021-11-28,710,0.0495,LOW,synthetic-pd-v1.0
RISK0000247,CUST0001635,LOAN0000247,2025-12-01,672,0.1079,MEDIUM,synthetic-pd-v1.0
RISK0000248,CUST0001881,LOAN0000248,2024-06-26,634,0.2162,MEDIUM,synthetic-pd-v1.0
RISK0000249,CUST0001057,LOAN0000249,2023-07-23,508,0.8131,HIGH,synthetic-pd-v1.0
RISK0000250,CUST0001970,LOAN0000250,2026-06-02,609,0.3242,HIGH,synthetic-pd-v1.0
RISK0000251,CUST0001134,LOAN0000251,2022-01-12,747,0.0229,LOW,synthetic-pd-v1.0
RISK0000252,CUST0000782,LOAN0000252,2024-12-31,726,0.0357,LOW,synthetic-pd-v1.0
RISK0000253,CUST0001984,LOAN0000253,2024-01-08,551,0.6261,HIGH,synthetic-pd-v1.0
RISK0000254,CUST0000010,LOAN0000254,2022-08-11,489,0.868,HIGH,synthetic-pd-v1.0
RISK0000255,CUST0001585,LOAN0000255,2021-11-08,737,0.0281,LOW,synthetic-pd-v1.0
RISK0000256,CUST0000881,LOAN0000256,2026-06-16,689,0.0761,LOW,synthetic-pd-v1.0
RISK0000257,CUST0000990,LOAN0000257,2024-07-18,582,0.4625,HIGH,synthetic-pd-v1.0
RISK0000258,CUST0001958,LOAN0000258,2026-05-05,671,0.109,MEDIUM,synthetic-pd-v1.0
